topic,probability,count,topic_words
-1.0,0.0,238,
0.0,0.680163752524294,112,goals development volunt review ary tional ana 2017 sustainable botsw na sust ainable priority sdg
1.0,0.5247786796993726,64,th thi throug sources provisions erience countri xp prior including within full to reduce use
2.0,0.693468230217832,62,an ani anc za or geographic fective ety 1971letlhak alli ancial highest anisms adoption 2011botsw
3.0,0.5477609209158486,53,ﬃce moso training sl retention convention disclosur dollars rem provision types olum oc tances stewardship
4.0,0.36181952770874376,23,restrictions ns individual distortio the and         
5.0,0.7155210113078555,22,years age aged girls 15 under violence subjected months chil 12 ages women children older
6.0,0.8304520387625042,21,32 odu 21 ain ble ar 14 ess endin 29 gh tion tor earn te
7.0,0.6689857450691885,20,developing countries develope developed least island states sm particular investm rce fdi multiple earl implemen
8.0,0.5762046490471725,19,population proportion living low below ons its vulnerable 25 as total poor least of intervention
9.0,0.3945039326615723,18,lopme de nt tme stainability sign rme pow loped velopmen su par em and 
10.0,0.8301638821584172,17,agreem enta wom ent don easures everywher esilien eogragphica ency enablin pa gende ploy politica
11.0,0.5264333167033117,17,ul os ollow ocuse ocu harmf ir abuse oo need have fo he ou use
12.0,0.5710463343864803,16,thoritie recognize ur unsaf unite intellectua disclos before ura unpai product un full particular 18
13.0,0.793918417635622,16,hygiene vaccines sanitation disease public af bat aids alari vaccine borne bcwi tuberculosis diabetes cancer
14.0,0.5999810023029013,16,tion ins na migra banks oope tica logis immigra gra tura titu titud titutio ona
15.0,0.6290195221771107,15,we our will act face honesty ine insist listen llence missi ﬁrst negative openness oppo
16.0,0.4707146201957983,14,por              
17.0,0.9867484356198858,14,90 strategies bpp ethics anti employee human rights system tools alia beneﬁts toring investmen arising
18.0,0.7363272836187365,14,2030 by 2020 end calendar scale eas rastructu demic encouraging raise epi reduce pure urban
19.0,0.5398215451588533,13,leadership ily disability status knowledge household fam well being or all the and  
20.0,0.691478547854591,13,ghg increase emissions sustainable energy hit basis develo eco2man 1800 environmentally extinction worst wellbeing 1400
21.0,0.7484820087919128,13,agricultural agriculture agricultur expor benchm gricultura farm estrengthe orientation index cultivated arkets plants subsidie agricultura
22.0,0.41217892501375936,13,minis tr trafﬁckin trad spheres sector prevent correct tru dminis tra including tion and 
23.0,0.7696176469643878,13,orapa park today towns boteti gadikgadi mak plannin parks pone game truction cons main hospitals
