topic,probability,count,topic_words
-1.0,0.0,445,
0.0,0.7877276197561558,287,gok 000 dps 10 ppp 2013 500 2017 50 100 200 400 300 11 600
1.0,0.9386419362244536,97,moied moti nt lead modp moalf molhud cg kebs moeaact kirdi epc mict kie molsss
2.0,0.710959671151537,93,millions kshs indicative budget 2014 14 total 15 2015 2016 16 17 2013 2017 18
3.0,0.6085228432298201,92,frame time source fund sources funds of indicativ agency implementing leverage window application single place
4.0,0.9136710704912663,83,established vulnerable youth women developed constructed strategic information institutional groups to pwds enhance improve child
5.0,0.6059604458336874,57,output expected obj outcome implementin objectives ectives project programme ective objective projects outcomes agenc outcom
6.0,0.7278456265035415,55,agenc implementing agencie hou twenty certification four laboratory audit 24 have implementation to of the
7.0,0.7786560207762687,43,outcom              
8.0,0.8220202057506857,42,youth developmen skills youthskills mentorship empowerment develo development youths sustainable skilled entrepreneurship enterprises gifted ppo
9.0,0.9537964631308505,37,kenya to rights hu kenyan connect effective facilitate use efficient ict sensitized fun human public
10.0,0.7135705577146824,34,2016 18 16 2015 17 2017 tbd 2014 15 group policing devolved geophysical humankin gende
11.0,0.5149560740822227,33,go 2017 moep 2013 rea moe modernized pipeline msa iocs knsl relie nrb ioc ban
12.0,0.9120265842540286,32,integratio promote economic social enhance balanced dispersion peace preserve industrial harmony culture promotion guarantee regional
13.0,0.8427728318153348,29,export goal goals firms ep promotion indigenous guarantee establishe venture strateg bil operating exporters produc
14.0,0.8919291584450714,27,outpu outcomes expected objectives           
15.0,0.6112295443325368,26,cg gok dps cgs 2017 pp 2013 dp kefri gd afd unice kiddp unicef ketraco
16.0,0.504455972918598,25,tourism developed new enhanced tourists resort monuments bed parks increased established upgraded buildings mater ion
17.0,0.8966545632499774,25,project programmes programme projec 950          
18.0,0.30152512583494756,24,goa              
19.0,0.8533841235614116,23,name health medical project expanded community expand comprehensive access services wi fp specialized goal coverage
20.0,0.8839012152727885,22,expecte objectives projects programmes           
21.0,0.5737909373750018,21,dp ppp pp dps enterpris ag psc partners cg social gok    
22.0,0.8040809532010471,21,constructed installed mw kengen 225 350 km installe lessos go 657 24 line 11 electricity
23.0,0.5041541781065939,20,the and of will in to be for national development on kenya with government sector
