topic,probability,count,topic_words
-1.0,0.0,2664,
0.0,0.8199844763551721,4127,and of the to for in development an on by with will liberia all poor
1.0,0.7022673062116486,50,regions north south central region western montserrado 49 50 southeastern percent eastern geographic 57 monrovia
2.0,0.784649569066579,38,sectoral multi approach sectora integrated interdisciplinary perspective migration multidisciplinary sectors faced cross nature sector approaches
3.0,0.9384115405276808,29,monrovia away outside freeport tenure rehabilitation concentration natural political reducing entitie around activities from pre
4.0,0.5106305378096456,29,corridors along corridor development valu locations significant located seen priority physical agriculture centers stranded crowd
5.0,0.9510583485325054,29,fiscal space consolidation discipline budget reducin deficit limit achieving deliver spac shrunk austerity pruden anticipatin
6.0,0.9006220831578474,28,courts judicial adjudication jury court judiciary circuits 242 jurisdiction cases magisterial specialized counties facilities system
7.0,0.500336432916002,27,regulatory frameworks regulation framework legal regulator csa improve artisanal regulations privat that efficienc buying burdens
8.0,0.6205463235568586,27,indicators indicator used measure od proxy data progress safety figures measurements index personal nss key
9.0,0.5636320419585802,24,climate environmental change erosion waste natural management threatened wetland resource legal environmentally degradation risk institutional
10.0,0.8333476553470317,23,pension scheme old schemes age contributory accrued 509 pensions receiving national adults young 16 paymentsthe
11.0,0.5692209370589274,22,informal formal employment workforce pensio sector workers successfu resuscitate applicable rapi simple sector50 vested formalize
12.0,0.7392852416424358,22,targetsstrategies programmes activities 2063 inputsinterlinkage inputs au interlinkages parts interlinkage targetsinterlinkage other getsstrategies inputsinterlinkages targetsprogrammes
13.0,0.36560041115811964,22,births mortality maternal live per adolescent ratio 000 deaths neo 100 neonatal natal 20233 newborn
14.0,0.8152531889202066,21,parts th other matter figur cha of linked overall areas     
15.0,0.48513439883205384,21,school feeding grade meals nutrition rations olds home grown lssn programs time enrollment meal classical
16.0,0.9101025198429076,21,hdi ssa low hd countries adjusted inequality loss africa0 523 average expectancy values 58 33
17.0,0.9515273991471416,21,water sanitation drinking defecation improved access sources hygiene estimated facilitie open percent 85 clinic poores
