topic,probability,count,topic_words
-1.0,0.0,1644,
0.0,0.8214849448556074,2178,sdg cent the of sdgs nigeria per to in indicators and development on is national
1.0,0.9111479398014245,75,ergp mid term governance planned actual scenario review the crucial success table contemplated restore entrench
2.0,0.9497821706403644,74,poverty line living poor citizens 79 83 deprived population socioeconomic income people intergenerational incidence affluent
3.0,0.9687727059997947,66,school education secondary schools improving learning outcomes educational textbooks tertiary educatio quality evening abilities access
4.0,0.9223633741557687,55,stakeholders organizations cooperation collaboration partners international partnerships secto csos coordinating sectoral partnership south mobilizing socia
5.0,0.7707369710070866,39,corruption corruptio anti fight salaries partake collusion officers opportunity levels unit transparency adequate reducing decade
6.0,0.7867288215222661,39,sanitation water hygiene wash hygien norm defecation handwashing leakages unsafe roads potable messages supply raising
7.0,0.4307750592579934,36,violence psychological sexual physical punishment aggression minors or experienced intimate abuse against attempting partner her
8.0,0.7294500220024303,33,agriculture agricultural inputs livestock land production species onl credit ownership agricultura markets barrier rural rights
9.0,0.46989211296025163,33,oil prices volatile gas reliance shock price revenues dependent market boost decline production continued related
10.0,0.8940910200952499,32,vnr report 2017 final 2020 draft set onset word immensely phases resolve nsi indirectly vnrs
11.0,0.863707991505738,32,teachers teacher teaching staff subject instructional esspin headteachers recruitment trainin supply materials training cannot motivation
12.0,0.41570375311900576,31,billion trillion us 397 n8 n3 africa billio fdi loses n1 2015 direct foreign about
13.0,0.6066401385701247,30,recession growt decade economic 2017 fragile growth gdp past had remained 2016 countr last recovery
14.0,0.7220345271723383,29,debt service domestic exports high total ed external interest goods as relie empirical drg propor
15.0,0.7168152157812303,26,2020 march april imf 23 hagembe ni events coincide crud ogol geria 2015by organizatio run
16.0,0.7166771029121171,25,youth employability young youths job prospects 2012 meetin employment enhancing people creation increasingl 20em ente
17.0,0.8948764910999245,20,tax taxes compliance taxation collect capacity administrative system reforms reform law thinnin coupled refor excises
18.0,0.6618668868062969,20,ossap sdgs secretariat senior assistant ministries collaboration special body sop constituencies foreig quarterly oss n250
19.0,0.5738682989357067,20,interventions aimed mobilizin lockdowns tas predictor advocating growin language awarenes rescue strategic initiativ accelerated efficient
20.0,0.9309493414004832,20,insurance coverage scheme health coverag expand covered universal ductive tetiary ssis repro schemes consumed secured
21.0,0.614351290061026,19,conflict peacebuilding conflicts signalled peace concerning why country pose crucible let eas mention peacebuildin exten
22.0,0.6767027012667852,18,unicef fund united nations children unfpa emergency record books recorde multipl crèches impac gaine fun
23.0,0.9064851770532498,18,opendocs links nigeria children profile publication https system school net out education universal nigerian ondo
24.0,0.6251089220442156,18,women parliaments held seats positions cabine appointive leadership governmen local balance assembly appointe appoint proportional
25.0,0.49062513181724765,18,deaths 1000 births live maternal 000 100 mortality ratio 128 per mortalit 2022 mortal under
26.0,0.9549230662878434,18,technology innovation technologies ict digital technological leveraging diversify contribute media laptops finan expandin phones innovatio
27.0,0.6569350666824403,18,informal jobs sector 75 new work disproportionally menial leisure hours time earn wee incom estimates
28.0,0.6599711364149164,17,private sector stepped owned partnership partner engagemen operate diminishe specified evade partners operators homes partnering
29.0,0.7116079049373807,17,mdas agencies departments department ministries staff bilateral initially legislatio director hea departmen sits und multilateral
30.0,0.43871301739223717,17,psychosocial psychosocia well being bein psychologica sex 90 70 male female78 reporte 78 learning se
31.0,0.6376667093690704,17,flows financial illicit outward assets us value recovery secretive return frauds 560 transferred 950 arise
32.0,0.7822453818937022,16,et al accessed 20 2020 essien aguiller 1998 dang azu batran dail surviva duclos ellwood
33.0,0.46506798523227655,16,haram boko insurgency northeast insurgencies militant led east delta control north niger fighting conside wise
34.0,0.7606005510671612,15,federation federal governmen government republic directive avenues subnationa president recurrent appea sections revenu consultation territory
35.0,0.6013873869807002,15,skills apprenticeships vocational attracting interest global solving interpersonal takes teamwork founded match apprenticeship job placing
36.0,0.5819950335758993,15,bank world 2019 slowe loa deficit additio 115 emergin exists banks whole absence times structural
37.0,0.6996827557993022,14,exports goods total value ngn exporting moved dollar 86 nb encourage exchange broadban curren ex
38.0,0.6394356471273979,14,barriers facilitators obstacles progress aspect pursue constitute electri impose iff intermittent emergin career firstly them
39.0,0.8528449073297574,14,100 broadband population inhabitants subscriptions 000 00 doctor 02 wired midwife doctors peoplenumbe performers rati
40.0,0.556721582395117,14,modern satisfied moder methods contraception contraceptive family method use reproductive planning marginally contraceptiv whose pertained
41.0,0.7649717373835162,14,disabilities persons older with pwd ixa indigent foreword fderal people commendation meanwhile deserves effort raised
42.0,0.9116407039461443,14,states 36 fct loca 774 federal state government 572 reap wa hav level authorities offices
43.0,0.5405956924383214,14,mics 84 61 46 32 union 17 13 assisting ara recen 1844 engagements pan 18
44.0,0.8788214082581662,14,mnchws mnchw phcs mnch coverage phc clarity hoc expense exit unice 31a rational bring mnc
45.0,0.8610581359804991,14,review reviewed approval evaluation mid consulted conducte paymen executed scope excep tor consultants workshops assessed
46.0,0.5092826600832575,13,ri lq 85 sxeolf 3ursruwlrq integration dqg 1ljhuld 6rxufh zkr into euleh planning wr 7rwdo
47.0,0.7722102933779301,13,nigeri ctp compliment reallocation factors election youth muhammadu capable efficient main nha interface behind direction
48.0,0.5960329574826938,13,dr abdullahi makwe ensor consulting ezu alayande anne mah ify invited jingi kale lend lothe
49.0,0.7657381310269006,12,cash transfer transfers conditional minimiz payments component families direct vulnerable highly programme reached vulnerablesustain making
50.0,0.6159714909058586,12,fmwasd reach bee affairs positions fmwas has collaborate elected advocacy institutionalize closely wor chairs getting
51.0,0.8574689538299864,12,stereotypes gender prevalence norms girls stereotype predominan portrayal patriarchy beliefs patriarcha choices underpinned cultura customary
52.0,0.5528786811800289,12,disaster persons affected affecte attributed missing directly 087 hazards 607 conversely victimsm9 worsening disasters receiv
53.0,0.9029969394753211,12,pp pdf accessed available scielo hand from downloads 10 www users a0051911 http com file
54.0,0.7019371436128917,11,feeding food nutrition grown home household security programme nutritio counselling stronge enhances promotes facilitating familie
55.0,0.748244767510295,11,ri june voluntary 85 second 6rxufh shuvrqv dqg 3ursruwlrq review ζqwhuqhw ƶɛŝŷő plvvlqj ƚśğ ŝŷěŝǀŝěƶăůɛ
56.0,0.7995419655115428,11,trafficking human killing enforce abuse activities exploitation 1991 traffickin kidnappin criminal 17end memo prohibi slavery
57.0,0.8403321991156353,11,dimensions spheres incidenc alig array subscrip acute multidimensiona resourc multiplying three contex accordin conducted wide
58.0,0.7153034125040242,11,political aspirants women politica electoral regimes nomination militating democrati affirmativ consis voters emergence involvement alongside
59.0,0.9254316643087342,11,entrepreneurship enterprise lucrative ruminants iv activities exceedin transitionin tation entrepreneurs absor entrepreneurshi substantiall buil likelihood
60.0,0.7234177474194421,11,delivery deliver unit seve presence attendant monitored sloan focusin covers intended methodology contributing wel sustained
61.0,0.7623869435623862,11,uhc uh universal thirdly agend sur applicable unaware passing coverage achieving whom actua responsible pathway
62.0,0.8727059230903613,10,rural urban southern location zones regions northern 69 areas situatio itu wealthier outperform declinin dramatically
63.0,0.6553588862191061,10,legal frameworks tools laws remainin prosecut promote existing combatting framewor enactment enforc existence existin alongside
64.0,0.6299236391702259,10,colou numbersdg target sources 2030 2017 colour indicators 2016 code 2019sources 2018sources bersdg num 2018
65.0,0.8776517569442877,10,niger east bordering chad delta north middle hosts gulf guinea belt benin enabl borno pockets
66.0,0.83807973106101,9,humanitarian east north affairs prolonged damage minister infrastructur associate situations ha crisis insecurity intervention ndhs
67.0,0.9097220060727861,9,pregnant injury newborns disabilities unemployed victims persons work retirees women sick borns victim elderly beneficiarie
68.0,0.6922713819864764,9,grid connecting infrastructure capitals capital power railways electric faster tenure state rail secure ports land
69.0,0.7660740235408897,9,mobilization resource diversification domestic mobilize zation streamlin domesticall mobili mobilise voluntar flow fmoh buildin nphcda
70.0,0.8022504676128279,9,disproportionately impact benefi grassroot reverberating dow felt disproportionate benefit effects impacts socioeconomic back nearly set
71.0,0.789898354500705,9,torture detention journalists associate reported write ated jour nalists pressured sonnel statements guilty confessional associ
72.0,0.6428490477867134,9,bureau statistics statistic trackin gather republi releases tional na disaster collaboration nation trade management march
