topic,probability,count,topic_words
-1.0,0.0,10160,
0.0,0.845880281575491,8364,plan system 2030 to south of is the development th in africa and health growth
1.0,0.9290715590780054,335,municipalities provincial local provinces municipal district government municipality metropolitan districts level municipalitie capacity province functions
2.0,0.9396829046487946,255,farmers agricultural agriculture farming agro farmer commercial processing agricultura scale farm agricultur fruit small maize
3.0,0.8903408426770781,184,water wastewater resource reuse sanitation management supply potable irrigation desalination projects waters conservation use waste
4.0,0.900063167405526,154,sectors sector private public role play corporation wor sectora responsibilit nationa plays non take recognised
5.0,0.9652918208595485,130,spatial planning restructuring idps framework transformation observatory national overall governance geographic acros targeting quo proposed
6.0,0.8467311797862523,120,land reform tenure restitution redistributed redistribution use refor beneficiaries threefold vesting communal underpinning rights management
7.0,0.7313186529474704,116,commission recommends proposes commissioners believes commissioner acknowledges proposal welcomes consulted agrees held following visited radio
8.0,0.8748735216196964,113,corruption anti corruptio corrupt fighting bribes officials investigate against societal prosecute bribe icac forum counter
9.0,0.9786685232130704,98,services service delivery servic jurisdiction caree delivered conducive division converged demarcating elitist insufficiently aloof servicedepartment
10.0,0.6949964467174453,91,publi liability holding ethos linking better knowledge hold javelin qualitatively allay cultivars convenient attracts throwing
11.0,0.9555016545947791,88,renewable energy solar sources 000mw wind electricity inga 500mw energ technologies power station hydro hydroelectric
12.0,0.8526486524668188,86,policy policies formulation makers making effectivel alignment sadc but aligned influence superseded 245 strongly actuall
13.0,0.9298702905005889,84,carbon low transition pricing economy equitable budget price ta tax emission offsets wide shadow econom
14.0,0.8648215962474329,73,constitution constitutional values preamble fostering brick principles embedded imperative constitutiona assembly constitutio moral republic non
15.0,0.6101974003691008,71,climate change warming effects impacts adaptation extreme rainfall whit planet disproportionately chang events sea research
16.0,0.7873645846886541,71,childhood early childhoo children child development developmen universal young services preschool nutrition childre stimulation car
17.0,0.8729787730177814,69,regulator regulators regulatory regulation regulations licensing environment effective independen dictatin ambivalent restrain problematic restrictive onerous
18.0,0.8620231663659464,69,market markets failure oligopolies entry removal efficient relativel regulation administrativ operator failures entrants arose mindset
