topic,probability,count,topic_words
-1.0,0.0,940,
0.0,0.8150938396965568,1655,percent the of in to and for national 2015 at development an that is sdg
1.0,0.9609030645108817,93,water sanitation supply urban waste peri sanitatio solid services disposal provision adequate clean and kiosks
2.0,0.9575018381309159,66,zambia sdgs audit zambian agenda has preparedness sustainable plus development national made the implemented goals
3.0,0.9343547902905651,47,16 11 17 15 13 116 programmes 33 18 trad step 2509 reference 133 onclusion
4.0,0.965406004369001,46,gender equality women empowerment parity girls representation all female candidates political gbv empower network achieve
5.0,0.7142313772584529,39,required challenges action actions table 20 21 and idps specifically 11 66 figure 42 61
6.0,0.9283209886314097,35,electricity mw generation power thermal 80 hydro energy gas solar generated turbines standby megawatts percent
7.0,0.44254002101921885,33,biodiversity ecological systems loss ecosystem habitat careful require regimes erosion threaten ecosystems pollution flow can
8.0,0.899672383037535,32,7ndp plan major seventh distinguishing departure 2063 dp 7n sdgs results implementation macroeconomic broad pla
9.0,0.7663450387777508,32,list abbreviations ix viii vii backgroun iii table yout ackground ata tables acronyms boxes backlogs
10.0,0.9517961029825355,30,farmer farmers beans inputs input programme agricultural support fisp seed 50kg maize viable compound sorghum
11.0,0.4924730014688403,24,road roads rehabilitation infrastructure transit gravel sub construction maintenance bus countrywide times airport implementing rural
12.0,0.44686015150974406,24,held seats proportion women wome by parliament female decision pos making positions local only females
13.0,0.7983979498253282,24,tb malaria treatment mortality incidence 000 indicator 100 residual diagnosis rate diagnostic treated testing per
14.0,0.6074255601479468,22,forest deforestation management forests degradation natural regeneration reduce sustainable landscape cover green strategy investment increasing
15.0,0.5224452971514141,21,pandemic covid 19 spread coronavirus has experience almost impacted world been using preventing dealing outbreaks
16.0,0.5371633370521225,21,vnr voluntary report preparation concept draft revie review lin note 202 technical process activities pertinen
17.0,0.9562828112094574,20,forests zambia zambian change effects forest climate experiencing has weathe study redd 66 st cover
18.0,0.4030196072921472,19,ndcc coordinating committe committees provincial development committee quarterly chaired republican president loca presidential cags ward
19.0,0.8750915930043135,19,economic prices performance consequent slackened low commodity caused compounded commodities declines growth fiscal generate market
20.0,0.756686284530209,19,technology technolog innovation mathematics science graduating engineering communication ict information chemistry attained background biophysica 2016
21.0,0.7282086535594424,19,western provinces lowest eastern province northern percent copperbelt luapula north disabled highest 71 hygiene lusaka
