topic,probability,count,topic_words
-1.0,0.0,956,
0.0,0.712769736848345,2397,and the of will to development be in nds1 for sector national an as on
1.0,0.6810488400801988,80,resul area ul res areaspercentag unde protecte key areas increase     
2.0,0.8191973743473079,54,paraprivat body stat auth bodies aut independen        
3.0,0.8669039217424321,43,prov lead gov loca pro tloca al        
4.0,0.9495134063289937,42,kras secto sector rsecto sec kr tor kra sect as     
5.0,0.8843209555085145,41,ke cok coal to           
6.0,0.6075344732530931,41,ministr lsall counci mini sters ncia provi minin minis ter ies all mdas minimu entall
7.0,0.5569265494728868,39,gov tloca tloc caaz reservesmaize parksothe parksand tlocal grai general loca othe auth stat national
8.0,0.5324347177952626,37,performanc nc performa satc meet to         
9.0,0.39912061947236444,33,internationa interna internation mission europea technologica foundationtraditiona practica institutionsnango tiona versus relationsvolume soa cpia forma
10.0,0.7947137085273184,31,billion us billionus billion0 illion million billion10 5billio 5billion 683m 4billion 4billio 3billion 1billion 1billio
11.0,0.4093139575303461,28,sectorfarmer growt sectorxtouris sectormanufact sectorimprove sectorelectricit sectoragricultu worker urin overal th sectors sector re all
12.0,0.477458004229476,24,healt propert council with for          
13.0,0.8784686145988547,24,th te verified covered position save moving in contribution addition by from of to the
14.0,0.9744543352235646,24,              
15.0,0.7397197433908442,23,increas incidenc inclusiv includin incom sensitiv e20 e100 industr improv costs employment   
16.0,0.48484244851011166,23,rura levelrura authoritie and           
17.0,0.3488468047607045,22,socia 90 on88 specifi supplementati societ receiving covered affordable population percentage inclusive part increased protection
18.0,0.5879600977889803,22,programmes programme 174 tb program decent work for       
19.0,0.966182869609553,21,agenc agencie             
20.0,0.9001564114233581,20,protectio nsproportion protecti protectionproportion vulnerablepercentage protectioneconomi inclusionproportio interventio protection vulnerabl orde safeguarding civil cover fo
21.0,0.3678789725552107,20,west east coordinate            
22.0,0.740019857411699,19,central              
23.0,0.47338808758247575,19,suppliersall ngo supplier            
24.0,0.8080985063590526,19,inpu smillers parastatal banks           
25.0,0.4639750555292228,19,fo folat inspected diet environme availed acquired fc fro nt funding and   
26.0,0.9503468164635072,19,nationa unity nation an national          
27.0,0.3942200384297968,19,wb cwgh gff wfp eu kfw inclus iv huma amount     
28.0,0.7369492629834906,19,manicalandloca              
29.0,0.8310453179739484,18,council agenciesloca councilors councils allianc sloca mpsgcf councilsloca mpsundp councilor nac arda rdcs zta loca
30.0,0.7192077556161144,17,ntra ce ministry ntral agency ministriesminister         
31.0,0.8407638153157296,17,loca lo affairsloca ioc chief cc cils coun       
32.0,0.4454568354034922,16,infrastructur infrastruc ture passenger infrastrucno turetrack shippin structures7 volum structurall es7 infrastructu structura structur carg
33.0,0.6541524269047763,16,recreatio ciliati retrenchee reproducti renewa recyclin recreati recon receivin onsocia restore ve improve on and
34.0,0.5827110136280071,15,gef ghg gd technolo gm ggf gende agriban general gmb to    
35.0,0.6249251743330769,15,modwvmas pwma 000mlawrr modwv tan metropoli roll modwa pfm mwacsme modwvprovinc ia full out al
36.0,0.5549978227711961,15,chai value aid leather soya bean fertilizer perform ance performance bed pharmaceuticals gas methane improving
37.0,0.3482144863169115,15,op mcos opc psc aidsc ouncil occupanc lan rdcs indicators ema sadc icts access an
38.0,0.7395974499233094,15,publi localities wellbeing percentage with of and        
39.0,0.5108454977841488,15,centra ministry             
40.0,0.5812081064822633,15,mi econo economi myecono econom econ tyecono omyec stabili connected8 10 digital ono actors countries
41.0,0.5072974719957949,14,playe plante processe greate passenge protecte         
42.0,0.4820335310088987,14,energ essentia modern amon yenerg rship equipmen entrepreneu enab efficienc le expenditu access to of
43.0,0.5430272781248466,14,result results are key           
44.0,0.45696747863038695,14,lin lif nal internatio liqui holdings lmac high care services     
45.0,0.5924950972093749,14,developmen sproportion investmen structur capital human engineering agricultural ict programme infrastructure and   
46.0,0.6263983712659767,13,household homestea musi usin unit houses housing households an      
47.0,0.557690609930454,13,mas 000mlawrr 000mlawr 750mlawrr 200mlawrr          
48.0,0.4792514796750226,13,acces acut ar soaz ardc accoun ca abus forms households that with of  
49.0,0.6758726618055608,13,distric disput disaste disposabl diaspor deb assessors proportional syste disaggregated to    
50.0,0.47158308936775284,13,rive rai ids ris           
51.0,0.6558277315056409,13,governmen ts governanc non loca tall govern ment citizen      
52.0,0.9410748832986803,12,trainin makin trained traine doin drinkin teachers teacher decision education health    
53.0,0.6342300660771821,12,growt tiv hsocial hproduc growth anaemia deficiency change improve      
54.0,0.46839712519769144,12,othe ioc ol int erp and         
55.0,0.7034353948561581,12,world bank removal ban sanctions percentag foundation imf wb of     
56.0,0.8905273895284193,12,cent ral agenc centr ministry al         
57.0,0.5976514551109874,12,pe hypertensi progra peopl ms heritage recreation groups rate on of    
58.0,0.7178576220593245,12,wome whea wrestlin onlin enablin coleacp wor worl decent un outcomes of   
59.0,0.5000699602119764,12,millio regulari satio mutto marin geneti junio 233 18 of     
60.0,0.8485611929994596,12,associatio ic ionsloca emcoz associat associ banke trad ation rs ns    
61.0,0.49040869909517265,12,afrexi afric imf afdb af exi afr afd acfta unido     
62.0,0.5869792692628705,11,produce producers producersngos pork beef generate milk wit locally production     
