,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,8FYP,id-less,point in time,8,Q23355,67
1,women,Q467,opposite of,men,Q8441,46
2,education,Q8434,has part,training,Q216033,34
3,7FYP,id-less,point in time,7,Q23350,33
4,training,Q216033,part of,education,Q8434,32
5,1990s,Q34653,point in time,1990,Q2064,26
6,rural,Q7380465,opposite of,urban,Q159313,25
7,urban,Q159313,opposite of,rural,Q7380465,23
8,poor,Q5729485,subclass of,vulnerable,Q278113,23
9,extreme poverty,Q2714378,subclass of,poverty,Q10294,22
10,men,Q8441,opposite of,women,Q467,22
11,rel_err,rel_err,rel_err,rel_err,rel_err,21
12,health,Q12147,has part,nutrition,Q2138622,20
13,6FYP,id-less,followed by,7FYP,id-less,18
14,FY21,id-less,instance of,Fiscal Year,Q191891,17
15,FY25,id-less,instance of,Fiscal Year,Q191891,17
16,FY24,id-less,instance of,Fiscal Year,Q191891,17
17,PP2041,id-less,point in time,2041,Q49914,17
18,public,Q294440,opposite of,private,Q158668,17
19,FY23,id-less,instance of,Fiscal Year,Q191891,17
20,FY22,id-less,instance of,Fiscal Year,Q191891,17
21,female,Q43445,opposite of,male,Q6581097,17
22,supply,Q166656,opposite of,demand,Q1665268,16
23,demand,Q1665268,opposite of,supply,Q166656,16
24,7FYP,id-less,follows,6FYP,id-less,16
25,Target,Q1046951,instance of,Year,Q577,15
26,FY2024,id-less,followed by,FY2025,id-less,14
27,FY2025,id-less,follows,FY2024,id-less,14
28,HIV,Q15787,has effect,AIDS,Q12199,13
29,Dhaka,Q1354,country,Bangladesh,Q902,13
30,private,Q158668,opposite of,public,Q294440,13
31,health,Q12147,has part,education,Q8434,13
32,BDP 2100,id-less,point in time,2100,Q11183,13
33,Ministry,Q192350,has part,Divisi,Q169534,12
34,Government of Bangladesh,Q16056319,country,Bangladesh,Q902,12
35,Lead,Q708,instance of,Reports,Q10870555,12
36,private sector,Q591763,opposite of,public,Q294440,12
37,male,Q6581097,opposite of,female,Q43445,12
38,Divisi,Q169534,part of,Ministry,Q192350,12
39,Performance Indicators,Q68711529,subclass of,Data Source,Q1172241,12
40,7FYP,id-less,followed by,8FYP,id-less,12
41,boys,Q3010,opposite of,girls,Q6581072,12
42,girls,Q6581072,opposite of,boys,Q3010,12
43,FY23,id-less,followed by,FY24,id-less,11
44,FY22,id-less,followed by,FY23,id-less,11
45,FY20,Q56676632,instance of,Fiscal Year,Q191891,11
46,primary,Q669262,subclass of,education,Q8434,11
47,public,Q294440,opposite of,private sector,Q591763,11
48,2000s,Q35024,point in time,2000,Q1985,11
49,Bangladesh,Q902,shares border with,India,Q668,11
50,economic,Q8134,has part,social,Q345367,11
51,FY25,id-less,follows,FY24,id-less,11
52,FY21,id-less,followed by,FY22,id-less,11
53,MICS 2019,id-less,point in time,2019,Q25274,11
54,social,Q345367,part of,economic,Q8134,11
55,India,Q668,shares border with,Bangladesh,Q902,11
56,FY24,id-less,followed by,FY25,id-less,11
57,sanitation,Q949149,facet of,water,Q283,10
58,Bangladesh Delta Plan 2100,id-less,point in time,2100,Q11183,10
59,8FYP,id-less,number of episodes,8,Q23355,10
60,PSMP 2016,id-less,point in time,2016,Q25245,10
61,COVID -19,Q112712553,point in time,19,Q39850,9
62,1980s,Q34644,point in time,1980,Q2439,9
63,M2M,Q1352006,subclass of,IoT,Q251212,9
64,economic,Q8134,part of,social,Q345367,9
65,8FYP,id-less,number of participants,8,Q23355,9
66,Bangladesh Bureau of Statistics,Q2882475,instance of,BBS,Q210499,9
67,poultry,Q178559,subclass of,livestock,Q4767951,9
68,rural,Q7380465,subclass of,areas,Q4788688,9
69,Annex Table A5.1,id-less,part of,"Chapter 5, Part 1",id-less,8
70,accountability,Q2798912,subclass of,transparency,Q3026325,8
