,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,Perspective Plan of Bangladesh,id-less,point in time,2021,Q49628,68
1,8FYP,id-less,point in time,8,Q23355,67
2,women,Q467,opposite of,men,Q8441,46
3,education,Q8434,has part,training,Q216033,39
4,training,Q216033,part of,education,Q8434,37
5,7FYP,id-less,point in time,7,Q23350,33
6,1990s,Q34653,point in time,1990,Q2064,28
7,PP2041,id-less,point in time,2041,Q49914,28
8,extreme poverty,Q2714378,subclass of,poverty,Q10294,28
9,rural,Q7380465,opposite of,urban,Q159313,27
10,urban,Q159313,opposite of,rural,Q7380465,25
11,poor,Q5729485,subclass of,vulnerable,Q278113,23
12,men,Q8441,opposite of,women,Q467,22
13,rel_err,rel_err,rel_err,rel_err,rel_err,22
14,demand,Q1665268,opposite of,supply,Q166656,21
15,PP2041,id-less,country,Bangladesh,Q902,20
16,supply,Q166656,opposite of,demand,Q1665268,20
17,health,Q12147,has part,nutrition,Q2138622,20
18,6FYP,id-less,followed by,7FYP,id-less,18
19,FY23,id-less,instance of,Fiscal Year,Q191891,17
20,Bangladesh Delta Plan 2100,id-less,point in time,2100,Q11183,17
21,FY22,id-less,instance of,Fiscal Year,Q191891,17
22,FY21,id-less,instance of,Fiscal Year,Q191891,17
23,FY24,id-less,instance of,Fiscal Year,Q191891,17
24,private sector,Q591763,opposite of,public,Q294440,17
25,public,Q294440,opposite of,private,Q158668,17
26,Vision 2041,id-less,point in time,2041,Q49914,17
27,FY25,id-less,instance of,Fiscal Year,Q191891,17
28,Dhaka,Q1354,country,Bangladesh,Q902,17
29,female,Q43445,opposite of,male,Q6581097,17
30,public,Q294440,opposite of,private sector,Q591763,16
31,7FYP,id-less,follows,6FYP,id-less,16
32,health,Q12147,has part,education,Q8434,15
33,Target,Q1046951,instance of,Year,Q577,15
34,primary,Q669262,subclass of,education,Q8434,14
35,Government of Bangladesh,Q16056319,country,Bangladesh,Q902,14
36,FY2024,id-less,followed by,FY2025,id-less,14
37,FY2025,id-less,follows,FY2024,id-less,14
38,BDP 2100,id-less,point in time,2100,Q11183,13
39,HIV,Q15787,has effect,AIDS,Q12199,13
40,PSMP 2016,id-less,point in time,2016,Q25245,13
41,economic,Q8134,has part,social,Q345367,13
42,social,Q345367,part of,economic,Q8134,13
43,private,Q158668,opposite of,public,Q294440,13
44,male,Q6581097,opposite of,female,Q43445,12
45,Ministry,Q192350,has part,Divisi,Q169534,12
46,Divisi,Q169534,part of,Ministry,Q192350,12
47,girls,Q6581072,opposite of,boys,Q3010,12
48,Lead,Q708,instance of,Reports,Q10870555,12
49,boys,Q3010,opposite of,girls,Q6581072,12
50,2000s,Q35024,point in time,2000,Q1985,12
51,Performance Indicators,Q68711529,subclass of,Data Source,Q1172241,12
52,7FYP,id-less,followed by,8FYP,id-less,12
53,Prime Minister,Q14212,officeholder,Sheikh Hasina,Q52183,12
54,secondary,Q28469712,subclass of,education,Q8434,12
55,Sheikh Hasina,Q52183,position held,Prime Minister,Q14212,12
56,FY23,id-less,followed by,FY24,id-less,11
57,FY24,id-less,followed by,FY25,id-less,11
58,Bangladesh,Q902,shares border with,India,Q668,11
59,FY25,id-less,follows,FY24,id-less,11
60,FY21,id-less,followed by,FY22,id-less,11
61,India,Q668,shares border with,Bangladesh,Q902,11
62,FY20,Q56676632,instance of,Fiscal Year,Q191891,11
63,Bangladesh Bank,Q806532,country,Bangladesh,Q902,11
64,FY22,id-less,followed by,FY23,id-less,11
65,MICS 2019,id-less,point in time,2019,Q25274,11
66,sanitation,Q949149,facet of,water,Q283,10
67,8FYP,id-less,number of episodes,8,Q23355,10
68,Bangladesh,Q902,instance of,LDC,Q752401,10
69,Bhutan,Q917,shares border with,India,Q668,10
70,India,Q668,shares border with,Bhutan,Q917,10
71,Vision 2021,Q17143470,point in time,2021,Q49628,10
72,1980s,Q34644,point in time,1980,Q2439,10
73,"Perspective Plan of Bangladesh, 2021-2041",id-less,point in time,2021,Q49628,10
74,urban areas,Q58259934,opposite of,rural,Q7380465,9
75,8FYP,id-less,number of participants,8,Q23355,9
76,rural,Q7380465,opposite of,urban areas,Q58259934,9
77,India,Q668,shares border with,Nepal,Q837,9
78,economic,Q8134,part of,social,Q345367,9
79,rural,Q7380465,subclass of,areas,Q4788688,9
80,renewable energy,Q12705,subclass of,energy,Q11379,9
81,COVID -19,Q112712553,point in time,19,Q39850,9
82,poultry,Q178559,subclass of,livestock,Q4767951,9
83,Bangladesh,Q902,capital,Dhaka,Q1354,9
84,Bangladesh Bureau of Statistics,Q2882475,instance of,BBS,Q210499,9
85,Bhutan,Q917,shares border with,Nepal,Q837,9
86,1960s,Q35724,point in time,1960,Q3754,9
87,Nepal,Q837,shares border with,India,Q668,9
