,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,Perspective Plan of Bangladesh,id-less,point in time,2021,Q49628,68
1,8FYP,id-less,point in time,8,Q23355,67
2,women,Q467,opposite of,men,Q8441,66
3,education,Q8434,has part,training,Q216033,41
4,training,Q216033,part of,education,Q8434,39
5,Government of Bangladesh,Q16056319,country,Bangladesh,Q902,37
6,MICS 2019,id-less,point in time,2019,Q25274,35
7,rural,Q7380465,opposite of,urban,Q159313,35
8,men,Q8441,opposite of,women,Q467,35
9,7FYP,id-less,point in time,7,Q23350,33
10,extreme poverty,Q2714378,subclass of,poverty,Q10294,32
11,urban,Q159313,opposite of,rural,Q7380465,32
12,1990s,Q34653,point in time,1990,Q2064,30
13,PP2041,id-less,point in time,2041,Q49914,28
14,rel_err,rel_err,rel_err,rel_err,rel_err,27
15,Prime Minister,Q14212,officeholder,Sheikh Hasina,Q52183,25
16,poor,Q5729485,subclass of,vulnerable,Q278113,25
17,Sheikh Hasina,Q52183,position held,Prime Minister,Q14212,25
18,female,Q43445,opposite of,male,Q6581097,25
19,demand,Q1665268,opposite of,supply,Q166656,23
20,health,Q12147,has part,nutrition,Q2138622,23
21,supply,Q166656,opposite of,demand,Q1665268,21
22,Vision 2041,id-less,point in time,2041,Q49914,21
23,PP2041,id-less,country,Bangladesh,Q902,20
24,M,Q11573,opposite of,F,Q130,20
25,Dhaka,Q1354,country,Bangladesh,Q902,20
26,F,Q130,opposite of,M,Q11573,20
27,male,Q6581097,opposite of,female,Q43445,20
28,primary,Q669262,subclass of,education,Q8434,19
29,public,Q294440,opposite of,private,Q158668,19
30,6FYP,id-less,followed by,7FYP,id-less,18
31,Bangladesh Delta Plan 2100,id-less,point in time,2100,Q11183,18
32,private sector,Q591763,opposite of,public,Q294440,18
33,health,Q12147,has part,education,Q8434,18
34,FY21,id-less,instance of,Fiscal Year,Q191891,17
35,FY22,id-less,instance of,Fiscal Year,Q191891,17
36,FY23,id-less,instance of,Fiscal Year,Q191891,17
37,FY24,id-less,instance of,Fiscal Year,Q191891,17
38,FY25,id-less,instance of,Fiscal Year,Q191891,17
39,R,Q129,opposite of,U,Q129,17
40,Baseline Data,Q33533529,subclass of,Indicators,Q21170064,17
41,Target by,id-less,parent organization,Target,Q1046951,17
42,Source,Q7376362,part of,Year,Q577,17
43,Year,Q577,has part,Source,Q7376362,17
44,U,Q129,opposite of,R,Q129,17
45,public,Q294440,opposite of,private sector,Q591763,17
46,Target,Q1046951,subsidiary,Target by,id-less,17
47,Progress against targets,id-less,facet of,targets,Q852162,16
48,BDP 2100,id-less,point in time,2100,Q11183,16
49,boys,Q3010,opposite of,girls,Q6581072,16
50,secondary,Q28469712,subclass of,education,Q8434,16
51,7FYP,id-less,follows,6FYP,id-less,16
52,economic,Q8134,part of,social,Q345367,15
53,Government,Q7188,country,Bangladesh,Q902,15
54,HIV,Q15787,has effect,AIDS,Q12199,15
55,private,Q158668,opposite of,public,Q294440,15
56,Target,Q1046951,instance of,Year,Q577,15
57,social,Q345367,part of,economic,Q8134,14
58,FY2024,id-less,followed by,FY2025,id-less,14
59,Bangladesh,Q902,shares border with,India,Q668,14
60,FY2025,id-less,follows,FY2024,id-less,14
61,girls,Q6581072,opposite of,boys,Q3010,14
62,India,Q668,shares border with,Bangladesh,Q902,14
63,economic,Q8134,has part,social,Q345367,14
64,adaptation,Q3331189,facet of,climate change,Q125928,13
65,CSOs,Q22808416,subclass of,NGOs,Q11788357,13
66,Divisions,Q67325359,has part,Ministries,Q192350,13
67,Ministries,Q192350,part of,Divisions,Q67325359,13
68,PSMP 2016,id-less,point in time,2016,Q25245,13
69,2000s,Q35024,point in time,2000,Q1985,13
70,sanitation,Q949149,facet of,water,Q283,13
71,2030 Agenda,Q22129254,point in time,2030,Q12799,13
72,100%,Q307482,area,100,Q37413,12
73,accountability,Q2798912,subclass of,transparency,Q3026325,12
74,Lead,Q708,instance of,Reports,Q10870555,12
75,renewable energy,Q12705,subclass of,energy,Q11379,12
76,Bangladesh Bank,Q806532,country,Bangladesh,Q902,12
77,Ministry,Q192350,has part,Divisi,Q169534,12
78,Divisi,Q169534,part of,Ministry,Q192350,12
79,100%,Q307482,point in time,100,Q37413,12
80,7FYP,id-less,followed by,8FYP,id-less,12
81,Performance Indicators,Q68711529,subclass of,Data Source,Q1172241,12
82,women,Q467,subclass of,children,Q7569,12
83,Bangladesh,Q902,instance of,LDC,Q752401,11
84,FY21,id-less,followed by,FY22,id-less,11
85,India,Q668,shares border with,Bhutan,Q917,11
86,FY22,id-less,followed by,FY23,id-less,11
87,FY25,id-less,follows,FY24,id-less,11
88,SDGs,Q7649586,facet of,SDG,Q7649586,11
89,Bhutan,Q917,shares border with,India,Q668,11
