,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,ANA VOLUNT,Q71271418,instance of,VOLUNT,Q1509,19
1,ARY,Q56426,instance of,NA,Q49,16
2,SUSTAINABLE DEVELOPMENT GOALS 2017,id-less,point in time,2017,Q25290,12
3,AINABLE DEVELOPMENT GOALS 2017,id-less,point in time,2017,Q25290,8
4,SDG,Q7649586,has part,SDGs,Q7649586,7
5,SDGs,Q7649586,part of,SDG,Q7649586,7
6,BOTSW ANA VOLUNT,id-less,instance of,VOLUNT,Q1509,6
7,4.2,Q217363,point in time,4,Q202,5
8,4.6,Q229873,point in time,4,Q202,5
9,,id-less,has part,ticipa,id-less,4
10,age,Q185836,different from,sex,Q10525,4
11,GOALS 2017,id-less,point in time,2017,Q25290,4
12,sex,Q10525,different from,age,Q185836,4
13,i,Q1103,has part,,id-less,4
14,De,Q183,has part,al,Q222,3
15,SDG 15,Q53581245,point in time,15,Q38701,3
16,L,Q11582,area,5,Q203,2
17,edicines,id-less,has part,edicine,Q53792465,2
18,sions be,id-less,part of,sions,Q37462564,2
19,reproductive health,Q1981388,facet of,reproductive,Q11990,2
20,BMinin g diamonds,id-less,said to be the same as,enric hing the na tion,id-less,2
21,the E,Q1071477,said to be the same as,E,Q684,2
22,pmen,id-less,part of,men,Q8441,2
23,4 C,Q388801,area,4,Q202,2
24,Elim,Q79557,ranking,5,Q203,2
25,emissions,Q10711575,has cause,GHG,Q167336,2
26,3 K,Q51671,point in time,3,Q201,2
27,international cooperation,Q9378718,subclass of,cooperation,Q380962,2
28,2.5,Q29866603,point in time,2,Q200,2
29,men,Q8441,has part,pmen,id-less,2
30,enric hing the na tion,id-less,said to be the same as,BMinin g diamonds,id-less,2
31,Linkin,Q21122860,ranking,2,Q200,2
32,4.5,Q197243,followed by,5,Q203,2
33,1,Q199,followed by,2,Q200,2
34,5,Q203,follows,4.5,Q197243,2
35,poor,Q5729485,subclass of,vulnerable,Q278113,2
36,sions,Q37462564,has part,sions be,id-less,2
37,rel_err,rel_err,rel_err,rel_err,rel_err,2
38,3.3,Q39321380,point in time,3,Q201,2
39,vulnerable,Q278113,subclass of,situation,Q2141565,2
40,developing countries,Q177323,subclass of,countries,Q6256,2
41,children under 5 years of age,id-less,subclass of,age,Q185836,2
42,draftin,Q580750,main subject,draft,Q244777,2
43,oor,Q1072736,different from,oo,Q828696,2
44,Vision 2036,id-less,point in time,2036,Q12123,2
45,oo,Q828696,different from,oor,Q1072736,2
46,GHG,Q167336,has effect,emissions,Q10711575,2
47,sions,Q37462564,has part,sion,Q68136,2
48,E,Q684,said to be the same as,the E,Q1071477,2
49,INDICATORS,Q21170064,part of,SDGS,Q7649586,2
50,SDGS,Q7649586,has part,INDICATORS,Q21170064,2
51,INDICATORS,Q21170064,part of <triplet>APPED,SDGS,Q7649586,2
52,least developed,Q752401,subclass of,developed,Q132453,2
53,sion,Q68136,part of,sions,Q37462564,2
54,disclos ure,id-less,part of,Product disclos ure,id-less,1
55,disco vered,id-less,subclass of,Diamond prospec ting,id-less,1
56,equivalent ef,Q5384721,instance of,equivalent,Q220433,1
57,essential services,Q6545422,has part,education,Q8434,1
58,essential services,Q6545422,has part,health,Q12147,1
59,estimates,Q87524600,publisher,Unit ed Nations,id-less,1
60,ethnicity,Q41710,different from,race,Q878123,1
61,disasters,Q3839081,has effect,disaster,Q3839081,1
62,existing m,Q46667859,has part,m,Q11573,1
63,evelopment,Q35138893,has part,infrastructure,Q121359,1
64,expansion,Q9073584,has cause,park expansion,id-less,1
65,ethics,Q9465,has part,anti-corru ption,id-less,1
66,dom,Q784,subclass of,proportion,Q2631509,1
67,equitable,Q1347892,said to be the same as,fair,Q288514,1
68,distribu tions,id-less,part of,shareholde,Q381136,1
69,dom,Q784,subclass of,care,Q699385,1
70,double,Q191290,subclass of,circumstances,Q813912,1
71,dream,Q36348,opposite of,reality,Q667661,1
72,diversiﬁed,Q99237754,subclass of,seed,Q40763,1
73,drillin g,id-less,uses,borehole,Q502102,1
74,e,Q684,different from,w,Q128,1
75,early,Q40719727,part of,developing countries,Q177323,1
76,economic developm ent a nd,id-less,has part,developm ent a nd,id-less,1
77,economic growth,Q189833,has cause,work,Q6958747,1
78,diversiﬁcation,Q731453,has effect,value,Q194112,1
79,ective bar,id-less,followed by,coll,Q194451,1
80,educa tion spor ts,id-less,facet of,health,Q12147,1
81,equi valent,id-less,subclass of,Researchers,Q1650915,1
82,education,Q8434,part of,essential services,Q6545422,1
83,ef ﬁciency,id-less,part of,resource,Q1554231,1
84,el C,Q105037,subclass of,C,Q623,1
85,emandi ng targ ets and tak e,id-less,part of,W e will,id-less,1
86,employm ent,id-less,part of,Manufacturing employm ent,id-less,1
87,employm ent,id-less,part of,gross,Q14290163,1
88,ems,Q1648,instance of,ecosyst,Q37813,1
89,environmental shock,id-less,different from,shock,Q178061,1
90,environmentally sound,Q61776581,facet of,environmentally,Q3899872,1
91,eogragphical,id-less,instance of,status,Q813912,1
92,equal rights,Q182488,facet of,econ,Q8134,1
93,end the epi,id-less,point in time,2030,Q12799,1
94,f curre,Q57981781,part of,curre,Q8142,1
95,experience,Q164359,has cause,skills,Q10670181,1
96,high ethical,Q58673763,instance of,standar,Q159375,1
97,harmful,Q84426668,subclass of,waste,Q45701,1
98,hazardous,Q5687710,subclass of,hazard,Q1132455,1
99,health,Q12147,different from,well being,Q7981051,1
100,health,Q12147,facet of,safety,Q10566551,1
101,health,Q12147,facet of,well,Q43483,1
102,health,Q12147,has part,capacity,Q1347367,1
103,health,Q12147,has part,ﬁnancing,Q6055890,1
104,health,Q12147,part of,essential services,Q6545422,1
105,health,Q12147,practiced by,health personnel,Q59283400,1
106,health personnel,Q59283400,field of this occupation,health,Q12147,1
107,health workforce in deve,id-less,located in the administrative territorial entity,deve,Q12099761,1
108,high,Q177414,subclass of,availability,Q663290,1
109,high - tech,id-less,has part,edium,id-less,1
110,his,Q485277,child,his r,Q27162279,1
111,exports of goods,id-less,part of,Debt service,Q1713926,1
112,his r,Q27162279,father,his,Q485277,1
113,honesty,Q337349,subclass of,openness,Q1683540,1
114,household,Q259059,has part,fam,Q1472842,1
115,huma n rights standards,id-less,instance of,standards,Q591990,1
116,hunger,Q165947,said to be the same as,End hunger,id-less,1
117,hygiene,Q162297,different from,sanitation,Q949149,1
118,impacts of climate change,Q112900604,facet of,climate change,Q125928,1
119,in pa,Q29820252,country,pa,Q804,1
120,inclusiveness,Q60716821,facet of,diversity,Q27722602,1
121,increased,Q209583,part of,sustainable,Q66095801,1
122,indigenou,Q103817,has part,peopl,Q148,1
123,individuals using the Internet,id-less,part of,Internet,Q75,1
124,industrial,Q487965,instance of,sectors,Q2739810,1
125,harmf,Q3184856,subclass of,abuse,Q600571,1
126,gross,Q14290163,has part,employm ent,id-less,1
127,gross,Q14290163,country,global,Q13780930,1
128,government,Q7188,subclass of,payment,Q1148747,1
129,extension,Q184148,subclass of,research,Q42240,1
130,extreme,Q682710,subclass of,events,Q107530716,1
131,f,Q130,part of,t,Q127,1
132,disaggreg,Q24724545,subclass of,produced,Q625671,1
133,f m,Q15761612,is a list of,m,Q11573,1
134,f ood,id-less,opposite of,chie v e f ood,id-less,1
135,f rem,Q88477633,has part,rem,Q23731823,1
136,fair,Q288514,said to be the same as,equitable,Q1347892,1
137,fam,Q1472842,part of,household,Q259059,1
138,family,Q8436,instance of,life style,Q32090,1
139,farm,Q131596,has part,plant,Q756,1
140,female,Q43445,opposite of,male,Q6581097,1
141,fixed term,Q814245,opposite of,contra ctors,id-less,1
142,flora,Q131449,subclass of,objec tive,id-less,1
143,for sus t ainabl e,id-less,instance of,ainabl,id-less,1
144,forced m,Q231632,subclass of,forced,Q16266633,1
145,form,Q279749,subclass of,current,Q129558,1
146,foster in novation,id-less,part of,sustainab le industriali zation,id-less,1
147,gement,Q4808894,has part,mana gement,id-less,1
148,gender,Q48277,different from,age,Q185836,1
149,genetic diversity of seeds,id-less,facet of,genetic,Q7162,1
150,genetic res,Q211675,subclass of,res,Q12705,1
151,genital,Q4620674,has part,m,Q11573,1
152,geopolitics,Q159385,part of,world,Q2,1
153,gh,Q117,contains administrative territorial entity,L,Q11582,1
154,girls,Q6581072,opposite of,women,Q467,1
155,global health risks,Q42549296,facet of,health,Q12147,1
156,disaggregated,Q65075740,subclass of,data,Q42848,1
157,,id-less,has part,Girls,Q6581072,1
158,disabilities,Q5281167,has effect,pregnant,Q20741850,1
159,diamond dreams,Q55609523,subclass of,dream,Q36348,1
160,al,Q222,part of,al di,Q165634,1
161,al di,Q165634,has part,al,Q222,1
162,alcohol,Q153,instance of,national context,Q41293854,1
163,all,Q1,said to be the same as,being,Q203872,1
164,all form,Q38310519,subclass of,form,Q279749,1
