,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,The following strategies are recommended,id-less,instance of,strategies,Q185451,15
1,women,Q467,opposite of,men,Q8441,4
2,training,Q216033,part of,education,Q8434,3
3,HIV,Q15787,has effect,AIDS,Q12199,3
4,education,Q8434,has part,training,Q216033,3
5,managers,Q114513068,subclass of,professionals,Q1218318,2
6,urban,Q159313,opposite of,rural areas,Q175185,2
7,education,Q8434,instance of,human right,Q8458,2
8,planning,Q309100,has effect,implementation,Q245962,2
9,Legislation,Q820655,part of,Policy,Q1156854,2
10,Role of Government,Q113080512,part of,4.1,Q2816680,2
11,unit,Q199,part of,family,Q8436,2
12,planning,Q309100,part of,management,Q2920921,2
13,food security,Q1229911,facet of,household,Q259059,2
14,Legislative Measures,Q45045443,part of,Policy,Q1156854,2
15,Legislative Matters,id-less,part of,Policy,Q1156854,2
16,training institutions,id-less,subclass of,institutions,Q27711101,2
17,Commerce and Industry,Q64295643,has part,Industry,Q8148,2
18,rural areas,Q175185,opposite of,urban,Q159313,2
19,Road Transport,Q516739,subclass of,Transport,Q7590,2
20,Research for Development,Q96331157,subclass of,Development,Q1074523,2
21,Capacity Building,Q1417724,subclass of,Building,Q41176,2
22,implementation,Q245962,has cause,planning,Q309100,2
23,poor,Q5729485,opposite of,rich,Q3917267,2
24,Agriculture,Q11451,part of,4.4.1,Q21119198,2
25,Rural Development,Q3045473,subclass of,Development,Q1074523,2
26,Land,Q11081619,has part,4.4.2,id-less,2
27,Land,Q11081619,part of,4.4.2,id-less,2
28,human resources,Q5467169,country,Swaziland,Q1050,2
29,Human Resource,Q2625010,part of,Public Sector Management,Q107471270,2
30,Gender,Q48277,has part,1,Q199,2
31,Fuel and Energy,Q29043705,has part,4.3,Q4031261,2
32,rich,Q3917267,opposite of,poor,Q5729485,2
33,The Media,Q11033,facet of,Media,Q11033,2
34,Swazi Society and Culture,id-less,instance of,Culture,Q11042,2
35,endangered,Q11394,subclass of,species,Q7432,2
36,sustainable development,Q131201,subclass of,development,Q1074523,2
37,risks,Q104493,subclass of,threats,Q37522873,2
38,Tourism and Recreation,Q30906207,has part,Recreation,Q184872,2
39,Swazi Nation Land,Q16919712,country,Swazi,Q34014,2
40,Industry,Q8148,part of,Commerce and Industry,Q64295643,2
41,Sanitation,Q949149,part of,Water and Sanitation,Q573692,2
42,family,Q8436,has part,unit,Q199,2
43,natural resource base,Q245857,subclass of,management,Q2920921,2
44,International Links,Q112708437,subclass of,Links,Q608910,2
45,Water Resource Development,Q58391136,has part,4.3,Q4031261,2
46,Water and Sanitation,Q573692,has part,Sanitation,Q949149,2
47,Youth,Q190007,number of episodes,8,Q23355,2
48,men,Q8441,opposite of,women,Q467,2
49,Recreation,Q184872,part of,Tourism and Recreation,Q30906207,2
50,8.2.1 Persons with Disabilities,id-less,main subject,Persons with Disabilities,Q74535604,2
51,4.4.2,id-less,has part,Land,Q11081619,2
52,5 Cableways and Telecommunications,id-less,facet of,Cableways and Telecommunications,id-less,2
53,Policy,Q1156854,has part,Legislative Matters,id-less,2
54,5,Q203,follows,4.5,Q197243,2
55,Policy,Q1156854,has part,Legislation,Q820655,2
56,4.8.2 Disadvantaged Groups,id-less,is a list of,Disadvantaged Groups,Q77189624,2
57,4.8,Q4637262,point in time,4,Q202,2
58,4.7,Q229874,point in time,4,Q202,2
59,4.6,Q229873,point in time,4,Q202,2
60,4.5,Q197243,followed by,5,Q203,2
61,4.4.1,Q21119198,has part,Agriculture,Q11451,2
62,Policy,Q1156854,has part,Legislative Measures,Q45045443,2
63,4.3,Q4031261,part of,Water Resource Development,Q58391136,2
64,4.3,Q4031261,part of,Fuel and Energy,Q29043705,2
65,4.3,Q4031261,followed by,6 Postal Services,id-less,2
66,4.2,Q217363,point in time,4,Q202,2
67,4.1,Q2816680,has part,Role of Government,Q113080512,2
68,3.2 Economic Empowerment,id-less,facet of,Economic Empowerment,Q63829080,2
69,3.4 Agricultural Development,id-less,facet of,Agricultural Development,Q65554733,2
70,3.4 Civil Aviation,id-less,point in time,3.4,Q29733805,2
71,3.7 Environmental Management,id-less,main subject,Environmental Management,Q929380,2
72,6 Postal Services,id-less,follows,4.3,Q4031261,2
73,3.5 Industrialisation,id-less,facet of,Industrialisation,Q202398,2
74,AIDS,Q12199,has cause,HIV,Q15787,2
75,health,Q12147,subclass of,social services,Q11588306,2
76,12 Human Settlements and Shelter,id-less,is a list of,Shelter,Q7493941,2
77,domestic economy,Q58729397,instance of,economy,Q159810,2
78,women,Q467,instance of,status,Q813912,2
79,health services,Q9353606,facet of,health,Q12147,2
80,3 Human Resource Development,id-less,facet of,Human Resource Development,Q5366892,2
81,3.1 Sound Economic Management,id-less,main subject,Sound Economic Management,id-less,2
82,needs,Q37208103,has part,aspirations,Q737568,1
83,natural science,Q7991,has part,production,Q739302,1
84,market,Q330284,has part,opportunit,Q193538,1
85,of the elderly,id-less,said to be the same as,elderly,Q1358789,1
86,off-shore financial centre,id-less,country,Swaziland,Q1050,1
87,open competition,Q113443223,facet of,modes of transport,Q6889150,1
88,marketing,Q39809,product or material produced,livestock,Q4767951,1
89,natural disasters,Q8065,has effect,safeguard against natural disasters,id-less,1
90,operat ion,id-less,subclass of,ions,Q36496,1
91,networking,Q10336440,subclass of,linkages,Q112949139,1
92,non-formal,Q64800887,subclass of,life skills,Q50929469,1
93,market driven,Q6770673,part of,Tertiary education,Q136822,1
94,of decency on SNL,id-less,part of,SNL,Q13979,1
95,non-agricultural,Q7048716,subclass of,a ctivities,id-less,1
96,market forces,Q6770677,part of,enterprises,Q5380419,1
97,market inf ormation,id-less,subclass of,market infrastructure,Q96727381,1
98,marketing,Q39809,facet of,consumer,Q22855,1
99,obstacle against women,id-less,facet of,women,Q467,1
100,networks,Q15758936,has part,infras tructure,id-less,1
101,obj ectives,id-less,part of,project,Q170584,1
102,o ffshore,id-less,part of,financial services,Q5449654,1
103,nationals,Q825838,part of,economic empowerme nt,id-less,1
104,nomination of stakeholder representat,id-less,part of,consultation process,Q83952239,1
105,noncommunicable diseases,Q98299735,subclass of,emerging,Q5370769,1
106,medium-term goals,id-less,subclass of,sector objectives,id-less,1
107,national development planning,Q104880767,has part,impl ementation,id-less,1
108,national unity,Q2199044,part of,democracy,Q7174,1
109,middle income country,Q25450949,subclass of,poverty alleviation,Q1824165,1
110,modifying them,id-less,subclass of,modifying,Q104427955,1
111,ministry of Home Affairs,Q6589202,subsidiary,Home Affairs,Q111145457,1
112,mining sector,Q23921996,subclass of,value-added,Q1434924,1
113,mining sector,Q23921996,instance of,diversification,Q731453,1
114,mining operations,Q306096,facet of,mining,Q44497,1
115,mining,Q44497,part of,agricultural,Q5356428,1
