,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,The following strategies are recommended,id-less,instance of,strategies,Q185451,15
1,HIV,Q15787,has effect,AIDS,Q12199,8
2,women,Q467,opposite of,men,Q8441,8
3,2015,Q2002,followed by,2017,Q25290,6
4,urban,Q159313,opposite of,rural,Q7380465,5
5,2017,Q25290,follows,2015,Q2002,5
6,rural,Q7380465,opposite of,urban,Q159313,5
7,decent work,Q827081,subclass of,employment,Q656365,5
8,sanitation,Q949149,subclass of,hygiene,Q162297,5
9,Agenda 2063,Q56296197,point in time,2063,Q1044976,5
10,men,Q8441,opposite of,women,Q467,5
11,training,Q216033,part of,education,Q8434,4
12,age,Q185836,different from,sex,Q10525,4
13,Trends Analysis,Q31098670,subclass of,Analysis,Q7754,4
14,percentages,Q93638010,different from,percentage,Q114550356,4
15,percentage,Q114550356,different from,percentages,Q93638010,4
16,sex,Q10525,different from,age,Q185836,4
17,females,Q111905566,opposite of,males,Q6743117,4
18,education,Q8434,has part,training,Q216033,4
19,sustainable agriculture,Q2751054,subclass of,agriculture,Q11451,3
20,AIDS,Q12199,has cause,HIV,Q15787,3
21,youth,Q190007,opposite of,adults,Q80994,3
22,Water and Sanitation,Q573692,has part,Sanitation,Q949149,3
23,light weapons,id-less,subclass of,small arms,Q1058629,3
24,males,Q6743117,opposite of,females,Q111905566,3
25,Sanitation,Q949149,part of,Water and Sanitation,Q573692,3
26,National,Q53247,conferred by,The National,Q1142566,3
27,table below,id-less,instance of,table,Q14748,3
28,2016,Q25245,followed by,2017,Q25290,3
29,adults,Q80994,opposite of,youth,Q190007,3
30,Tourism and Recreation,Q30906207,has part,Recreation,Q184872,2
31,The Media,Q11033,facet of,Media,Q11033,2
32,health,Q12147,has part,education,Q8434,2
33,regional,Q1218597,part of,global,Q13780930,2
34,unit,Q199,part of,family,Q8436,2
35,planning,Q309100,part of,management,Q2920921,2
36,4.4.2,id-less,has part,Land,Q11081619,2
37,endangered,Q11394,subclass of,species,Q7432,2
38,energy,Q11379,has part,fuel,Q42501,2
39,agricultural,Q5356428,instance of,sect,Q19097,2
40,adaptation,Q3331189,facet of,climate change,Q125928,2
41,8.2.1 Persons with Disabilities,id-less,main subject,Persons with Disabilities,Q74535604,2
42,3.7 Environmental Management,id-less,main subject,Environmental Management,Q929380,2
43,poor,Q5729485,opposite of,rich,Q3917267,2
44,monitoring,Q2143522,subclass of,evaluation,Q1379672,2
