,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,265,Q32189,subclass of,letters,Q1277575,49
1,200,Q713744,subclass of,letters,Q1277575,49
2,375,Q34902,has part,letters issued 275 280,id-less,49
3,375,Q34902,has part,360,Q48263,49
4,360,Q48263,has part,letters issued 275 280 360 360 375 375,id-less,49
5,360,Q48263,has part,375,Q34902,49
6,275 280,id-less,has part,375,Q34902,49
7,275 280,id-less,has part,360,Q48263,49
8,260,Q30311,subclass of,letters,Q1277575,49
9,Institutions Number of Management letters,id-less,subclass of,letters,Q1277575,49
10,2018 Budget,id-less,follows,2017,Q25290,49
11,2017,Q25290,followed by,2018 Budget,id-less,49
12,Central Region,Q846323,instance of,MMDAs,id-less,49
13,Greater Accra Region,Q431729,instance of,MMDAs,id-less,49
14,2019 BUDGET ESTIMATES,id-less,point in time,2019,Q25274,45
15,Institutions Number of Management letters issued,id-less,located in the administrative territorial entity,Western Region,Q1052867,16
16,Western Region,Q1052867,instance of,Institutions Number of Management letters,id-less,11
17,Budget by Chart of Account,id-less,facet of,Chart of Account,Q1406649,9
18,GH Cedi,id-less,instance of,Currency,Q8142,8
19,National Development Planning Commission,Q104880767,instance of,Entity,Q56061,8
20,2020,Q25337,followed by,2021,Q49628,7
21,2021,Q49628,follows,2020,Q25337,7
22,2019 BUDGET,id-less,point in time,2019,Q25274,7
23,Natural Account,id-less,part of,Sub-Programme,id-less,6
24,Management,Q2920921,part of,Administration,Q5283295,6
25,GH Cedi,id-less,start time,2019,Q25274,6
26,Sub-Programme,id-less,part of,Programme,Q170584,6
27,2021,Q49628,followed by,2022,Q49625,6
28,Sub-Programme,id-less,has part,Natural Account,id-less,6
29,National Development Planning Commission,Q104880767,inception,2019,Q25274,6
30,Version 1,Q22031885,point in time,1,Q199,6
31,2022,Q49625,follows,2021,Q49628,6
32,Programme,Q170584,has part,Sub-Programme,id-less,6
33,All Source of Funding,id-less,instance of,Funding,Q6055890,6
34,Administration,Q5283295,has part,Management,Q2920921,6
35,2022 Target Actual,id-less,point in time,2022,Q49625,5
36,MMDAs,id-less,subclass of,MDAs,Q6878879,5
37,"4,198,490",id-less,instance of,GFS,Q1537683,4
38,indicators,Q21170064,part of,sub-programme,id-less,4
39,"4,307,201",id-less,instance of,GFS,Q1537683,4
40,"4,198,490",id-less,point in time,"4,198",id-less,4
41,"7,312,555",id-less,number of episodes,7,Q23350,4
42,projections,Q7249458,part of,sub-programme,id-less,4
43,National Monitoring and Evaluation,Q96823894,number of participants,"324,000",id-less,4
44,National Plan Preparation,id-less,number of participants,"184,000",id-less,4
45,Operations,Q3884033,has part,Projects,Q93241073,3
46,Budget Sub-Programme Results Statement,id-less,facet of,Budget Sub-Programme,id-less,3
47,Budget Sub-Programme Description,id-less,subclass of,Sub-Programme Description,id-less,3
48,"2,030,261",id-less,point in time,"2,030",id-less,3
49,future performance,Q40110714,opposite of,past data,id-less,3
50,Use of goods and services,id-less,number of participants,"184,000",id-less,3
51,past data,id-less,opposite of,future performance,Q40110714,3
52,Projects,Q93241073,part of,Operations,Q3884033,3
53,"2,829,065",id-less,point in time,"2,829",id-less,3
54,Use of goods and services,id-less,number of participants,"324,000",id-less,3
55,2017 2018 Budget,id-less,point in time,2017,Q25290,3
56,GIFMIS,id-less,has part,Budget Module,id-less,2
57,"783,803",id-less,part of,Use of goods and services,id-less,2
58,ABFA,Q23514810,parent organization,Capex Total,id-less,2
59,Operations,Q3884033,facet of,Projects,Q93241073,2
60,ADMINISTRATION,Q5283295,part of,MANAGEMENT,Q2920921,2
61,Use of goods and services,id-less,instance of,"1,522,261",id-less,2
62,Statistical Assessment Report,id-less,instance of,Report,Q10870555,2
63,"2,030,261",id-less,main subject,"National Development Policy, Planning",id-less,2
64,Management and Administration,Q42122275,has part,Compensation of employees,Q627293,2
65,GOAL,Q4503831,sports league level,2,Q200,2
66,Appropriation Bill,Q1591172,instance of,Bill,Q686822,2
67,Use of goods and services,id-less,has part,"783,803",id-less,2
68,BOG,Q1681353,instance of,MOF,Q909212,2
69,Non financial assets,id-less,instance of,GFS,Q1537683,2
70,Main Outputs,id-less,instance of,Output Indicator,id-less,2
71,Budget Module,id-less,part of,GIFMIS,id-less,2
72,Non financial assets,id-less,subclass of,financial assets,Q50552590,2
73,Compensation of employees,Q627293,part of,Management and Administration,Q42122275,2
74,"1,522,261",id-less,point in time,"1,522",id-less,2
75,MOF,Q909212,has part,BOG,Q1681353,2
76,MMDAs,id-less,subclass of,MMDA,Q259278,2
77,decentralised planning,id-less,subclass of,policy formulation,Q40261861,2
78,MMDAs,id-less,has parts of the class,MDAs,Q6878879,2
79,Capex Total,id-less,subsidiary,ABFA,Q23514810,2
80,sustainability,Q219416,facet of,fiscal performance,id-less,2
81,office space,Q1044523,use,logistics,Q177777,2
82,"783,803",id-less,instance of,GFS,Q1537683,2
83,2016,Q25245,followed by,2017,Q25290,2
84,financial assets,Q50552590,has part,Non financial assets,id-less,2
85,National Values,Q58457241,instance of,Values,Q7912786,2
86,Output Indicator Past Years Projections,id-less,instance of,Projections,Q7249458,2
87,IGF,Q12791246,conferred by,GoG,Q1486288,2
88,Operations,Q3884033,part of,Projects,Q93241073,2
89,MANAGEMENT,Q2920921,has part,ADMINISTRATION,Q5283295,2
90,MDA,Q217,subclass of,MDAs,Q6878879,2
91,"1,522,261",id-less,instance of,National Policy Formulation,id-less,2
92,Objective,Q4503831,subclass of,Budget Sub-Programme,id-less,2
93,Western Region,Q1052867,number of participants,28,Q587465,1
94,Western Region,Q1052867,number of participants,27,Q433353,1
95,Western Region,Q1052867,number of participants,23,Q48240,1
96,bilateral organisation,id-less,has part,international development agencies,id-less,1
97,Transitioning to a Green Economy,id-less,main subject,Green Economy,Q598188,1
98,Western Region,Q1052867,population,1,Q199,1
99,Unit of,Q8142,has part,SDG indicators,id-less,1
100,United Nations Development Programme,Q161718,field of work,SDGs,Q7649586,1
101,Western Region,Q1052867,number of participants,13,Q37141,1
102,Western Region,Q1052867,number of participants,14,Q38582,1
103,Western Region,Q1052867,number of participants,26,Q83264,1
104,acquisition,Q22340494,subclass of,procurement,Q829492,1
105,Western Region,Q1052867,number of participants,12,Q36977,1
106,Western Region,Q1052867,instance of,Institutions Number of Management letters issued,id-less,1
107,Western Region,Q1052867,instance of,Institutions,Q27711101,1
108,Western Region,Q1052867,area,3,Q201,1
109,Western Region,Q1052867,number of participants,21,Q712477,1
110,Western Region,Q1052867,number of participants,16,Q40254,1
111,Western Region,Q1052867,number of participants,24,Q56194,1
112,Values Policy,id-less,instance of,Policy,Q1156854,1
113,Year Total 2019,id-less,point in time,2019,Q25274,1
114,03901,id-less,headquarters location,Headquarters,Q7540126,1
115,Target Actual,id-less,part of,Target,Q1046951,1
116,Professional evaluation,id-less,part of,Audit,Q181487,1
117,Republic of Ghana,Q117,country,Ghana,Q117,1
118,Report 1.6,id-less,instance of,Appropriation Bill,Q1591172,1
119,Recruit,Q1141116,part of,develop,Q844746,1
120,Projects,Q93241073,part of,Budget Programme,id-less,1
121,Projects,Q93241073,has part,Operations,Q3884033,1
122,Progress Report National,id-less,country,National,Q53247,1
123,Programme Description,id-less,part of,Budget,Q41263,1
124,Programme,Q170584,has part,Budget,Q41263,1
125,President,Q30461,country,Republic of Ghana,Q117,1
126,Target,Q1046951,has part,Target Actual,id-less,1
127,Preparation of Policy and Legislative Almanac,id-less,instance of,Almanac,Q171341,1
128,Policy and Legislative Almanac,id-less,instance of,Application,Q166142,1
129,Policy Framework,Q107437541,instance of,Results framework,id-less,1
