,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,2017,Q25290,followed by,2018 Budget,id-less,49
1,360,Q48263,has part,375,Q34902,49
2,375,Q34902,has part,360,Q48263,49
3,Central Region,Q846323,instance of,MMDAs,id-less,49
4,360,Q48263,has part,letters issued 275 280 360 360 375 375,id-less,49
5,Greater Accra Region,Q431729,instance of,MMDAs,id-less,49
6,Institutions Number of Management letters,id-less,subclass of,letters,Q1277575,49
7,375,Q34902,has part,letters issued 275 280,id-less,49
8,200,Q713744,subclass of,letters,Q1277575,49
9,275 280,id-less,has part,375,Q34902,49
10,275 280,id-less,has part,360,Q48263,49
11,265,Q32189,subclass of,letters,Q1277575,49
12,260,Q30311,subclass of,letters,Q1277575,49
13,2018 Budget,id-less,follows,2017,Q25290,49
14,2019 BUDGET ESTIMATES,id-less,point in time,2019,Q25274,45
15,Institutions Number of Management letters issued,id-less,located in the administrative territorial entity,Western Region,Q1052867,16
16,Western Region,Q1052867,instance of,Institutions Number of Management letters,id-less,11
17,Budget by Chart of Account,id-less,facet of,Chart of Account,Q1406649,9
18,GH Cedi,id-less,instance of,Currency,Q8142,8
19,National Development Planning Commission,Q104880767,instance of,Entity,Q56061,8
20,2021,Q49628,follows,2020,Q25337,7
21,2020,Q25337,followed by,2021,Q49628,7
22,2019 BUDGET,id-less,point in time,2019,Q25274,7
23,All Source of Funding,id-less,instance of,Funding,Q6055890,6
24,GH Cedi,id-less,start time,2019,Q25274,6
25,Management,Q2920921,part of,Administration,Q5283295,6
26,Version 1,Q22031885,point in time,1,Q199,6
27,National Development Planning Commission,Q104880767,inception,2019,Q25274,6
28,Sub-Programme,id-less,part of,Programme,Q170584,6
29,2022,Q49625,follows,2021,Q49628,6
30,2021,Q49628,followed by,2022,Q49625,6
31,Sub-Programme,id-less,has part,Natural Account,id-less,6
32,Natural Account,id-less,part of,Sub-Programme,id-less,6
33,Administration,Q5283295,has part,Management,Q2920921,6
34,Programme,Q170584,has part,Sub-Programme,id-less,6
35,MMDAs,id-less,subclass of,MDAs,Q6878879,5
36,2022 Target Actual,id-less,point in time,2022,Q49625,5
37,National Plan Preparation,id-less,number of participants,"184,000",id-less,4
38,National Monitoring and Evaluation,Q96823894,number of participants,"324,000",id-less,4
39,indicators,Q21170064,part of,sub-programme,id-less,4
40,"4,198,490",id-less,instance of,GFS,Q1537683,4
41,"4,198,490",id-less,point in time,"4,198",id-less,4
42,"7,312,555",id-less,number of episodes,7,Q23350,4
43,"4,307,201",id-less,instance of,GFS,Q1537683,4
44,projections,Q7249458,part of,sub-programme,id-less,4
45,Budget Sub-Programme Description,id-less,subclass of,Sub-Programme Description,id-less,3
46,Operations,Q3884033,has part,Projects,Q93241073,3
47,past data,id-less,opposite of,future performance,Q40110714,3
48,2017 2018 Budget,id-less,point in time,2017,Q25290,3
49,Use of goods and services,id-less,number of participants,"184,000",id-less,3
50,Use of goods and services,id-less,number of participants,"324,000",id-less,3
51,Projects,Q93241073,part of,Operations,Q3884033,3
52,1992 Constitution,id-less,point in time,1992,Q2060,3
53,"2,829,065",id-less,point in time,"2,829",id-less,3
54,"2,030,261",id-less,point in time,"2,030",id-less,3
55,future performance,Q40110714,opposite of,past data,id-less,3
56,Budget Sub-Programme Results Statement,id-less,facet of,Budget Sub-Programme,id-less,3
57,Objective,Q4503831,subclass of,Budget Sub-Programme,id-less,2
58,ABFA,Q23514810,parent organization,Capex Total,id-less,2
59,National Values,Q58457241,instance of,Values,Q7912786,2
60,"783,803",id-less,part of,Use of goods and services,id-less,2
61,ADMINISTRATION,Q5283295,part of,MANAGEMENT,Q2920921,2
62,"783,803",id-less,instance of,GFS,Q1537683,2
63,programmes,Q39071357,subclass of,policies,Q47011897,2
64,Non financial assets,id-less,subclass of,financial assets,Q50552590,2
65,Statistical Assessment Report,id-less,instance of,Report,Q10870555,2
66,Non financial assets,id-less,instance of,GFS,Q1537683,2
67,Use of goods and services,id-less,has part,"783,803",id-less,2
68,BOG,Q1681353,instance of,MOF,Q909212,2
69,Judiciary,Q105985,part of,The Judiciary,Q113087320,2
70,The Judiciary,Q113087320,has part,Judiciary,Q105985,2
71,national development plan,Q846059,legislated by,Parliament,Q11010,2
72,Compensation of employees,Q627293,part of,Management and Administration,Q42122275,2
73,MMDAs,id-less,subclass of,MMDA,Q259278,2
74,Main Outputs,id-less,instance of,Output Indicator,id-less,2
75,MMDAs,id-less,has parts of the class,MDAs,Q6878879,2
76,Management and Administration,Q42122275,has part,Compensation of employees,Q627293,2
77,Capex Total,id-less,subsidiary,ABFA,Q23514810,2
78,"1,522,261",id-less,instance of,National Policy Formulation,id-less,2
79,Use of goods and services,id-less,instance of,"1,522,261",id-less,2
80,office space,Q1044523,use,logistics,Q177777,2
81,districts,Q5283500,country,Ghana,Q117,2
82,Budget Module,id-less,part of,GIFMIS,id-less,2
83,MDA,Q217,subclass of,MDAs,Q6878879,2
84,MANAGEMENT,Q2920921,has part,ADMINISTRATION,Q5283295,2
85,Appropriation Bill,Q1591172,instance of,Bill,Q686822,2
86,Operations,Q3884033,facet of,Projects,Q93241073,2
87,MOF,Q909212,has part,BOG,Q1681353,2
88,Operations,Q3884033,part of,Projects,Q93241073,2
89,decentralised planning,id-less,subclass of,policy formulation,Q40261861,2
90,GOAL,Q4503831,sports league level,2,Q200,2
91,financial assets,Q50552590,has part,Non financial assets,id-less,2
92,GIFMIS,id-less,has part,Budget Module,id-less,2
93,2016,Q25245,followed by,2017,Q25290,2
94,GHANA,Q117,instance of,REPUBLIC,Q7270,2
95,development planning,Q108059815,subclass of,planning,Q309100,2
96,IGF,Q12791246,conferred by,GoG,Q1486288,2
97,"1,522,261",id-less,point in time,"1,522",id-less,2
98,Output Indicator Past Years Projections,id-less,instance of,Projections,Q7249458,2
99,sustainability,Q219416,facet of,fiscal performance,id-less,2
100,"2,030,261",id-less,main subject,"National Development Policy, Planning",id-less,2
101,Will the Plan Replace the Manifestos of Political Parties?,id-less,facet of,Manifestos of Political Parties,id-less,1
102,development agenda,Q112923516,subclass of,agenda,Q4692030,1
103,Women’s Participation and Representation,id-less,has part,Representation,Q853614,1
104,direction,Q2151613,opposite of,consistency,Q1319773,1
105,Western Region,Q1052867,number of participants,16,Q40254,1
