,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,Central Region,Q846323,instance of,MMDAs,id-less,49
1,375,Q34902,has part,360,Q48263,49
2,200,Q713744,subclass of,letters,Q1277575,49
3,Institutions Number of Management letters,id-less,subclass of,letters,Q1277575,49
4,2017,Q25290,followed by,2018 Budget,id-less,49
5,Greater Accra Region,Q431729,instance of,MMDAs,id-less,49
6,375,Q34902,has part,letters issued 275 280,id-less,49
7,2018 Budget,id-less,follows,2017,Q25290,49
8,360,Q48263,has part,letters issued 275 280 360 360 375 375,id-less,49
9,360,Q48263,has part,375,Q34902,49
10,275 280,id-less,has part,375,Q34902,49
11,275 280,id-less,has part,360,Q48263,49
12,265,Q32189,subclass of,letters,Q1277575,49
13,260,Q30311,subclass of,letters,Q1277575,49
14,2019 BUDGET ESTIMATES,id-less,point in time,2019,Q25274,45
15,2019 VNR REPORT,id-less,country,GHANA,Q117,44
16,Institutions Number of Management letters issued,id-less,located in the administrative territorial entity,Western Region,Q1052867,16
17,Western Region,Q1052867,instance of,Institutions Number of Management letters,id-less,11
18,2016,Q25245,followed by,2017,Q25290,10
19,Budget by Chart of Account,id-less,facet of,Chart of Account,Q1406649,9
20,VNR,Q18042973,country,GHANA,Q117,9
21,National Development Planning Commission,Q104880767,instance of,Entity,Q56061,8
22,GH Cedi,id-less,instance of,Currency,Q8142,8
23,Brong Ahafo,Q397737,shares border with,Ashanti,Q161877,7
24,2017,Q25290,followed by,2018,Q25291,7
25,females,Q111905566,opposite of,males,Q6743117,7
26,Ashanti,Q161877,shares border with,Brong Ahafo,Q397737,7
27,2019 BUDGET,id-less,point in time,2019,Q25274,7
28,2021,Q49628,follows,2020,Q25337,7
29,2020,Q25337,followed by,2021,Q49628,7
30,All Source of Funding,id-less,instance of,Funding,Q6055890,6
31,National Development Planning Commission,Q104880767,inception,2019,Q25274,6
32,males,Q6743117,opposite of,females,Q111905566,6
33,Programme,Q170584,has part,Sub-Programme,id-less,6
