,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,J U N E,id-less,has part,2,Q200,31
1,0,Q14920387,part of,J U N E,id-less,31
2,J U N E,id-less,has part,0,Q14920387,31
3,2,Q200,part of,J U N E,id-less,31
4,2 0 2 0,id-less,number of participants,2,Q200,30
5,2017,Q25290,followed by,2018,Q25291,24
6,Targets and Indicators,id-less,has part,Indicators,Q21170064,19
7,Indicators,Q21170064,part of,Targets and Indicators,id-less,19
8,2018,Q25291,followed by,2019,Q25274,18
9,Activit,Q726543,part of,Priorit y Activit,id-less,16
10,Priorit y Activit ies,id-less,has part,Activit,Q726543,15
11,China,Q148,shares border with,Laos,Q819,14
12,Laos,Q819,shares border with,China,Q148,14
13,2019,Q25274,followed by,2020,Q25337,13
14,2018,Q25291,follows,2017,Q25290,12
15,Vientiane,Q9326,instance of,Capital,Q193893,10
16,2020,Q25337,follows,2019,Q25274,9
17,1.2,Q22231111,followed by,2,Q200,8
18,1.1,Q22231110,point in time,1,Q199,8
19,New project,Q113698645,instance of,project,Q170584,8
20,Lao,Q819,country,PDR,Q18967481,8
21,services,Q114080183,part of,production,Q739302,7
22,2016,Q25245,followed by,2017,Q25290,7
23,technology,Q11016,part of,science,Q336,7
24,science,Q336,has part,technology,Q11016,7
25,women,Q467,opposite of,men,Q8441,7
26,Kenya Vision 2030,Q6392757,point in time,2030,Q12799,7
27,provincial,Q7252609,contains administrative territorial entity,district,Q123705,6
28,regional,Q1218597,has part,international integration,Q56386363,6
29,technology,Q11016,has effect,innovation,Q174165,6
30,rural,Q7380465,opposite of,urban,Q159313,6
31,district,Q123705,located in the administrative territorial entity,provincial,Q7252609,6
32,international integration,Q56386363,part of,regional,Q1218597,6
33,Kenya,Q114,member of,SDGs,Q7649586,6
34,forestry,Q38112,part of,agriculture,Q11451,6
35,males,Q6743117,opposite of,females,Q111905566,6
36,females,Q111905566,opposite of,males,Q6743117,6
37,localities,Q3257686,part of,sectors,Q2739810,5
38,local,Q11851202,contains administrative territorial entity,central,Q57525,5
39,central,Q57525,located in the administrative territorial entity,local,Q11851202,5
40,2016,Q25245,followed by,2019,Q25274,5
41,PDR,Q18967481,language used,Lao,Q819,5
42,urban,Q159313,opposite of,rural,Q7380465,5
43,administration,Q5283295,part of,public governance,Q56758914,5
44,men,Q8441,opposite of,women,Q467,5
45,international,Q1072012,has part,regional,Q1218597,5
46,regional,Q1218597,part of,international,Q1072012,5
47,3,Q201,follows,2,Q200,5
48,2019,Q25274,follows,2018,Q25291,5
49,2,Q200,followed by,3,Q201,5
50,legislation,Q820655,has part,regulations,Q106947327,5
51,teaching,Q352842,subclass of,learning,Q133500,5
52,II.,Q28469712,point in time,II,Q200,4
53,urban,Q159313,opposite of,rural areas,Q175185,4
54,economic development,Q4530482,subclass of,development,Q1074523,4
55,women,Q467,subclass of,children,Q7569,4
56,SDGs,Q7649586,has part,3,Q201,4
57,implementation,Q245962,facet of,SDGs,Q7649586,4
58,sustainable,Q66095801,subclass of,green,Q3133,4
59,2019,Q25274,follows,2016,Q25245,4
60,research,Q42240,part of,scientific,Q42240,4
61,Output 1,id-less,facet of,economic growth,Q189833,4
62,sustainable development,Q131201,subclass of,green,Q3133,4
63,rural areas,Q175185,opposite of,urban,Q159313,4
64,children,Q7569,part of,women,Q467,4
65,sectors,Q2739810,has part,localities,Q3257686,4
66,remote areas,Q64303346,part of,rural,Q7380465,4
67,women,Q467,has part,children,Q7569,4
68,ECONOMIC,Q8134,has part,DEVELOPMENT,Q1074523,4
69,tourism,Q49389,instance of,industry,Q8148,4
70,social security,Q2483208,subclass of,social protection,Q2483208,4
71,innovation,Q174165,has cause,technology,Q11016,4
72,rural,Q7380465,has part,remote areas,Q64303346,4
73,regulations,Q106947327,part of,legislation,Q820655,4
74,natural resources,Q105575840,part of,environment,Q2249676,4
75,public sector,Q294217,opposite of,private sector,Q591763,4
76,DEVELOPMENT,Q1074523,part of,ECONOMIC,Q8134,4
77,towns,Q22108005,different from,cities,Q515,3
78,4.2,Q217363,point in time,4,Q202,3
79,infrastructure,Q121359,part of,development,Q1074523,3
80,vocational education,Q6869278,subclass of,secondary school,Q159334,3
81,2016,Q25245,followed by,2018,Q25291,3
82,Marsabit,Q1709128,instance of,counties,Q1350181,3
83,rich,Q3917267,opposite of,poor,Q5729485,3
84,programmes,Q39071357,has part,projects,Q93241073,3
85,urban areas,Q58259934,opposite of,rural,Q7380465,3
86,forest,Q4421,subclass of,natural resource,Q188460,3
87,trade,Q601401,part of,production,Q739302,3
88,projects,Q93241073,part of,programmes,Q39071357,3
89,semi-arid,Q124196,subclass of,arid,Q1330709,3
90,2017,Q25290,follows,2016,Q25245,3
91,monetary,Q8142,part of,financial,Q22687,3
92,2017/18,Q54879316,followed by,2018/19,Q55328053,3
93,2018,Q25291,follows,2014,Q1999,3
94,2018,Q25291,follows,2016,Q25245,3
95,PDR,Q18967481,said to be the same as,Lao,Q819,3
96,poor,Q5729485,opposite of,rich,Q3917267,3
97,2018/19,Q55328053,follows,2017/18,Q54879316,3
98,Busia,Q1111957,instance of,counties,Q1350181,3
99,Kenya,Q114,member of,United Nations,Q1065,3
100,2017,Q25290,follows,2012,Q1990,3
101,Vientiane,Q9326,instance of,provinces,Q429976,3
102,services,Q114080183,different from,goods,Q2424752,3
103,hygiene,Q162297,facet of,health,Q12147,3
104,Lao,Q819,said to be the same as,PDR,Q18967481,3
105,SDGs,Q7649586,has part,8,Q23355,3
106,rural,Q7380465,opposite of,urban areas,Q58259934,3
