,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,SDGi,id-less,country,Lao,Q819,50
1,J U N E,id-less,has part,0,Q14920387,31
2,2,Q200,part of,J U N E,id-less,31
3,0,Q14920387,part of,J U N E,id-less,31
4,J U N E,id-less,has part,2,Q200,31
5,Baseline,Q201610,part of,Frequency,Q11652,30
6,2 0 2 0,id-less,number of participants,2,Q200,30
7,Frequency,Q11652,has part,Baseline,Q201610,30
8,SDGr,Q30292073,part of,SDGi,id-less,29
9,women,Q467,opposite of,men,Q8441,29
10,SDGi,id-less,has part,SDGr,Q30292073,29
11,Every 5,id-less,number of episodes,5,Q203,26
12,2017,Q25290,followed by,2018,Q25291,24
13,2018,Q25291,followed by,2019,Q25274,21
14,Indicators,Q21170064,part of,Targets and Indicators,id-less,19
15,Targets and Indicators,id-less,has part,Indicators,Q21170064,19
16,Lao,Q819,country,PDR,Q18967481,18
17,MONRE,Q61931681,instance of,Yearly,Q271855,18
18,Targets,Q852162,has part,Target,Q1046951,17
19,Target,Q1046951,part of,Targets,Q852162,17
20,men,Q8441,opposite of,women,Q467,16
21,2030 Agenda,Q22129254,point in time,2030,Q12799,16
22,LSIS,Q16508582,has part,LSI,Q79868227,16
23,Activit,Q726543,part of,Priorit y Activit,id-less,16
24,LSI,Q79868227,part of,LSIS,Q16508582,16
25,China,Q148,shares border with,Laos,Q819,15
26,Laos,Q819,shares border with,China,Q148,15
27,Priorit y Activit ies,id-less,has part,Activit,Q726543,15
28,forestry,Q38112,part of,agriculture,Q11451,13
29,2019,Q25274,followed by,2020,Q25337,13
30,Baseline,Q201610,subclass of,Data Source,Q1172241,13
31,PDR,Q18967481,said to be the same as,Lao,Q819,12
32,Government of Lao PDR,id-less,country,Lao PDR,Q819,12
33,district,Q123705,located in the administrative territorial entity,provincial,Q7252609,12
34,2018,Q25291,follows,2017,Q25290,12
35,provincial,Q7252609,contains administrative territorial entity,district,Q123705,12
36,Lao,Q819,said to be the same as,PDR,Q18967481,12
37,Vientiane,Q9326,instance of,Capital,Q193893,12
38,1.1,Q22231110,point in time,1,Q199,10
39,science,Q336,has part,technology,Q11016,10
40,2,Q200,followed by,3,Q201,10
41,PDR,Q18967481,language used,Lao,Q819,10
42,Global Targets,Q97636245,instance of,Targets,Q852162,9
43,2016,Q25245,followed by,2017,Q25290,9
44,2020,Q25337,follows,2019,Q25274,9
45,MPI 2015,id-less,point in time,2015,Q2002,9
46,rural,Q7380465,opposite of,urban,Q159313,9
47,technology,Q11016,part of,science,Q336,9
48,New project,Q113698645,instance of,project,Q170584,8
49,urban,Q159313,opposite of,rural,Q7380465,8
50,females,Q111905566,opposite of,males,Q6743117,8
51,women,Q467,opposite of,girls,Q6581072,8
52,Vientiane,Q9326,country,Lao PDR,Q819,8
53,1.2,Q22231111,followed by,2,Q200,8
54,Government,Q7188,country,Lao PDR,Q819,8
55,Progress Update,Q37129735,facet of,global framework,Q56297849,8
56,HIV,Q15787,has effect,AIDS,Q12199,8
57,Lao PDR,Q819,capital,Vientiane,Q9326,8
58,MOLSW,Q109804805,point in time,2015,Q2002,8
59,girls,Q6581072,opposite of,women,Q467,7
60,SDGs,Q7649586,facet of,SDG,Q7649586,7
61,Survey,Q747810,publisher,LSB,Q3436689,7
62,2019,Q25274,follows,2018,Q25291,7
63,males,Q6743117,opposite of,females,Q111905566,7
64,services,Q114080183,part of,production,Q739302,7
65,Kenya Vision 2030,Q6392757,point in time,2030,Q12799,7
66,technology,Q11016,has effect,innovation,Q174165,7
67,1 Indicator,id-less,point in time,1,Q199,7
68,regional,Q1218597,has part,international integration,Q56386363,6
69,girls,Q6581072,opposite of,boys,Q3010,6
70,Kenya,Q114,member of,SDGs,Q7649586,6
71,international integration,Q56386363,part of,regional,Q1218597,6
72,health,Q12147,has part,education,Q8434,6
73,8th,Q28469718,followed by,9th NSEDP,id-less,6
74,SDGi,id-less,instance of,Implementation,Q245962,6
75,regional,Q1218597,part of,international,Q1072012,6
76,teaching,Q352842,subclass of,learning,Q133500,6
77,SDG indicators,id-less,part of,SDG,Q7649586,6
78,international,Q1072012,has part,regional,Q1218597,6
79,3,Q201,follows,2,Q200,6
80,Male,Q6581097,opposite of,Female,Q43445,5
81,Female,Q43445,opposite of,Male,Q6581097,5
82,economic,Q8134,part of,social,Q345367,5
83,women,Q467,subclass of,children,Q7569,5
84,central,Q57525,located in the administrative territorial entity,local,Q11851202,5
85,remote areas,Q64303346,part of,rural,Q7380465,5
86,administration,Q5283295,part of,public governance,Q56758914,5
87,rel_err,rel_err,rel_err,rel_err,rel_err,5
88,2018,Q25291,follows,2014,Q1999,5
89,sustainable development,Q131201,subclass of,development,Q1074523,5
90,research,Q42240,part of,scientific,Q42240,5
91,2016,Q25245,followed by,2019,Q25274,5
92,urban,Q159313,opposite of,rural areas,Q175185,5
93,Government of Lao PDR,id-less,located in the administrative territorial entity,Vientiane,Q9326,5
94,SWGr,Q9585605,instance of,SDG indicators,id-less,5
95,village,Q532,located in the administrative territorial entity,district,Q123705,5
96,localities,Q3257686,part of,sectors,Q2739810,5
97,SDG implementation,id-less,part of,SDG,Q7649586,5
98,developing countries,Q177323,subclass of,countries,Q6256,5
99,8th NSEDP,id-less,followed by,9th NSEDP,id-less,5
100,2014,Q1999,followed by,2018,Q25291,5
101,rural,Q7380465,subclass of,areas,Q4788688,5
102,MAF,Q1073939,instance of,Admin,Q4039395,5
103,infrastructure,Q121359,part of,development,Q1074523,5
104,SDG,Q7649586,has part,SDG implementation,id-less,5
105,rural,Q7380465,has part,remote areas,Q64303346,5
106,1,Q199,followed by,2,Q200,5
107,legislation,Q820655,has part,regulations,Q106947327,5
108,Paris,Q90,country,France,Q142,5
109,boys,Q3010,opposite of,girls,Q6581072,5
110,social,Q345367,part of,economic,Q8134,5
111,MPWT,id-less,instance of,Yearly,Q271855,5
112,SDGs,Q7649586,main subject,SDG,Q7649586,5
113,local,Q11851202,contains administrative territorial entity,central,Q57525,5
114,least developed countries,Q752401,opposite of,developed countries,Q132453,5
115,districts,Q5283500,part of,provinces,Q429976,5
116,rural areas,Q175185,opposite of,urban,Q159313,5
117,economic,Q8134,has part,social,Q345367,5
118,SDGs,Q7649586,has part,3,Q201,5
119,women,Q467,has part,children,Q7569,4
120,indicators,Q21170064,part of,SDGi,id-less,4
121,indicators,Q21170064,part of,SDG,Q7649586,4
122,Output 1,id-less,facet of,economic growth,Q189833,4
123,trade,Q601401,part of,production,Q739302,4
124,2015,Q2002,followed by,2018,Q25291,4
125,provinces,Q429976,contains administrative territorial entity,districts,Q5283500,4
126,DEVELOPMENT,Q1074523,part of,ECONOMIC,Q8134,4
127,districts,Q5283500,located in the administrative territorial entity,provinces,Q429976,4
128,urban,Q159313,opposite of,rural area,Q175185,4
129,vocational,Q322563,subclass of,education,Q8434,4
130,drought,Q43059,has effect,flood,Q8068,4
131,social security,Q2483208,subclass of,social protection,Q2483208,4
132,Lao,Q819,replaces,PDR,Q18967481,4
133,Lao PDR,Q819,instance of,country,Q6256,4
134,children,Q7569,part of,women,Q467,4
135,SDG,Q7649586,has part,indicators,Q21170064,4
136,ECONOMIC,Q8134,has part,DEVELOPMENT,Q1074523,4
137,innovation,Q174165,has cause,technology,Q11016,4
138,district,Q123705,contains administrative territorial entity,village,Q532,4
139,sectors,Q2739810,has part,localities,Q3257686,4
140,international cooperation,Q9378718,subclass of,cooperation,Q380962,4
141,Ministry of Planning and Investment,Q6867449,located in the administrative territorial entity,Vientiane,Q9326,4
142,Every 10,id-less,number of episodes,10,Q23806,4
143,SDG 4,Q98658975,has part,Quality Education,Q53581209,4
144,private sectors,id-less,part of,public,Q294440,4
145,developed countries,Q132453,opposite of,least developed countries,Q752401,4
146,PDR,Q18967481,contains administrative territorial entity,Lao PDR,Q819,4
147,On-going,Q106971903,facet of,VACS,Q740396,4
148,II.,Q28469712,point in time,II,Q200,4
149,adolescents,Q360484,subclass of,youth,Q190007,4
