,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,women,Q467,opposite of,men,Q8441,69
1,SDGi,id-less,country,Lao,Q819,50
2,Agenda For Prosperity And Development,id-less,follows,Pro-Poor Agenda For Prosperity And Development,id-less,50
3,Pro-Poor Agenda For Prosperity And Development,id-less,followed by,Agenda For Prosperity And Development,id-less,50
4,men,Q8441,opposite of,women,Q467,37
5,Republic Of Liberia,Q1014,country,Liberia,Q1014,37
6,J U N E,id-less,has part,2,Q200,31
7,J U N E,id-less,has part,0,Q14920387,31
8,2,Q200,part of,J U N E,id-less,31
9,0,Q14920387,part of,J U N E,id-less,31
10,2 0 2 0,id-less,number of participants,2,Q200,30
11,Baseline,Q201610,part of,Frequency,Q11652,30
12,Frequency,Q11652,has part,Baseline,Q201610,30
13,SDGi,id-less,has part,SDGr,Q30292073,29
14,SDGr,Q30292073,part of,SDGi,id-less,29
15,Every 5,id-less,number of episodes,5,Q203,26
16,1.1,Q22231110,point in time,1,Q199,25
17,2017,Q25290,followed by,2018,Q25291,24
18,2018,Q25291,followed by,2019,Q25274,21
19,Indicators,Q21170064,part of,Targets and Indicators,id-less,19
20,Targets and Indicators,id-less,has part,Indicators,Q21170064,19
21,Lao,Q819,country,PDR,Q18967481,18
22,MONRE,Q61931681,instance of,Yearly,Q271855,18
23,Target,Q1046951,part of,Targets,Q852162,17
24,2030 Agenda,Q22129254,point in time,2030,Q12799,17
25,Targets,Q852162,has part,Target,Q1046951,17
26,2,Q200,followed by,3,Q201,16
27,forestry,Q38112,part of,agriculture,Q11451,16
28,LSIS,Q16508582,has part,LSI,Q79868227,16
29,Activit,Q726543,part of,Priorit y Activit,id-less,16
30,LSI,Q79868227,part of,LSIS,Q16508582,16
31,Priorit y Activit ies,id-less,has part,Activit,Q726543,15
32,Laos,Q819,shares border with,China,Q148,15
33,China,Q148,shares border with,Laos,Q819,15
34,Public,Q294440,instance of,Sector,Q3958441,15
35,rel_err,rel_err,rel_err,rel_err,rel_err,15
36,ACTIVITIES,Q61788060,part of,TARGETSSTRATEGIES,id-less,14
37,HIV,Q15787,has effect,AIDS,Q12199,14
38,TARGETSSTRATEGIES,id-less,has part,ACTIVITIES,Q61788060,14
39,science,Q336,has part,technology,Q11016,14
40,OTHER PARTS,id-less,has part,WITH OTHER PARTS,id-less,13
41,WITH OTHER,Q16048069,has part,OTHER,Q48270,13
42,WITH OTHER PARTS,id-less,part of,OTHER PARTS,id-less,13
43,OTHER,Q48270,part of,WITH OTHER,Q16048069,13
44,women,Q467,opposite of,girls,Q6581072,13
45,2019,Q25274,followed by,2020,Q25337,13
46,sustainable development,Q131201,subclass of,development,Q1074523,13
47,Baseline,Q201610,subclass of,Data Source,Q1172241,13
48,PLAN,Q4006,has part,OF THE PLAN,id-less,13
49,OF THE PLAN,id-less,part of,PLAN,Q4006,13
50,technology,Q11016,part of,science,Q336,12
51,equality,Q842346,facet of,gender,Q48277,12
52,Government of Lao PDR,id-less,country,Lao PDR,Q819,12
53,girls,Q6581072,opposite of,women,Q467,12
54,PDR,Q18967481,said to be the same as,Lao,Q819,12
55,provincial,Q7252609,contains administrative territorial entity,district,Q123705,12
56,AGENDA 2063,Q56296197,point in time,2063,Q1044976,12
57,2018,Q25291,follows,2017,Q25290,12
58,Lao,Q819,said to be the same as,PDR,Q18967481,12
59,Vientiane,Q9326,instance of,Capital,Q193893,12
60,district,Q123705,located in the administrative territorial entity,provincial,Q7252609,12
61,interventions,Q15763635,subclass of,intervention,Q179661,12
62,health,Q12147,has part,education,Q8434,11
63,Liberia,Q1014,ethnic group,Liberians,Q99735521,11
64,2016,Q25245,followed by,2017,Q25290,11
