,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,women,Q467,opposite of,men,Q8441,81
1,REPUBLIC OF LIBERIA,Q1014,point in time,2030,Q12799,52
2,HIV,Q15787,has effect,AIDS,Q12199,50
3,Agenda For Prosperity And Development,id-less,follows,Pro-Poor Agenda For Prosperity And Development,id-less,50
4,SDGi,id-less,country,Lao,Q819,50
5,Pro-Poor Agenda For Prosperity And Development,id-less,followed by,Agenda For Prosperity And Development,id-less,50
6,men,Q8441,opposite of,women,Q467,40
7,Republic Of Liberia,Q1014,country,Liberia,Q1014,37
8,J U N E,id-less,has part,2,Q200,31
9,2,Q200,part of,J U N E,id-less,31
10,J U N E,id-less,has part,0,Q14920387,31
11,0,Q14920387,part of,J U N E,id-less,31
12,Baseline,Q201610,part of,Frequency,Q11652,30
13,Frequency,Q11652,has part,Baseline,Q201610,30
14,2 0 2 0,id-less,number of participants,2,Q200,30
15,SDGr,Q30292073,part of,SDGi,id-less,29
16,SDGi,id-less,has part,SDGr,Q30292073,29
17,Every 5,id-less,number of episodes,5,Q203,26
18,forestry,Q38112,part of,agriculture,Q11451,26
19,1.1,Q22231110,point in time,1,Q199,25
20,rel_err,rel_err,rel_err,rel_err,rel_err,24
21,2017,Q25290,followed by,2018,Q25291,24
22,Liberia,Q1014,ethnic group,Liberians,Q99735521,22
23,2018,Q25291,followed by,2019,Q25274,21
24,v,Q25428,has part,i,Q1103,20
25,i,Q1103,part of,v,Q25428,20
26,Targets and Indicators,id-less,has part,Indicators,Q21170064,19
27,Indicators,Q21170064,part of,Targets and Indicators,id-less,19
28,Lao,Q819,country,PDR,Q18967481,18
29,MONRE,Q61931681,instance of,Yearly,Q271855,18
30,2030 Agenda,Q22129254,point in time,2030,Q12799,17
31,rural,Q7380465,opposite of,urban,Q159313,17
32,Targets,Q852162,has part,Target,Q1046951,17
33,Target,Q1046951,part of,Targets,Q852162,17
34,2,Q200,followed by,3,Q201,16
35,Activit,Q726543,part of,Priorit y Activit,id-less,16
36,LSI,Q79868227,part of,LSIS,Q16508582,16
37,LSIS,Q16508582,has part,LSI,Q79868227,16
38,REPUBLIC OF LIBERIA,Q1014,inception,2030,Q12799,15
39,Public,Q294440,instance of,Sector,Q3958441,15
40,China,Q148,shares border with,Laos,Q819,15
41,sanitation,Q949149,facet of,water,Q283,15
42,Priorit y Activit ies,id-less,has part,Activit,Q726543,15
43,Laos,Q819,shares border with,China,Q148,15
44,health,Q12147,has part,education,Q8434,15
45,urban,Q159313,opposite of,rural,Q7380465,15
46,science,Q336,has part,technology,Q11016,14
47,economy,Q159810,country,Liberia,Q1014,14
48,ACTIVITIES,Q61788060,part of,TARGETSSTRATEGIES,id-less,14
49,TARGETSSTRATEGIES,id-less,has part,ACTIVITIES,Q61788060,14
50,sustainable development,Q131201,subclass of,development,Q1074523,13
51,interventions,Q15763635,subclass of,intervention,Q179661,13
52,2019,Q25274,followed by,2020,Q25337,13
53,OTHER PARTS,id-less,has part,WITH OTHER PARTS,id-less,13
54,OF THE PLAN,id-less,part of,PLAN,Q4006,13
55,PLAN,Q4006,has part,OF THE PLAN,id-less,13
56,WITH OTHER PARTS,id-less,part of,OTHER PARTS,id-less,13
57,Vision 2030,Q23906335,point in time,2030,Q12799,13
58,economic,Q8134,part of,social,Q345367,13
59,Baseline,Q201610,subclass of,Data Source,Q1172241,13
60,WITH OTHER,Q16048069,has part,OTHER,Q48270,13
61,women,Q467,opposite of,girls,Q6581072,13
62,OTHER,Q48270,part of,WITH OTHER,Q16048069,13
63,girls,Q6581072,opposite of,women,Q467,13
64,AIDS,Q12199,has cause,HIV,Q15787,12
65,PDR,Q18967481,said to be the same as,Lao,Q819,12
66,district,Q123705,located in the administrative territorial entity,provincial,Q7252609,12
67,Government of Lao PDR,id-less,country,Lao PDR,Q819,12
68,provincial,Q7252609,contains administrative territorial entity,district,Q123705,12
69,Lao,Q819,said to be the same as,PDR,Q18967481,12
70,girls,Q6581072,opposite of,boys,Q3010,12
71,2018,Q25291,follows,2017,Q25290,12
72,AGENDA 2063,Q56296197,point in time,2063,Q1044976,12
73,equality,Q842346,facet of,gender,Q48277,12
74,technology,Q11016,part of,science,Q336,12
75,Vientiane,Q9326,instance of,Capital,Q193893,12
76,boys,Q3010,opposite of,girls,Q6581072,11
77,poor,Q5729485,subclass of,vulnerable,Q278113,11
78,2016,Q25245,followed by,2017,Q25290,11
79,1970s,Q35014,point in time,1970,Q2474,10
80,PDR,Q18967481,language used,Lao,Q819,10
81,2021,Q49628,followed by,2022,Q49625,10
82,2022,Q49625,follows,2021,Q49628,10
83,female,Q43445,opposite of,male,Q6581097,10
84,i,Q1103,has part,t,Q127,10
85,rule of law,Q44918,subclass of,justice,Q16533,10
86,females,Q111905566,opposite of,males,Q6743117,10
87,t,Q127,part of,i,Q1103,10
88,women,Q467,subclass of,children,Q7569,9
89,national,Q53247,has part,local,Q11851202,9
90,MPI 2015,id-less,point in time,2015,Q2002,9
91,Liberian people,Q99735521,country,Liberia,Q1014,9
92,women,Q467,followed by,girls,Q6581072,9
93,Global Targets,Q97636245,instance of,Targets,Q852162,9
94,2020,Q25337,follows,2019,Q25274,9
95,1,Q199,followed by,2,Q200,9
96,education,Q8434,part of,health,Q12147,9
97,food security,Q1229911,facet of,food,Q2095,9
98,g,Q41803,has part,n,Q659,9
99,public,Q294440,opposite of,private,Q158668,9
100,rural,Q7380465,subclass of,areas,Q4788688,9
101,local,Q11851202,part of,national,Q53247,9
102,private,Q158668,opposite of,public,Q294440,9
103,3,Q201,follows,2,Q200,9
104,peace,Q454,said to be the same as,reconciliation,Q1194317,8
105,males,Q6743117,opposite of,females,Q111905566,8
106,New project,Q113698645,instance of,project,Q170584,8
107,primary,Q669262,followed by,secondary,Q28469712,8
108,vocational,Q322563,subclass of,education,Q8434,8
109,Jobs,Q392825,part of,Economy,Q159810,8
110,"Peace, Security and Rule of Law",id-less,facet of,Rule of Law,Q44918,8
111,Vientiane,Q9326,country,Lao PDR,Q819,8
112,history,Q309,facet of,Liberia,Q1014,8
113,agencies,Q392918,part of,ministries,Q192350,8
114,population,Q33829,country,Liberia,Q1014,8
115,TARGETSAU 2063,id-less,point in time,2063,Q1044976,8
116,Economy,Q159810,has part,Jobs,Q392825,8
117,women,Q467,subclass of,youth,Q190007,8
118,Progress Update,Q37129735,facet of,global framework,Q56297849,8
119,absolute poverty,Q2714378,subclass of,poverty,Q10294,8
120,MOLSW,Q109804805,point in time,2015,Q2002,8
121,1.2,Q22231111,followed by,2,Q200,8
122,Lao PDR,Q819,capital,Vientiane,Q9326,8
123,social,Q345367,has part,economic,Q8134,8
124,reconciliation,Q1194317,said to be the same as,peace,Q454,8
125,Governance,Q1553864,facet of,Public,Q294440,8
126,Government,Q7188,country,Lao PDR,Q819,8
127,1 Indicator,id-less,point in time,1,Q199,7
128,peace,Q454,said to be the same as,security,Q2526135,7
129,technology,Q11016,has effect,innovation,Q174165,7
130,2019,Q25274,follows,2018,Q25291,7
131,male,Q6581097,opposite of,female,Q43445,7
132,middle,Q23595,subclass of,income,Q850210,7
133,Survey,Q747810,publisher,LSB,Q3436689,7
134,Area,Q56061,has part,Sector,Q3958441,7
135,security,Q2526135,said to be the same as,peace,Q454,7
136,social development,Q15765794,part of,economic,Q8134,7
137,Government of Liberia,id-less,country,Liberia,Q1014,7
138,public,Q294440,opposite of,private sector,Q591763,7
139,Government,Q7188,country,Liberia,Q1014,7
140,triple heritage,Q20601205,facet of,society,Q8425,7
141,Kenya Vision 2030,Q6392757,point in time,2030,Q12799,7
142,Sector,Q3958441,part of,Area,Q56061,7
143,legal,Q2210557,has part,regulatory,Q428148,7
144,regulatory,Q428148,part of,legal,Q2210557,7
145,accountability,Q2798912,subclass of,transparency,Q3026325,7
146,women,Q467,has part,children,Q7569,7
147,infrastructure,Q121359,facet of,ec onomic growth,id-less,7
148,ACTIVITIES,Q61788060,has part,PROGRAMMES,Q39071357,7
149,services,Q114080183,part of,production,Q739302,7
150,rural areas,Q175185,opposite of,urban,Q159313,7
151,urban,Q159313,opposite of,rural areas,Q175185,7
152,Human Development,Q2347178,subclass of,Development,Q1074523,7
153,mining,Q44497,has part,FDI,Q490513,7
154,One,Q199,part of,TVET,Q18286682,7
155,revenue,Q850210,has part,expenditure,Q760120,7
156,TVET,Q18286682,has part,One,Q199,7
157,Economy,Q159810,has part,Jo bs,id-less,7
158,economic,Q8134,has part,social development,Q15765794,7
159,Jo bs,id-less,part of,Economy,Q159810,7
160,SDGs,Q7649586,facet of,SDG,Q7649586,7
161,Economic Transformation,Q19602103,subclass of,Transformation,Q461499,7
162,SDG indicators,id-less,part of,SDG,Q7649586,6
163,1.4,Q30339152,point in time,1,Q199,6
164,infrastructure,Q121359,part of,development,Q1074523,6
165,natural resources,Q105575840,part of,environment,Q2249676,6
166,human rights,Q8458,facet of,human,Q5,6
167,h,Q129,part of,w h,Q19365412,6
168,adolescents,Q360484,subclass of,youth,Q190007,6
169,economic,Q8134,has part,social,Q345367,6
170,capacity,Q1347367,has part,domestic,Q144,6
171,expenditure,Q760120,part of,revenue,Q850210,6
172,MAC,Q75687,has part,MACs,Q18028763,6
173,MACs,Q18028763,part of,MAC,Q75687,6
174,Agenda For Prosperity And Development,id-less,has part,Pro-Poor Agenda,id-less,6
175,SDGi,id-less,instance of,Implementation,Q245962,6
176,policies,Q47011897,part of,laws,Q22096098,6
177,infrastructure,Q121359,subclass of,investment,Q4290,6
178,Kenya,Q114,member of,SDGs,Q7649586,6
179,Government,Q7188,part of,The Government,Q7737401,6
180,training,Q216033,part of,education,Q8434,6
181,county,Q19470,located in the administrative territorial entity,national,Q53247,6
182,2000s,Q35024,point in time,2000,Q1985,6
183,8th,Q28469718,followed by,9th NSEDP,id-less,6
184,Female,Q43445,opposite of,Male,Q6581097,6
185,UNMIL,Q1278645,instance of,civilian,Q206887,6
186,i n g,Q992115,has part,g,Q41803,6
187,monetary policy,Q178476,part of,fiscal,Q1419659,6
188,objectives,Q94315724,subclass of,goals,Q4503831,6
189,The Government,Q7737401,has part,Government,Q7188,6
190,Sector,Q3958441,has part,Public,Q294440,6
191,REPUBLIC OF LIBERIA RISING 20 30,id-less,country,REPUBLIC OF LIBERIA,Q1014,6
192,teaching,Q352842,subclass of,learning,Q133500,6
193,services,Q114080183,different from,goods,Q2424752,6
194,development,Q1074523,has part,growth,Q1342838,6
195,Short-term interventions,Q38579888,followed by,Mid-term interventions,id-less,6
196,regions,Q429976,country,Liberia,Q1014,6
197,Short-Term Interventions,Q38579888,followed by,Medium-Term,Q22294920,6
198,international,Q1072012,has part,regional,Q1218597,6
199,PARTS,Q45085932,has part,PARTS OF THE,Q718843,6
200,PARTS OF THE,Q718843,part of,PARTS,Q45085932,6
201,international integration,Q56386363,part of,regional,Q1218597,6
202,Pro-Poor Agenda,id-less,part of,Agenda For Prosperity And Development,id-less,6
203,education,Q8434,facet of,health,Q12147,6
204,girls,Q6581072,subclass of,women,Q467,6
205,w h,Q19365412,has part,h,Q129,6
206,Male,Q6581097,opposite of,Female,Q43445,6
207,education,Q8434,has part,training,Q216033,6
208,AGENDA FOR TRANSFORMATION,id-less,country,REPUBLIC OF LIBERIA,Q1014,6
209,REPUBLIC OF LIBERIA,Q1014,country,Liberia,Q1014,6
210,health,Q12147,facet of,education,Q8434,6
211,Liberia,Q1014,contains administrative territorial entity,REPUBLIC OF LIBERIA,Q1014,6
212,2020,Q25337,followed by,2021,Q49628,6
213,regional,Q1218597,has part,international integration,Q56386363,6
214,social,Q345367,part of,economic,Q8134,6
215,Medium-Term,Q22294920,follows,Short-Term Interventions,Q38579888,6
216,goods,Q2424752,different from,services,Q114080183,6
217,Commissions,Q58789928,subclass of,Agencies,Q392918,6
218,regional,Q1218597,part of,international,Q1072012,6
219,private sector,Q591763,opposite of,public,Q294440,6
220,extreme poverty,Q2714378,subclass of,poverty,Q10294,5
221,localities,Q3257686,part of,sectors,Q2739810,5
222,resources,Q1554231,facet of,human resources,Q5467169,5
223,Paris,Q90,country,France,Q142,5
224,public,Q294440,different from,service,Q7406919,5
225,8th NSEDP,id-less,followed by,9th NSEDP,id-less,5
226,a n d,Q18109730,has part,d,Q573,5
227,SDG,Q7649586,has part,SDG implementation,id-less,5
228,10%,Q784749,area,10,Q23806,5
229,public schools,Q3120094,subclass of,schools,Q3914,5
230,SDG TARGETSAU 2063,id-less,point in time,2063,Q1044976,5
231,district,Q123705,located in the administrative territorial entity,county,Q19470,5
232,medium-term,Q22294920,followed by,long-term,Q247145,5
233,Interventions Long-Term Interventions,id-less,subclass of,Interventions,Q15763635,5
234,Quality Education,Q53581209,part of,SDG 4,Q98658975,5
235,districts,Q5283500,part of,provinces,Q429976,5
236,vulnerable,Q278113,subclass of,groups,Q9281006,5
237,infrastructure,Q121359,has part,roads,Q913035,5
238,SDG 4,Q98658975,has part,Quality Education,Q53581209,5
239,MPWT,id-less,instance of,Yearly,Q271855,5
240,women,Q467,opposite of,youth,Q190007,5
241,d,Q573,part of,a n d,Q18109730,5
242,income security,Q108554249,subclass of,security,Q2526135,5
243,1986 Constitution,id-less,point in time,1986,Q2430,5
244,SDG implementation,id-less,part of,SDG,Q7649586,5
245,d e v e l o,id-less,has part,v e l o,id-less,5
246,national,Q53247,contains administrative territorial entity,county,Q19470,5
247,responsive,Q96718754,subclass of,efficient,Q1034411,5
248,least developed countries,Q752401,opposite of,developed countries,Q132453,5
249,MAF,Q1073939,instance of,Admin,Q4039395,5
250,The Government,Q7737401,part of,Government,Q7188,5
251,accountable,Q66309805,subclass of,transparent,Q487623,5
252,infrastructure,Q121359,country,Liberia,Q1014,5
253,outcomes,Q38084488,part of,development,Q1074523,5
254,REPUBLIC OF LIBERIA RISING 20 30,id-less,facet of,REPUBLIC OF LIBERIA,Q1014,5
255,children,Q7569,part of,women,Q467,5
256,central,Q57525,located in the administrative territorial entity,local,Q11851202,5
257,T h e,Q7790686,has part,t,Q127,5
258,rural area,Q175185,opposite of,urban,Q159313,5
259,REPUBLIC OF LIBERIA AGENDA FOR TRANSFORMATION,id-less,point in time,2030,Q12799,5
260,rural,Q7380465,subclass of,communities,Q177634,5
261,rural,Q7380465,has part,remote areas,Q64303346,5
262,Goal 5,Q53581210,main subject,Gender equality,Q113453,5
263,2015,Q2002,followed by,2016,Q25245,5
264,PLAN,Q4006,has part,THE PLAN,Q1986472,5
265,youth,Q190007,opposite of,adults,Q80994,5
266,2022,Q49625,followed by,2023,Q49622,5
267,gender,Q48277,different from,county,Q19470,5
268,v e l o,id-less,part of,d e v e l o,id-less,5
269,SDGs,Q7649586,has part,3,Q201,5
270,economic development,Q4530482,subclass of,development,Q1074523,5
271,Government of Lao PDR,id-less,located in the administrative territorial entity,Vientiane,Q9326,5
272,PLAN,Q4006,has part,PARTS OF THE PLAN,id-less,5
273,free,Q1543615,subclass of,education,Q8434,5
274,PLAN,Q4006,has part,POLICIES,Q47011897,5
275,2018,Q25291,follows,2014,Q1999,5
276,corruption,Q366,subclass of,cases,Q36870299,5
277,PARTS OF THE PLAN,id-less,part of,PLAN,Q4006,5
278,research,Q42240,part of,scientific,Q42240,5
279,2017,Q25290,follows,2016,Q25245,5
280,2023,Q49622,follows,2022,Q49625,5
281,monetary,Q8142,part of,financial,Q22687,5
282,remote areas,Q64303346,part of,rural,Q7380465,5
283,agriculture,Q11451,instance of,sectors,Q2739810,5
284,development,Q1074523,has part,outcomes,Q38084488,5
285,budgeting,Q41263,subclass of,planning,Q309100,5
286,Mid-term interventions,id-less,follows,Short-term interventions,Q38579888,5
287,county,Q19470,different from,gender,Q48277,5
288,Liberians,Q99735521,country,Liberia,Q1014,5
289,Africa,Q15,has part,countries,Q6256,5
290,urban,Q159313,opposite of,rural area,Q175185,5
291,county,Q19470,contains administrative territorial entity,district,Q123705,5
292,SDGs,Q7649586,main subject,SDG,Q7649586,5
293,developing countries,Q177323,subclass of,countries,Q6256,5
294,service,Q7406919,different from,public,Q294440,5
295,nutrition,Q2138622,studies,food,Q2095,5
296,civil society,Q181865,part of,private sector,Q591763,5
297,2016,Q25245,followed by,2019,Q25274,5
298,service delivery,Q88514508,part of,public sector,Q294217,5
299,women’s,Q948442,opposite of,men’s,Q1553018,5
300,legislation,Q820655,has part,regulations,Q106947327,5
301,POLICIES,Q47011897,part of,PLAN,Q4006,5
302,2013/14,Q14905926,followed by,2014/15,Q18621352,5
303,ING AGENDA,id-less,publisher,ING,Q645708,5
304,village,Q532,located in the administrative territorial entity,district,Q123705,5
305,adults,Q80994,opposite of,youth,Q190007,5
306,2014,Q1999,followed by,2018,Q25291,5
307,Sub-Saharan,Q132959,continent,Africa,Q15,5
308,Liberia,Q1014,continent,Africa,Q15,5
309,technical,Q569612,subclass of,education,Q8434,5
310,poverty,Q10294,subclass of,absolute,Q481201,5
311,administration,Q5283295,part of,public governance,Q56758914,5
312,2012/13,Q1933662,followed by,2013/14,Q14905926,5
313,local,Q11851202,contains administrative territorial entity,central,Q57525,5
314,economic,Q8134,country,Liberia,Q1014,5
315,SWGr,Q9585605,instance of,SDG indicators,id-less,5
316,laws,Q22096098,has part,regulations,Q106947327,4
317,energy,Q11379,subclass of,infrastructure,Q121359,4
318,Lao PDR,Q819,located in the administrative territorial entity,PDR,Q18967481,4
319,specific,Q71536040,subclass of,emphasis,Q181767,4
320,Liberian dollar,Q242988,country,Liberia,Q1014,4
321,Lao PDR,Q819,member of,ASEAN,Q7768,4
322,countries,Q6256,continent,Africa,Q15,4
323,e,Q684,part of,i,Q1103,4
324,Lao PDR,Q819,instance of,country,Q6256,4
325,Liberia,Q1014,part of,Sub-Saharan Africa,Q132959,4
326,formal sector,Q59395045,instance of,sector,Q3958441,4
327,a c h,Q60550218,has part,c,Q623,4
328,budget,Q41263,part of,government,Q7188,4
329,4,Q202,followed by,5,Q203,4
330,social security,Q2483208,subclass of,social protection,Q2483208,4
