,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,women,Q467,opposite of,men,Q8441,104
1,HIV,Q15787,has effect,AIDS,Q12199,55
2,REPUBLIC OF LIBERIA,Q1014,point in time,2030,Q12799,52
3,men,Q8441,opposite of,women,Q467,51
4,SDGi,id-less,country,Lao,Q819,50
5,Agenda For Prosperity And Development,id-less,follows,Pro-Poor Agenda For Prosperity And Development,id-less,50
6,Pro-Poor Agenda For Prosperity And Development,id-less,followed by,Agenda For Prosperity And Development,id-less,50
7,Republic Of Liberia,Q1014,country,Liberia,Q1014,37
8,0,Q14920387,part of,J U N E,id-less,31
9,J U N E,id-less,has part,2,Q200,31
10,J U N E,id-less,has part,0,Q14920387,31
11,2,Q200,part of,J U N E,id-less,31
12,2 0 2 0,id-less,number of participants,2,Q200,30
13,rural,Q7380465,opposite of,urban,Q159313,30
14,Frequency,Q11652,has part,Baseline,Q201610,30
15,2030 Agenda,Q22129254,point in time,2030,Q12799,30
16,Baseline,Q201610,part of,Frequency,Q11652,30
17,SDGr,Q30292073,part of,SDGi,id-less,29
18,SDGi,id-less,has part,SDGr,Q30292073,29
19,Agenda 2063,Q56296197,point in time,2063,Q1044976,28
20,1.1,Q22231110,point in time,1,Q199,28
21,urban,Q159313,opposite of,rural,Q7380465,28
22,forestry,Q38112,part of,agriculture,Q11451,28
23,rel_err,rel_err,rel_err,rel_err,rel_err,27
24,Liberia,Q1014,ethnic group,Liberians,Q99735521,26
25,Every 5,id-less,number of episodes,5,Q203,26
26,2017,Q25290,followed by,2018,Q25291,25
27,sanitation,Q949149,facet of,water,Q283,21
28,2018,Q25291,followed by,2019,Q25274,21
29,i,Q1103,part of,v,Q25428,20
30,v,Q25428,has part,i,Q1103,20
31,economy,Q159810,country,Liberia,Q1014,20
32,SDGs,Q7649586,facet of,SDG,Q7649586,20
33,Targets and Indicators,id-less,has part,Indicators,Q21170064,19
34,girls,Q6581072,opposite of,women,Q467,19
35,Indicators,Q21170064,part of,Targets and Indicators,id-less,19
36,MONRE,Q61931681,instance of,Yearly,Q271855,18
37,Lao,Q819,country,PDR,Q18967481,18
38,women,Q467,opposite of,girls,Q6581072,18
39,2,Q200,followed by,3,Q201,17
40,Targets,Q852162,has part,Target,Q1046951,17
41,Vision 2030,Q23906335,point in time,2030,Q12799,17
42,Target,Q1046951,part of,Targets,Q852162,17
43,health,Q12147,has part,education,Q8434,17
44,LSI,Q79868227,part of,LSIS,Q16508582,16
45,LSIS,Q16508582,has part,LSI,Q79868227,16
46,Activit,Q726543,part of,Priorit y Activit,id-less,16
47,Public,Q294440,instance of,Sector,Q3958441,15
48,China,Q148,shares border with,Laos,Q819,15
49,REPUBLIC OF LIBERIA,Q1014,inception,2030,Q12799,15
50,Priorit y Activit ies,id-less,has part,Activit,Q726543,15
51,girls,Q6581072,opposite of,boys,Q3010,15
52,science,Q336,has part,technology,Q11016,15
53,poor,Q5729485,subclass of,vulnerable,Q278113,15
54,Laos,Q819,shares border with,China,Q148,15
55,TARGETSSTRATEGIES,id-less,has part,ACTIVITIES,Q61788060,14
56,female,Q43445,opposite of,male,Q6581097,14
57,interventions,Q15763635,subclass of,intervention,Q179661,14
58,AIDS,Q12199,has cause,HIV,Q15787,14
59,ACTIVITIES,Q61788060,part of,TARGETSSTRATEGIES,id-less,14
60,2019,Q25274,followed by,2020,Q25337,14
61,sustainable development,Q131201,subclass of,development,Q1074523,14
62,economic,Q8134,part of,social,Q345367,14
63,boys,Q3010,opposite of,girls,Q6581072,14
64,OTHER PARTS,id-less,has part,WITH OTHER PARTS,id-less,13
65,OTHER,Q48270,part of,WITH OTHER,Q16048069,13
66,technology,Q11016,part of,science,Q336,13
67,OF THE PLAN,id-less,part of,PLAN,Q4006,13
68,2018,Q25291,follows,2017,Q25290,13
69,WITH OTHER,Q16048069,has part,OTHER,Q48270,13
70,Baseline,Q201610,subclass of,Data Source,Q1172241,13
