,head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count
0,women,Q467,opposite of,men,Q8441,116
1,HIV,Q15787,has effect,AIDS,Q12199,115
2,men,Q8441,opposite of,women,Q467,63
3,Private,Q158668,subclass of,sector,Q3958441,59
4,REPUBLIC OF LIBERIA,Q1014,point in time,2030,Q12799,52
5,SDGi,id-less,country,Lao,Q819,50
6,Agenda For Prosperity And Development,id-less,follows,Pro-Poor Agenda For Prosperity And Development,id-less,50
7,Pro-Poor Agenda For Prosperity And Development,id-less,followed by,Agenda For Prosperity And Development,id-less,50
8,rural,Q7380465,opposite of,urban,Q159313,45
9,urban,Q159313,opposite of,rural,Q7380465,41
10,2030 Agenda,Q22129254,point in time,2030,Q12799,38
11,Republic Of Liberia,Q1014,country,Liberia,Q1014,37
12,PROJECT,Q170584,has part,LOCATION,Q2221906,32
13,LOCATION,Q2221906,part of,PROJECT,Q170584,32
14,OBJECTIVES,Q94315724,part of,PROJECT,Q170584,31
15,2,Q200,part of,J U N E,id-less,31
16,0,Q14920387,part of,J U N E,id-less,31
17,J U N E,id-less,has part,2,Q200,31
18,J U N E,id-less,has part,0,Q14920387,31
19,Frequency,Q11652,has part,Baseline,Q201610,30
20,Baseline,Q201610,part of,Frequency,Q11652,30
21,2 0 2 0,id-less,number of participants,2,Q200,30
22,SDGi,id-less,has part,SDGr,Q30292073,29
23,SDGr,Q30292073,part of,SDGi,id-less,29
24,DESCRIPTION,Q1200750,facet of,PROJECT,Q170584,29
25,forestry,Q38112,part of,agriculture,Q11451,28
26,1.1,Q22231110,point in time,1,Q199,28
27,Agenda 2063,Q56296197,point in time,2063,Q1044976,28
28,rel_err,rel_err,rel_err,rel_err,rel_err,27
29,economic,Q8134,part of,social,Q345367,27
30,MGDS,Q73420129,has part,III,Q201,27
31,2017,Q25290,followed by,2018,Q25291,27
32,III,Q201,part of,MGDS,Q73420129,26
33,Every 5,id-less,number of episodes,5,Q203,26
34,Liberia,Q1014,ethnic group,Liberians,Q99735521,26
35,girls,Q6581072,opposite of,women,Q467,25
36,private,Q158668,subclass of,sector,Q3958441,24
37,sanitation,Q949149,facet of,water,Q283,24
38,SDGs,Q7649586,facet of,SDG,Q7649586,24
39,women,Q467,opposite of,girls,Q6581072,24
40,public,Q294440,opposite of,private,Q158668,23
41,2018,Q25291,followed by,2019,Q25274,22
42,private,Q158668,opposite of,public,Q294440,22
43,MGDS,Q73420129,followed by,III,Q201,22
44,III,Q201,follows,MGDS,Q73420129,22
45,AIDS,Q12199,has cause,HIV,Q15787,22
46,girls,Q6581072,opposite of,boys,Q3010,21
47,MoGCDSW,id-less,instance of,Reports,Q10870555,21
48,,id-less,part of,PARTNERSHIP,Q728646,21
49,v,Q25428,has part,i,Q1103,20
50,CHAM,Q257859,located in the administrative territorial entity,CHAM.,Q154782,20
51,growth,Q1342838,part of,economic,Q8134,20
52,economy,Q159810,country,Liberia,Q1014,20
53,boys,Q3010,opposite of,girls,Q6581072,20
54,i,Q1103,part of,v,Q25428,20
55,DHS,Q642074,subsidiary,MoH,Q203535,20
56,MoH,Q203535,parent organization,DHS,Q642074,20
57,Sector,Q3958441,subclass of,Private,Q158668,20
58,Indicators,Q21170064,part of,Targets and Indicators,id-less,19
59,interventions,Q15763635,subclass of,intervention,Q179661,19
60,economic,Q8134,has part,growth,Q1342838,19
61,social,Q345367,has part,economic,Q8134,19
62,Targets and Indicators,id-less,has part,Indicators,Q21170064,19
63,Institutions,Q27711101,subclass of,Academic,Q3400985,19
64,rural,Q7380465,subclass of,areas,Q4788688,19
65,economic,Q8134,has part,social,Q345367,19
66,MoTPW,id-less,instance of,reports,Q10870555,19
67,health,Q12147,has part,education,Q8434,18
68,social,Q345367,part of,economic,Q8134,18
69,2,Q200,followed by,3,Q201,18
70,science,Q336,has part,technology,Q11016,18
71,MACRA,Q20123,instance of,Report,Q10870555,18
72,Lao,Q819,country,PDR,Q18967481,18
73,MONRE,Q61931681,instance of,Yearly,Q271855,18
74,MFEPD,id-less,located in the administrative territorial entity,MFE,Q33661,17
75,primary,Q669262,followed by,secondary,Q28469712,17
76,2022,Q49625,follows,2021,Q49628,17
77,2021,Q49628,followed by,2022,Q49625,17
78,Government,Q7188,country,Malawi,Q1020,17
79,legal,Q2210557,has part,regulatory,Q428148,17
80,Vision 2030,Q23906335,point in time,2030,Q12799,17
81,Target,Q1046951,part of,Targets,Q852162,17
82,Public,Q294440,instance of,Sector,Q3958441,17
83,regulatory,Q428148,part of,legal,Q2210557,17
84,female,Q43445,opposite of,male,Q6581097,17
85,Targets,Q852162,has part,Target,Q1046951,17
86,2020,Q25337,followed by,2021,Q49628,16
87,Activit,Q726543,part of,Priorit y Activit,id-less,16
88,MGCDSW,id-less,owned by,MGC,Q6841429,16
89,II,Q200,follows,MGDS,Q73420129,16
90,All MDAs,id-less,is a list of,MDAs,Q6878879,16
91,females,Q111905566,opposite of,males,Q6743117,16
92,technology,Q11016,part of,science,Q336,16
93,MGDS,Q73420129,followed by,II,Q200,16
94,LSI,Q79868227,part of,LSIS,Q16508582,16
95,LSIS,Q16508582,has part,LSI,Q79868227,16
96,China,Q148,shares border with,Laos,Q819,15
97,poor,Q5729485,subclass of,vulnerable,Q278113,15
98,male,Q6581097,opposite of,female,Q43445,15
99,Laos,Q819,shares border with,China,Q148,15
100,Priorit y Activit ies,id-less,has part,Activit,Q726543,15
101,REPUBLIC OF LIBERIA,Q1014,inception,2030,Q12799,15
102,males,Q6743117,opposite of,females,Q111905566,14
103,sustainable development,Q131201,subclass of,development,Q1074523,14
104,TARGETSSTRATEGIES,id-less,has part,ACTIVITIES,Q61788060,14
105,ACTIVITIES,Q61788060,part of,TARGETSSTRATEGIES,id-less,14
106,PROJECT,Q170584,has part,OUTPUT,Q1150771,14
107,2018,Q25291,follows,2017,Q25290,14
108,2019,Q25274,followed by,2020,Q25337,14
109,OUTPUT,Q1150771,part of,PROJECT,Q170584,14
110,primary,Q669262,subclass of,school,Q3914,14
111,women,Q467,followed by,girls,Q6581072,14
112,2016,Q25245,followed by,2017,Q25290,13
113,special,Q1262007,subclass of,needs,Q37208103,13
114,WITH OTHER,Q16048069,has part,OTHER,Q48270,13
115,WITH OTHER PARTS,id-less,part of,OTHER PARTS,id-less,13
116,MoL,Q465710,subsidiary,MoLHUD,id-less,13
117,MICS,Q6744445,parent organization,DHS,Q642074,13
118,nutrition,Q2138622,studies,food,Q2095,13
119,MoLHUD,id-less,parent organization,MoL,Q465710,13
120,local,Q11851202,part of,national,Q53247,13
121,Baseline,Q201610,subclass of,Data Source,Q1172241,13
122,DHS,Q642074,subsidiary,MICS,Q6744445,13
123,MoAIWD,id-less,instance of,surveys/APES,id-less,13
124,OTHER PARTS,id-less,has part,WITH OTHER PARTS,id-less,13
125,OTHER,Q48270,part of,WITH OTHER,Q16048069,13
126,services,Q114080183,different from,goods,Q2424752,13
127,regional,Q1218597,part of,international,Q1072012,13
128,women,Q467,subclass of,youth,Q190007,13
