head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count,ent_rel_pair,head_name,tail_name
ANA VOLUNT,Q71271418,instance of,VOLUNT,Q1509,19,ANA VOLUNT instance of VOLUNT,ANA VOLUNT_Q71271418,VOLUNT_Q1509
ARY,Q56426,instance of,NA,Q49,16,ARY instance of NA,ARY_Q56426,NA_Q49
SUSTAINABLE DEVELOPMENT GOALS 2017,id-less,point in time,2017,Q25290,12,SUSTAINABLE DEVELOPMENT GOALS 2017 point in time 2017,SUSTAINABLE DEVELOPMENT GOALS 2017_id-less,2017_Q25290
AINABLE DEVELOPMENT GOALS 2017,id-less,point in time,2017,Q25290,8,AINABLE DEVELOPMENT GOALS 2017 point in time 2017,AINABLE DEVELOPMENT GOALS 2017_id-less,2017_Q25290
SDG,Q7649586,has part,SDGs,Q7649586,7,SDG has part SDGs,SDG_Q7649586,SDGs_Q7649586
SDGs,Q7649586,part of,SDG,Q7649586,7,SDGs part of SDG,SDGs_Q7649586,SDG_Q7649586
BOTSW ANA VOLUNT,id-less,instance of,VOLUNT,Q1509,6,BOTSW ANA VOLUNT instance of VOLUNT,BOTSW ANA VOLUNT_id-less,VOLUNT_Q1509
4.2,Q217363,point in time,4,Q202,5,4.2 point in time 4,4.2_Q217363,4_Q202
4.6,Q229873,point in time,4,Q202,5,4.6 point in time 4,4.6_Q229873,4_Q202
,id-less,has part,ticipa,id-less,4, has part ticipa,_id-less,ticipa_id-less
age,Q185836,different from,sex,Q10525,4,age different from sex,age_Q185836,sex_Q10525
GOALS 2017,id-less,point in time,2017,Q25290,4,GOALS 2017 point in time 2017,GOALS 2017_id-less,2017_Q25290
sex,Q10525,different from,age,Q185836,4,sex different from age,sex_Q10525,age_Q185836
i,Q1103,has part,,id-less,4,i has part ,i_Q1103,_id-less
De,Q183,has part,al,Q222,3,De has part al,De_Q183,al_Q222
SDG 15,Q53581245,point in time,15,Q38701,3,SDG 15 point in time 15,SDG 15_Q53581245,15_Q38701
L,Q11582,area,5,Q203,2,L area 5,L_Q11582,5_Q203
edicines,id-less,has part,edicine,Q53792465,2,edicines has part edicine,edicines_id-less,edicine_Q53792465
sions be,id-less,part of,sions,Q37462564,2,sions be part of sions,sions be_id-less,sions_Q37462564
