head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count,ent_rel_pair,head_name,tail_name
poor,Q5729485,opposite of,rich,Q3917267,2,poor opposite of rich,poor_Q5729485,rich_Q3917267
rich,Q3917267,opposite of,poor,Q5729485,2,rich opposite of poor,rich_Q3917267,poor_Q5729485
risks,Q104493,subclass of,threats,Q37522873,2,risks subclass of threats,risks_Q104493,threats_Q37522873
health,Q12147,subclass of,social services,Q11588306,2,health subclass of social services,health_Q12147,social services_Q11588306
1.1.3,id-less,point in time,1,Q199,1,1.1.3 point in time 1,1.1.3_id-less,1_Q199
globalization,Q7181,has effect,series of constraints,id-less,1,globalization has effect series of constraints,globalization_Q7181,series of constraints_id-less
externalfinancial package,id-less,subclass of,public investment,Q59095065,1,externalfinancial package subclass of public investment,externalfinancial package_id-less,public investment_Q59095065
fight against climatechange effects,id-less,part of,Millennium Development Goals,Q81737,1,fight against climatechange effects part of Millennium Development Goals,fight against climatechange effects_id-less,Millennium Development Goals_Q81737
finance,Q43015,part of,global economy,Q473750,1,finance part of global economy,finance_Q43015,global economy_Q473750
financial partners,id-less,part of,technical,Q569612,1,financial partners part of technical,financial partners_id-less,technical_Q569612
freedom,Q2979,has part,equality,Q842346,1,freedom has part equality,freedom_Q2979,equality_Q842346
global economy,Q473750,country,Cameroon,Q1009,1,global economy country Cameroon,global economy_Q473750,Cameroon_Q1009
global economy,Q473750,has part,finance,Q43015,1,global economy has part finance,global economy_Q473750,finance_Q43015
global economy,Q473750,has part,trade,Q601401,1,global economy has part trade,global economy_Q473750,trade_Q601401
good governance strategy,id-less,part of,industrialization,Q202398,1,good governance strategy part of industrialization,good governance strategy_id-less,industrialization_Q202398
equitable distribution,Q84380972,facet of,growth,Q1342838,1,equitable distribution facet of growth,equitable distribution_Q84380972,growth_Q1342838
governance,Q1553864,facet of,business climate,id-less,1,governance facet of business climate,governance_Q1553864,business climate_id-less
governance,Q1553864,subclass of,challenge,Q16511806,1,governance subclass of challenge,governance_Q1553864,challenge_Q16511806
growth engine,Q39087187,subclass of,investments,Q114500150,1,growth engine subclass of investments,growth engine_Q39087187,investments_Q114500150
growth recovery,Q54436410,has cause,devaluation,Q220788,1,growth recovery has cause devaluation,growth recovery_Q54436410,devaluation_Q220788
households,Q64873892,part of,private sector,Q591763,1,households part of private sector,households_Q64873892,private sector_Q591763
independence and accessibility of the judiciary,id-less,instance of,democracy,Q7174,1,independence and accessibility of the judiciary instance of democracy,independence and accessibility of the judiciary_id-less,democracy_Q7174
industrial sector,Q55639,country,Cameroon,Q1009,1,industrial sector country Cameroon,industrial sector_Q55639,Cameroon_Q1009
industrial sector,Q55639,part of,country’sdevelopment engine,id-less,1,industrial sector part of country’sdevelopment engine,industrial sector_Q55639,country’sdevelopment engine_id-less
industrialization,Q202398,country,Cameroon,Q1009,1,industrialization country Cameroon,industrialization_Q202398,Cameroon_Q1009
industrialization,Q202398,has part,good governance strategy,id-less,1,industrialization has part good governance strategy,industrialization_Q202398,good governance strategy_id-less
industrialization,Q202398,has part,promotionstrategy,id-less,1,industrialization has part promotionstrategy,industrialization_Q202398,promotionstrategy_id-less
ethnic,Q205049,country,Cameroon,Q1009,1,ethnic country Cameroon,ethnic_Q205049,Cameroon_Q1009
energy crisis,Q1341376,has effect,inhibits growth,Q64074635,1,energy crisis has effect inhibits growth,energy crisis_Q1341376,inhibits growth_Q64074635
