head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count,ent_rel_pair,head_name,tail_name
The following strategies are recommended,id-less,instance of,strategies,Q185451,15,The following strategies are recommended instance of strategies,The following strategies are recommended_id-less,strategies_Q185451
women,Q467,opposite of,men,Q8441,4,women opposite of men,women_Q467,men_Q8441
training,Q216033,part of,education,Q8434,3,training part of education,training_Q216033,education_Q8434
HIV,Q15787,has effect,AIDS,Q12199,3,HIV has effect AIDS,HIV_Q15787,AIDS_Q12199
education,Q8434,has part,training,Q216033,3,education has part training,education_Q8434,training_Q216033
managers,Q114513068,subclass of,professionals,Q1218318,2,managers subclass of professionals,managers_Q114513068,professionals_Q1218318
urban,Q159313,opposite of,rural areas,Q175185,2,urban opposite of rural areas,urban_Q159313,rural areas_Q175185
education,Q8434,instance of,human right,Q8458,2,education instance of human right,education_Q8434,human right_Q8458
planning,Q309100,has effect,implementation,Q245962,2,planning has effect implementation,planning_Q309100,implementation_Q245962
Legislation,Q820655,part of,Policy,Q1156854,2,Legislation part of Policy,Legislation_Q820655,Policy_Q1156854
Role of Government,Q113080512,part of,4.1,Q2816680,2,Role of Government part of 4.1,Role of Government_Q113080512,4.1_Q2816680
unit,Q199,part of,family,Q8436,2,unit part of family,unit_Q199,family_Q8436
planning,Q309100,part of,management,Q2920921,2,planning part of management,planning_Q309100,management_Q2920921
food security,Q1229911,facet of,household,Q259059,2,food security facet of household,food security_Q1229911,household_Q259059
Legislative Measures,Q45045443,part of,Policy,Q1156854,2,Legislative Measures part of Policy,Legislative Measures_Q45045443,Policy_Q1156854
Legislative Matters,id-less,part of,Policy,Q1156854,2,Legislative Matters part of Policy,Legislative Matters_id-less,Policy_Q1156854
training institutions,id-less,subclass of,institutions,Q27711101,2,training institutions subclass of institutions,training institutions_id-less,institutions_Q27711101
Commerce and Industry,Q64295643,has part,Industry,Q8148,2,Commerce and Industry has part Industry,Commerce and Industry_Q64295643,Industry_Q8148
rural areas,Q175185,opposite of,urban,Q159313,2,rural areas opposite of urban,rural areas_Q175185,urban_Q159313
Road Transport,Q516739,subclass of,Transport,Q7590,2,Road Transport subclass of Transport,Road Transport_Q516739,Transport_Q7590
Research for Development,Q96331157,subclass of,Development,Q1074523,2,Research for Development subclass of Development,Research for Development_Q96331157,Development_Q1074523
Capacity Building,Q1417724,subclass of,Building,Q41176,2,Capacity Building subclass of Building,Capacity Building_Q1417724,Building_Q41176
implementation,Q245962,has cause,planning,Q309100,2,implementation has cause planning,implementation_Q245962,planning_Q309100
poor,Q5729485,opposite of,rich,Q3917267,2,poor opposite of rich,poor_Q5729485,rich_Q3917267
Agriculture,Q11451,part of,4.4.1,Q21119198,2,Agriculture part of 4.4.1,Agriculture_Q11451,4.4.1_Q21119198
Rural Development,Q3045473,subclass of,Development,Q1074523,2,Rural Development subclass of Development,Rural Development_Q3045473,Development_Q1074523
Land,Q11081619,has part,4.4.2,id-less,2,Land has part 4.4.2,Land_Q11081619,4.4.2_id-less
Land,Q11081619,part of,4.4.2,id-less,2,Land part of 4.4.2,Land_Q11081619,4.4.2_id-less
human resources,Q5467169,country,Swaziland,Q1050,2,human resources country Swaziland,human resources_Q5467169,Swaziland_Q1050
Human Resource,Q2625010,part of,Public Sector Management,Q107471270,2,Human Resource part of Public Sector Management,Human Resource_Q2625010,Public Sector Management_Q107471270
Gender,Q48277,has part,1,Q199,2,Gender has part 1,Gender_Q48277,1_Q199
Fuel and Energy,Q29043705,has part,4.3,Q4031261,2,Fuel and Energy has part 4.3,Fuel and Energy_Q29043705,4.3_Q4031261
rich,Q3917267,opposite of,poor,Q5729485,2,rich opposite of poor,rich_Q3917267,poor_Q5729485
The Media,Q11033,facet of,Media,Q11033,2,The Media facet of Media,The Media_Q11033,Media_Q11033
Swazi Society and Culture,id-less,instance of,Culture,Q11042,2,Swazi Society and Culture instance of Culture,Swazi Society and Culture_id-less,Culture_Q11042
endangered,Q11394,subclass of,species,Q7432,2,endangered subclass of species,endangered_Q11394,species_Q7432
sustainable development,Q131201,subclass of,development,Q1074523,2,sustainable development subclass of development,sustainable development_Q131201,development_Q1074523
risks,Q104493,subclass of,threats,Q37522873,2,risks subclass of threats,risks_Q104493,threats_Q37522873
Tourism and Recreation,Q30906207,has part,Recreation,Q184872,2,Tourism and Recreation has part Recreation,Tourism and Recreation_Q30906207,Recreation_Q184872
Swazi Nation Land,Q16919712,country,Swazi,Q34014,2,Swazi Nation Land country Swazi,Swazi Nation Land_Q16919712,Swazi_Q34014
Industry,Q8148,part of,Commerce and Industry,Q64295643,2,Industry part of Commerce and Industry,Industry_Q8148,Commerce and Industry_Q64295643
Sanitation,Q949149,part of,Water and Sanitation,Q573692,2,Sanitation part of Water and Sanitation,Sanitation_Q949149,Water and Sanitation_Q573692
family,Q8436,has part,unit,Q199,2,family has part unit,family_Q8436,unit_Q199
natural resource base,Q245857,subclass of,management,Q2920921,2,natural resource base subclass of management,natural resource base_Q245857,management_Q2920921
International Links,Q112708437,subclass of,Links,Q608910,2,International Links subclass of Links,International Links_Q112708437,Links_Q608910
Water Resource Development,Q58391136,has part,4.3,Q4031261,2,Water Resource Development has part 4.3,Water Resource Development_Q58391136,4.3_Q4031261
Water and Sanitation,Q573692,has part,Sanitation,Q949149,2,Water and Sanitation has part Sanitation,Water and Sanitation_Q573692,Sanitation_Q949149
Youth,Q190007,number of episodes,8,Q23355,2,Youth number of episodes 8,Youth_Q190007,8_Q23355
men,Q8441,opposite of,women,Q467,2,men opposite of women,men_Q8441,women_Q467
Recreation,Q184872,part of,Tourism and Recreation,Q30906207,2,Recreation part of Tourism and Recreation,Recreation_Q184872,Tourism and Recreation_Q30906207
8.2.1 Persons with Disabilities,id-less,main subject,Persons with Disabilities,Q74535604,2,8.2.1 Persons with Disabilities main subject Persons with Disabilities,8.2.1 Persons with Disabilities_id-less,Persons with Disabilities_Q74535604
4.4.2,id-less,has part,Land,Q11081619,2,4.4.2 has part Land,4.4.2_id-less,Land_Q11081619
5 Cableways and Telecommunications,id-less,facet of,Cableways and Telecommunications,id-less,2,5 Cableways and Telecommunications facet of Cableways and Telecommunications,5 Cableways and Telecommunications_id-less,Cableways and Telecommunications_id-less
