head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count,ent_rel_pair,head_name,tail_name
The following strategies are recommended,id-less,instance of,strategies,Q185451,15,The following strategies are recommended instance of strategies,The following strategies are recommended_id-less,strategies_Q185451
women,Q467,opposite of,men,Q8441,8,women opposite of men,women_Q467,men_Q8441
HIV,Q15787,has effect,AIDS,Q12199,8,HIV has effect AIDS,HIV_Q15787,AIDS_Q12199
2015,Q2002,followed by,2017,Q25290,6,2015 followed by 2017,2015_Q2002,2017_Q25290
2017,Q25290,follows,2015,Q2002,5,2017 follows 2015,2017_Q25290,2015_Q2002
Agenda 2063,Q56296197,point in time,2063,Q1044976,5,Agenda 2063 point in time 2063,Agenda 2063_Q56296197,2063_Q1044976
rural,Q7380465,opposite of,urban,Q159313,5,rural opposite of urban,rural_Q7380465,urban_Q159313
decent work,Q827081,subclass of,employment,Q656365,5,decent work subclass of employment,decent work_Q827081,employment_Q656365
men,Q8441,opposite of,women,Q467,5,men opposite of women,men_Q8441,women_Q467
urban,Q159313,opposite of,rural,Q7380465,5,urban opposite of rural,urban_Q159313,rural_Q7380465
sanitation,Q949149,subclass of,hygiene,Q162297,4,sanitation subclass of hygiene,sanitation_Q949149,hygiene_Q162297
percentages,Q93638010,different from,percentage,Q114550356,4,percentages different from percentage,percentages_Q93638010,percentage_Q114550356
Trends Analysis,Q31098670,subclass of,Analysis,Q7754,4,Trends Analysis subclass of Analysis,Trends Analysis_Q31098670,Analysis_Q7754
percentage,Q114550356,different from,percentages,Q93638010,4,percentage different from percentages,percentage_Q114550356,percentages_Q93638010
females,Q111905566,opposite of,males,Q6743117,4,females opposite of males,females_Q111905566,males_Q6743117
training,Q216033,part of,education,Q8434,4,training part of education,training_Q216033,education_Q8434
education,Q8434,has part,training,Q216033,4,education has part training,education_Q8434,training_Q216033
sex,Q10525,different from,age,Q185836,4,sex different from age,sex_Q10525,age_Q185836
age,Q185836,different from,sex,Q10525,4,age different from sex,age_Q185836,sex_Q10525
adults,Q80994,opposite of,youth,Q190007,3,adults opposite of youth,adults_Q80994,youth_Q190007
sustainable agriculture,Q2751054,subclass of,agriculture,Q11451,3,sustainable agriculture subclass of agriculture,sustainable agriculture_Q2751054,agriculture_Q11451
males,Q6743117,opposite of,females,Q111905566,3,males opposite of females,males_Q6743117,females_Q111905566
Sanitation,Q949149,part of,Water and Sanitation,Q573692,3,Sanitation part of Water and Sanitation,Sanitation_Q949149,Water and Sanitation_Q573692
National,Q53247,conferred by,The National,Q1142566,3,National conferred by The National,National_Q53247,The National_Q1142566
table below,id-less,instance of,table,Q14748,3,table below instance of table,table below_id-less,table_Q14748
light weapons,id-less,subclass of,small arms,Q1058629,3,light weapons subclass of small arms,light weapons_id-less,small arms_Q1058629
2016,Q25245,followed by,2017,Q25290,3,2016 followed by 2017,2016_Q25245,2017_Q25290
AIDS,Q12199,has cause,HIV,Q15787,3,AIDS has cause HIV,AIDS_Q12199,HIV_Q15787
youth,Q190007,opposite of,adults,Q80994,3,youth opposite of adults,youth_Q190007,adults_Q80994
Water and Sanitation,Q573692,has part,Sanitation,Q949149,3,Water and Sanitation has part Sanitation,Water and Sanitation_Q573692,Sanitation_Q949149
DRR,Q5281359,instance of,sector,Q3958441,2,DRR instance of sector,DRR_Q5281359,sector_Q3958441
rural development,Q3045473,subclass of,development,Q1074523,2,rural development subclass of development,rural development_Q3045473,development_Q1074523
backward,Q16938807,opposite of,forward linkages,id-less,2,backward opposite of forward linkages,backward_Q16938807,forward linkages_id-less
social,Q345367,instance of,sectors,Q2739810,2,social instance of sectors,social_Q345367,sectors_Q2739810
