head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count,ent_rel_pair,head_name,tail_name
265,Q32189,subclass of,letters,Q1277575,49,265 subclass of letters,265_Q32189,letters_Q1277575
200,Q713744,subclass of,letters,Q1277575,49,200 subclass of letters,200_Q713744,letters_Q1277575
375,Q34902,has part,letters issued 275 280,id-less,49,375 has part letters issued 275 280,375_Q34902,letters issued 275 280_id-less
375,Q34902,has part,360,Q48263,49,375 has part 360,375_Q34902,360_Q48263
360,Q48263,has part,letters issued 275 280 360 360 375 375,id-less,49,360 has part letters issued 275 280 360 360 375 375,360_Q48263,letters issued 275 280 360 360 375 375_id-less
360,Q48263,has part,375,Q34902,49,360 has part 375,360_Q48263,375_Q34902
275 280,id-less,has part,375,Q34902,49,275 280 has part 375,275 280_id-less,375_Q34902
275 280,id-less,has part,360,Q48263,49,275 280 has part 360,275 280_id-less,360_Q48263
260,Q30311,subclass of,letters,Q1277575,49,260 subclass of letters,260_Q30311,letters_Q1277575
Institutions Number of Management letters,id-less,subclass of,letters,Q1277575,49,Institutions Number of Management letters subclass of letters,Institutions Number of Management letters_id-less,letters_Q1277575
2018 Budget,id-less,follows,2017,Q25290,49,2018 Budget follows 2017,2018 Budget_id-less,2017_Q25290
2017,Q25290,followed by,2018 Budget,id-less,49,2017 followed by 2018 Budget,2017_Q25290,2018 Budget_id-less
Central Region,Q846323,instance of,MMDAs,id-less,49,Central Region instance of MMDAs,Central Region_Q846323,MMDAs_id-less
Greater Accra Region,Q431729,instance of,MMDAs,id-less,49,Greater Accra Region instance of MMDAs,Greater Accra Region_Q431729,MMDAs_id-less
2019 BUDGET ESTIMATES,id-less,point in time,2019,Q25274,45,2019 BUDGET ESTIMATES point in time 2019,2019 BUDGET ESTIMATES_id-less,2019_Q25274
Institutions Number of Management letters issued,id-less,located in the administrative territorial entity,Western Region,Q1052867,16,Institutions Number of Management letters issued located in the administrative territorial entity Western Region,Institutions Number of Management letters issued_id-less,Western Region_Q1052867
Western Region,Q1052867,instance of,Institutions Number of Management letters,id-less,11,Western Region instance of Institutions Number of Management letters,Western Region_Q1052867,Institutions Number of Management letters_id-less
Budget by Chart of Account,id-less,facet of,Chart of Account,Q1406649,9,Budget by Chart of Account facet of Chart of Account,Budget by Chart of Account_id-less,Chart of Account_Q1406649
GH Cedi,id-less,instance of,Currency,Q8142,8,GH Cedi instance of Currency,GH Cedi_id-less,Currency_Q8142
National Development Planning Commission,Q104880767,instance of,Entity,Q56061,8,National Development Planning Commission instance of Entity,National Development Planning Commission_Q104880767,Entity_Q56061
2020,Q25337,followed by,2021,Q49628,7,2020 followed by 2021,2020_Q25337,2021_Q49628
2021,Q49628,follows,2020,Q25337,7,2021 follows 2020,2021_Q49628,2020_Q25337
