head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count,ent_rel_pair,head_name,tail_name
2017,Q25290,followed by,2018 Budget,id-less,49,2017 followed by 2018 Budget,2017_Q25290,2018 Budget_id-less
360,Q48263,has part,375,Q34902,49,360 has part 375,360_Q48263,375_Q34902
375,Q34902,has part,360,Q48263,49,375 has part 360,375_Q34902,360_Q48263
Central Region,Q846323,instance of,MMDAs,id-less,49,Central Region instance of MMDAs,Central Region_Q846323,MMDAs_id-less
360,Q48263,has part,letters issued 275 280 360 360 375 375,id-less,49,360 has part letters issued 275 280 360 360 375 375,360_Q48263,letters issued 275 280 360 360 375 375_id-less
Greater Accra Region,Q431729,instance of,MMDAs,id-less,49,Greater Accra Region instance of MMDAs,Greater Accra Region_Q431729,MMDAs_id-less
Institutions Number of Management letters,id-less,subclass of,letters,Q1277575,49,Institutions Number of Management letters subclass of letters,Institutions Number of Management letters_id-less,letters_Q1277575
375,Q34902,has part,letters issued 275 280,id-less,49,375 has part letters issued 275 280,375_Q34902,letters issued 275 280_id-less
200,Q713744,subclass of,letters,Q1277575,49,200 subclass of letters,200_Q713744,letters_Q1277575
275 280,id-less,has part,375,Q34902,49,275 280 has part 375,275 280_id-less,375_Q34902
275 280,id-less,has part,360,Q48263,49,275 280 has part 360,275 280_id-less,360_Q48263
265,Q32189,subclass of,letters,Q1277575,49,265 subclass of letters,265_Q32189,letters_Q1277575
260,Q30311,subclass of,letters,Q1277575,49,260 subclass of letters,260_Q30311,letters_Q1277575
2018 Budget,id-less,follows,2017,Q25290,49,2018 Budget follows 2017,2018 Budget_id-less,2017_Q25290
2019 BUDGET ESTIMATES,id-less,point in time,2019,Q25274,45,2019 BUDGET ESTIMATES point in time 2019,2019 BUDGET ESTIMATES_id-less,2019_Q25274
Institutions Number of Management letters issued,id-less,located in the administrative territorial entity,Western Region,Q1052867,16,Institutions Number of Management letters issued located in the administrative territorial entity Western Region,Institutions Number of Management letters issued_id-less,Western Region_Q1052867
Western Region,Q1052867,instance of,Institutions Number of Management letters,id-less,11,Western Region instance of Institutions Number of Management letters,Western Region_Q1052867,Institutions Number of Management letters_id-less
Budget by Chart of Account,id-less,facet of,Chart of Account,Q1406649,9,Budget by Chart of Account facet of Chart of Account,Budget by Chart of Account_id-less,Chart of Account_Q1406649
GH Cedi,id-less,instance of,Currency,Q8142,8,GH Cedi instance of Currency,GH Cedi_id-less,Currency_Q8142
National Development Planning Commission,Q104880767,instance of,Entity,Q56061,8,National Development Planning Commission instance of Entity,National Development Planning Commission_Q104880767,Entity_Q56061
2021,Q49628,follows,2020,Q25337,7,2021 follows 2020,2021_Q49628,2020_Q25337
2020,Q25337,followed by,2021,Q49628,7,2020 followed by 2021,2020_Q25337,2021_Q49628
2019 BUDGET,id-less,point in time,2019,Q25274,7,2019 BUDGET point in time 2019,2019 BUDGET_id-less,2019_Q25274
All Source of Funding,id-less,instance of,Funding,Q6055890,6,All Source of Funding instance of Funding,All Source of Funding_id-less,Funding_Q6055890
GH Cedi,id-less,start time,2019,Q25274,6,GH Cedi start time 2019,GH Cedi_id-less,2019_Q25274
Management,Q2920921,part of,Administration,Q5283295,6,Management part of Administration,Management_Q2920921,Administration_Q5283295
Version 1,Q22031885,point in time,1,Q199,6,Version 1 point in time 1,Version 1_Q22031885,1_Q199
National Development Planning Commission,Q104880767,inception,2019,Q25274,6,National Development Planning Commission inception 2019,National Development Planning Commission_Q104880767,2019_Q25274
Sub-Programme,id-less,part of,Programme,Q170584,6,Sub-Programme part of Programme,Sub-Programme_id-less,Programme_Q170584
2022,Q49625,follows,2021,Q49628,6,2022 follows 2021,2022_Q49625,2021_Q49628
2021,Q49628,followed by,2022,Q49625,6,2021 followed by 2022,2021_Q49628,2022_Q49625
Sub-Programme,id-less,has part,Natural Account,id-less,6,Sub-Programme has part Natural Account,Sub-Programme_id-less,Natural Account_id-less
Natural Account,id-less,part of,Sub-Programme,id-less,6,Natural Account part of Sub-Programme,Natural Account_id-less,Sub-Programme_id-less
Administration,Q5283295,has part,Management,Q2920921,6,Administration has part Management,Administration_Q5283295,Management_Q2920921
Programme,Q170584,has part,Sub-Programme,id-less,6,Programme has part Sub-Programme,Programme_Q170584,Sub-Programme_id-less
MMDAs,id-less,subclass of,MDAs,Q6878879,5,MMDAs subclass of MDAs,MMDAs_id-less,MDAs_Q6878879
2022 Target Actual,id-less,point in time,2022,Q49625,5,2022 Target Actual point in time 2022,2022 Target Actual_id-less,2022_Q49625
National Plan Preparation,id-less,number of participants,"184,000",id-less,4,"National Plan Preparation number of participants 184,000",National Plan Preparation_id-less,"184,000_id-less"
National Monitoring and Evaluation,Q96823894,number of participants,"324,000",id-less,4,"National Monitoring and Evaluation number of participants 324,000",National Monitoring and Evaluation_Q96823894,"324,000_id-less"
indicators,Q21170064,part of,sub-programme,id-less,4,indicators part of sub-programme,indicators_Q21170064,sub-programme_id-less
"4,198,490",id-less,instance of,GFS,Q1537683,4,"4,198,490 instance of GFS","4,198,490_id-less",GFS_Q1537683
"4,198,490",id-less,point in time,"4,198",id-less,4,"4,198,490 point in time 4,198","4,198,490_id-less","4,198_id-less"
"7,312,555",id-less,number of episodes,7,Q23350,4,"7,312,555 number of episodes 7","7,312,555_id-less",7_Q23350
"4,307,201",id-less,instance of,GFS,Q1537683,4,"4,307,201 instance of GFS","4,307,201_id-less",GFS_Q1537683
projections,Q7249458,part of,sub-programme,id-less,4,projections part of sub-programme,projections_Q7249458,sub-programme_id-less
Budget Sub-Programme Description,id-less,subclass of,Sub-Programme Description,id-less,3,Budget Sub-Programme Description subclass of Sub-Programme Description,Budget Sub-Programme Description_id-less,Sub-Programme Description_id-less
Operations,Q3884033,has part,Projects,Q93241073,3,Operations has part Projects,Operations_Q3884033,Projects_Q93241073
past data,id-less,opposite of,future performance,Q40110714,3,past data opposite of future performance,past data_id-less,future performance_Q40110714
2017 2018 Budget,id-less,point in time,2017,Q25290,3,2017 2018 Budget point in time 2017,2017 2018 Budget_id-less,2017_Q25290
Use of goods and services,id-less,number of participants,"184,000",id-less,3,"Use of goods and services number of participants 184,000",Use of goods and services_id-less,"184,000_id-less"
