head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count,ent_rel_pair,head_name,tail_name
J U N E,id-less,has part,2,Q200,31,J U N E has part 2,J U N E_id-less,2_Q200
0,Q14920387,part of,J U N E,id-less,31,0 part of J U N E,0_Q14920387,J U N E_id-less
J U N E,id-less,has part,0,Q14920387,31,J U N E has part 0,J U N E_id-less,0_Q14920387
2,Q200,part of,J U N E,id-less,31,2 part of J U N E,2_Q200,J U N E_id-less
2 0 2 0,id-less,number of participants,2,Q200,30,2 0 2 0 number of participants 2,2 0 2 0_id-less,2_Q200
2017,Q25290,followed by,2018,Q25291,24,2017 followed by 2018,2017_Q25290,2018_Q25291
Targets and Indicators,id-less,has part,Indicators,Q21170064,19,Targets and Indicators has part Indicators,Targets and Indicators_id-less,Indicators_Q21170064
Indicators,Q21170064,part of,Targets and Indicators,id-less,19,Indicators part of Targets and Indicators,Indicators_Q21170064,Targets and Indicators_id-less
2018,Q25291,followed by,2019,Q25274,18,2018 followed by 2019,2018_Q25291,2019_Q25274
Activit,Q726543,part of,Priorit y Activit,id-less,16,Activit part of Priorit y Activit,Activit_Q726543,Priorit y Activit_id-less
Priorit y Activit ies,id-less,has part,Activit,Q726543,15,Priorit y Activit ies has part Activit,Priorit y Activit ies_id-less,Activit_Q726543
China,Q148,shares border with,Laos,Q819,14,China shares border with Laos,China_Q148,Laos_Q819
Laos,Q819,shares border with,China,Q148,14,Laos shares border with China,Laos_Q819,China_Q148
2019,Q25274,followed by,2020,Q25337,13,2019 followed by 2020,2019_Q25274,2020_Q25337
2018,Q25291,follows,2017,Q25290,12,2018 follows 2017,2018_Q25291,2017_Q25290
Vientiane,Q9326,instance of,Capital,Q193893,10,Vientiane instance of Capital,Vientiane_Q9326,Capital_Q193893
2020,Q25337,follows,2019,Q25274,9,2020 follows 2019,2020_Q25337,2019_Q25274
1.2,Q22231111,followed by,2,Q200,8,1.2 followed by 2,1.2_Q22231111,2_Q200
1.1,Q22231110,point in time,1,Q199,8,1.1 point in time 1,1.1_Q22231110,1_Q199
New project,Q113698645,instance of,project,Q170584,8,New project instance of project,New project_Q113698645,project_Q170584
Lao,Q819,country,PDR,Q18967481,8,Lao country PDR,Lao_Q819,PDR_Q18967481
services,Q114080183,part of,production,Q739302,7,services part of production,services_Q114080183,production_Q739302
2016,Q25245,followed by,2017,Q25290,7,2016 followed by 2017,2016_Q25245,2017_Q25290
technology,Q11016,part of,science,Q336,7,technology part of science,technology_Q11016,science_Q336
science,Q336,has part,technology,Q11016,7,science has part technology,science_Q336,technology_Q11016
women,Q467,opposite of,men,Q8441,7,women opposite of men,women_Q467,men_Q8441
Kenya Vision 2030,Q6392757,point in time,2030,Q12799,7,Kenya Vision 2030 point in time 2030,Kenya Vision 2030_Q6392757,2030_Q12799
provincial,Q7252609,contains administrative territorial entity,district,Q123705,6,provincial contains administrative territorial entity district,provincial_Q7252609,district_Q123705
regional,Q1218597,has part,international integration,Q56386363,6,regional has part international integration,regional_Q1218597,international integration_Q56386363
technology,Q11016,has effect,innovation,Q174165,6,technology has effect innovation,technology_Q11016,innovation_Q174165
rural,Q7380465,opposite of,urban,Q159313,6,rural opposite of urban,rural_Q7380465,urban_Q159313
district,Q123705,located in the administrative territorial entity,provincial,Q7252609,6,district located in the administrative territorial entity provincial,district_Q123705,provincial_Q7252609
international integration,Q56386363,part of,regional,Q1218597,6,international integration part of regional,international integration_Q56386363,regional_Q1218597
Kenya,Q114,member of,SDGs,Q7649586,6,Kenya member of SDGs,Kenya_Q114,SDGs_Q7649586
forestry,Q38112,part of,agriculture,Q11451,6,forestry part of agriculture,forestry_Q38112,agriculture_Q11451
males,Q6743117,opposite of,females,Q111905566,6,males opposite of females,males_Q6743117,females_Q111905566
females,Q111905566,opposite of,males,Q6743117,6,females opposite of males,females_Q111905566,males_Q6743117
localities,Q3257686,part of,sectors,Q2739810,5,localities part of sectors,localities_Q3257686,sectors_Q2739810
local,Q11851202,contains administrative territorial entity,central,Q57525,5,local contains administrative territorial entity central,local_Q11851202,central_Q57525
central,Q57525,located in the administrative territorial entity,local,Q11851202,5,central located in the administrative territorial entity local,central_Q57525,local_Q11851202
2016,Q25245,followed by,2019,Q25274,5,2016 followed by 2019,2016_Q25245,2019_Q25274
PDR,Q18967481,language used,Lao,Q819,5,PDR language used Lao,PDR_Q18967481,Lao_Q819
urban,Q159313,opposite of,rural,Q7380465,5,urban opposite of rural,urban_Q159313,rural_Q7380465
administration,Q5283295,part of,public governance,Q56758914,5,administration part of public governance,administration_Q5283295,public governance_Q56758914
men,Q8441,opposite of,women,Q467,5,men opposite of women,men_Q8441,women_Q467
