head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count,ent_rel_pair,head_name,tail_name
SDGi,id-less,country,Lao,Q819,50,SDGi country Lao,SDGi_id-less,Lao_Q819
J U N E,id-less,has part,0,Q14920387,31,J U N E has part 0,J U N E_id-less,0_Q14920387
2,Q200,part of,J U N E,id-less,31,2 part of J U N E,2_Q200,J U N E_id-less
0,Q14920387,part of,J U N E,id-less,31,0 part of J U N E,0_Q14920387,J U N E_id-less
J U N E,id-less,has part,2,Q200,31,J U N E has part 2,J U N E_id-less,2_Q200
Baseline,Q201610,part of,Frequency,Q11652,30,Baseline part of Frequency,Baseline_Q201610,Frequency_Q11652
2 0 2 0,id-less,number of participants,2,Q200,30,2 0 2 0 number of participants 2,2 0 2 0_id-less,2_Q200
Frequency,Q11652,has part,Baseline,Q201610,30,Frequency has part Baseline,Frequency_Q11652,Baseline_Q201610
SDGr,Q30292073,part of,SDGi,id-less,29,SDGr part of SDGi,SDGr_Q30292073,SDGi_id-less
women,Q467,opposite of,men,Q8441,29,women opposite of men,women_Q467,men_Q8441
SDGi,id-less,has part,SDGr,Q30292073,29,SDGi has part SDGr,SDGi_id-less,SDGr_Q30292073
Every 5,id-less,number of episodes,5,Q203,26,Every 5 number of episodes 5,Every 5_id-less,5_Q203
2017,Q25290,followed by,2018,Q25291,24,2017 followed by 2018,2017_Q25290,2018_Q25291
2018,Q25291,followed by,2019,Q25274,21,2018 followed by 2019,2018_Q25291,2019_Q25274
Indicators,Q21170064,part of,Targets and Indicators,id-less,19,Indicators part of Targets and Indicators,Indicators_Q21170064,Targets and Indicators_id-less
Targets and Indicators,id-less,has part,Indicators,Q21170064,19,Targets and Indicators has part Indicators,Targets and Indicators_id-less,Indicators_Q21170064
Lao,Q819,country,PDR,Q18967481,18,Lao country PDR,Lao_Q819,PDR_Q18967481
MONRE,Q61931681,instance of,Yearly,Q271855,18,MONRE instance of Yearly,MONRE_Q61931681,Yearly_Q271855
Targets,Q852162,has part,Target,Q1046951,17,Targets has part Target,Targets_Q852162,Target_Q1046951
Target,Q1046951,part of,Targets,Q852162,17,Target part of Targets,Target_Q1046951,Targets_Q852162
men,Q8441,opposite of,women,Q467,16,men opposite of women,men_Q8441,women_Q467
2030 Agenda,Q22129254,point in time,2030,Q12799,16,2030 Agenda point in time 2030,2030 Agenda_Q22129254,2030_Q12799
LSIS,Q16508582,has part,LSI,Q79868227,16,LSIS has part LSI,LSIS_Q16508582,LSI_Q79868227
Activit,Q726543,part of,Priorit y Activit,id-less,16,Activit part of Priorit y Activit,Activit_Q726543,Priorit y Activit_id-less
LSI,Q79868227,part of,LSIS,Q16508582,16,LSI part of LSIS,LSI_Q79868227,LSIS_Q16508582
China,Q148,shares border with,Laos,Q819,15,China shares border with Laos,China_Q148,Laos_Q819
Laos,Q819,shares border with,China,Q148,15,Laos shares border with China,Laos_Q819,China_Q148
Priorit y Activit ies,id-less,has part,Activit,Q726543,15,Priorit y Activit ies has part Activit,Priorit y Activit ies_id-less,Activit_Q726543
forestry,Q38112,part of,agriculture,Q11451,13,forestry part of agriculture,forestry_Q38112,agriculture_Q11451
2019,Q25274,followed by,2020,Q25337,13,2019 followed by 2020,2019_Q25274,2020_Q25337
Baseline,Q201610,subclass of,Data Source,Q1172241,13,Baseline subclass of Data Source,Baseline_Q201610,Data Source_Q1172241
PDR,Q18967481,said to be the same as,Lao,Q819,12,PDR said to be the same as Lao,PDR_Q18967481,Lao_Q819
Government of Lao PDR,id-less,country,Lao PDR,Q819,12,Government of Lao PDR country Lao PDR,Government of Lao PDR_id-less,Lao PDR_Q819
district,Q123705,located in the administrative territorial entity,provincial,Q7252609,12,district located in the administrative territorial entity provincial,district_Q123705,provincial_Q7252609
2018,Q25291,follows,2017,Q25290,12,2018 follows 2017,2018_Q25291,2017_Q25290
provincial,Q7252609,contains administrative territorial entity,district,Q123705,12,provincial contains administrative territorial entity district,provincial_Q7252609,district_Q123705
Lao,Q819,said to be the same as,PDR,Q18967481,12,Lao said to be the same as PDR,Lao_Q819,PDR_Q18967481
Vientiane,Q9326,instance of,Capital,Q193893,12,Vientiane instance of Capital,Vientiane_Q9326,Capital_Q193893
1.1,Q22231110,point in time,1,Q199,10,1.1 point in time 1,1.1_Q22231110,1_Q199
science,Q336,has part,technology,Q11016,10,science has part technology,science_Q336,technology_Q11016
2,Q200,followed by,3,Q201,10,2 followed by 3,2_Q200,3_Q201
PDR,Q18967481,language used,Lao,Q819,10,PDR language used Lao,PDR_Q18967481,Lao_Q819
Global Targets,Q97636245,instance of,Targets,Q852162,9,Global Targets instance of Targets,Global Targets_Q97636245,Targets_Q852162
2016,Q25245,followed by,2017,Q25290,9,2016 followed by 2017,2016_Q25245,2017_Q25290
2020,Q25337,follows,2019,Q25274,9,2020 follows 2019,2020_Q25337,2019_Q25274
MPI 2015,id-less,point in time,2015,Q2002,9,MPI 2015 point in time 2015,MPI 2015_id-less,2015_Q2002
rural,Q7380465,opposite of,urban,Q159313,9,rural opposite of urban,rural_Q7380465,urban_Q159313
technology,Q11016,part of,science,Q336,9,technology part of science,technology_Q11016,science_Q336
New project,Q113698645,instance of,project,Q170584,8,New project instance of project,New project_Q113698645,project_Q170584
urban,Q159313,opposite of,rural,Q7380465,8,urban opposite of rural,urban_Q159313,rural_Q7380465
females,Q111905566,opposite of,males,Q6743117,8,females opposite of males,females_Q111905566,males_Q6743117
women,Q467,opposite of,girls,Q6581072,8,women opposite of girls,women_Q467,girls_Q6581072
Vientiane,Q9326,country,Lao PDR,Q819,8,Vientiane country Lao PDR,Vientiane_Q9326,Lao PDR_Q819
1.2,Q22231111,followed by,2,Q200,8,1.2 followed by 2,1.2_Q22231111,2_Q200
Government,Q7188,country,Lao PDR,Q819,8,Government country Lao PDR,Government_Q7188,Lao PDR_Q819
Progress Update,Q37129735,facet of,global framework,Q56297849,8,Progress Update facet of global framework,Progress Update_Q37129735,global framework_Q56297849
HIV,Q15787,has effect,AIDS,Q12199,8,HIV has effect AIDS,HIV_Q15787,AIDS_Q12199
Lao PDR,Q819,capital,Vientiane,Q9326,8,Lao PDR capital Vientiane,Lao PDR_Q819,Vientiane_Q9326
MOLSW,Q109804805,point in time,2015,Q2002,8,MOLSW point in time 2015,MOLSW_Q109804805,2015_Q2002
girls,Q6581072,opposite of,women,Q467,7,girls opposite of women,girls_Q6581072,women_Q467
SDGs,Q7649586,facet of,SDG,Q7649586,7,SDGs facet of SDG,SDGs_Q7649586,SDG_Q7649586
Survey,Q747810,publisher,LSB,Q3436689,7,Survey publisher LSB,Survey_Q747810,LSB_Q3436689
2019,Q25274,follows,2018,Q25291,7,2019 follows 2018,2019_Q25274,2018_Q25291
males,Q6743117,opposite of,females,Q111905566,7,males opposite of females,males_Q6743117,females_Q111905566
services,Q114080183,part of,production,Q739302,7,services part of production,services_Q114080183,production_Q739302
Kenya Vision 2030,Q6392757,point in time,2030,Q12799,7,Kenya Vision 2030 point in time 2030,Kenya Vision 2030_Q6392757,2030_Q12799
technology,Q11016,has effect,innovation,Q174165,7,technology has effect innovation,technology_Q11016,innovation_Q174165
1 Indicator,id-less,point in time,1,Q199,7,1 Indicator point in time 1,1 Indicator_id-less,1_Q199
regional,Q1218597,has part,international integration,Q56386363,6,regional has part international integration,regional_Q1218597,international integration_Q56386363
girls,Q6581072,opposite of,boys,Q3010,6,girls opposite of boys,girls_Q6581072,boys_Q3010
Kenya,Q114,member of,SDGs,Q7649586,6,Kenya member of SDGs,Kenya_Q114,SDGs_Q7649586
international integration,Q56386363,part of,regional,Q1218597,6,international integration part of regional,international integration_Q56386363,regional_Q1218597
health,Q12147,has part,education,Q8434,6,health has part education,health_Q12147,education_Q8434
8th,Q28469718,followed by,9th NSEDP,id-less,6,8th followed by 9th NSEDP,8th_Q28469718,9th NSEDP_id-less
SDGi,id-less,instance of,Implementation,Q245962,6,SDGi instance of Implementation,SDGi_id-less,Implementation_Q245962
regional,Q1218597,part of,international,Q1072012,6,regional part of international,regional_Q1218597,international_Q1072012
teaching,Q352842,subclass of,learning,Q133500,6,teaching subclass of learning,teaching_Q352842,learning_Q133500
SDG indicators,id-less,part of,SDG,Q7649586,6,SDG indicators part of SDG,SDG indicators_id-less,SDG_Q7649586
international,Q1072012,has part,regional,Q1218597,6,international has part regional,international_Q1072012,regional_Q1218597
3,Q201,follows,2,Q200,6,3 follows 2,3_Q201,2_Q200
Male,Q6581097,opposite of,Female,Q43445,5,Male opposite of Female,Male_Q6581097,Female_Q43445
Female,Q43445,opposite of,Male,Q6581097,5,Female opposite of Male,Female_Q43445,Male_Q6581097
economic,Q8134,part of,social,Q345367,5,economic part of social,economic_Q8134,social_Q345367
women,Q467,subclass of,children,Q7569,5,women subclass of children,women_Q467,children_Q7569
central,Q57525,located in the administrative territorial entity,local,Q11851202,5,central located in the administrative territorial entity local,central_Q57525,local_Q11851202
remote areas,Q64303346,part of,rural,Q7380465,5,remote areas part of rural,remote areas_Q64303346,rural_Q7380465
administration,Q5283295,part of,public governance,Q56758914,5,administration part of public governance,administration_Q5283295,public governance_Q56758914
rel_err,rel_err,rel_err,rel_err,rel_err,5,rel_err rel_err rel_err,rel_err_rel_err,rel_err_rel_err
2018,Q25291,follows,2014,Q1999,5,2018 follows 2014,2018_Q25291,2014_Q1999
sustainable development,Q131201,subclass of,development,Q1074523,5,sustainable development subclass of development,sustainable development_Q131201,development_Q1074523
research,Q42240,part of,scientific,Q42240,5,research part of scientific,research_Q42240,scientific_Q42240
2016,Q25245,followed by,2019,Q25274,5,2016 followed by 2019,2016_Q25245,2019_Q25274
urban,Q159313,opposite of,rural areas,Q175185,5,urban opposite of rural areas,urban_Q159313,rural areas_Q175185
Government of Lao PDR,id-less,located in the administrative territorial entity,Vientiane,Q9326,5,Government of Lao PDR located in the administrative territorial entity Vientiane,Government of Lao PDR_id-less,Vientiane_Q9326
SWGr,Q9585605,instance of,SDG indicators,id-less,5,SWGr instance of SDG indicators,SWGr_Q9585605,SDG indicators_id-less
village,Q532,located in the administrative territorial entity,district,Q123705,5,village located in the administrative territorial entity district,village_Q532,district_Q123705
localities,Q3257686,part of,sectors,Q2739810,5,localities part of sectors,localities_Q3257686,sectors_Q2739810
SDG implementation,id-less,part of,SDG,Q7649586,5,SDG implementation part of SDG,SDG implementation_id-less,SDG_Q7649586
developing countries,Q177323,subclass of,countries,Q6256,5,developing countries subclass of countries,developing countries_Q177323,countries_Q6256
8th NSEDP,id-less,followed by,9th NSEDP,id-less,5,8th NSEDP followed by 9th NSEDP,8th NSEDP_id-less,9th NSEDP_id-less
2014,Q1999,followed by,2018,Q25291,5,2014 followed by 2018,2014_Q1999,2018_Q25291
rural,Q7380465,subclass of,areas,Q4788688,5,rural subclass of areas,rural_Q7380465,areas_Q4788688
MAF,Q1073939,instance of,Admin,Q4039395,5,MAF instance of Admin,MAF_Q1073939,Admin_Q4039395
infrastructure,Q121359,part of,development,Q1074523,5,infrastructure part of development,infrastructure_Q121359,development_Q1074523
SDG,Q7649586,has part,SDG implementation,id-less,5,SDG has part SDG implementation,SDG_Q7649586,SDG implementation_id-less
rural,Q7380465,has part,remote areas,Q64303346,5,rural has part remote areas,rural_Q7380465,remote areas_Q64303346
1,Q199,followed by,2,Q200,5,1 followed by 2,1_Q199,2_Q200
legislation,Q820655,has part,regulations,Q106947327,5,legislation has part regulations,legislation_Q820655,regulations_Q106947327
Paris,Q90,country,France,Q142,5,Paris country France,Paris_Q90,France_Q142
boys,Q3010,opposite of,girls,Q6581072,5,boys opposite of girls,boys_Q3010,girls_Q6581072
social,Q345367,part of,economic,Q8134,5,social part of economic,social_Q345367,economic_Q8134
MPWT,id-less,instance of,Yearly,Q271855,5,MPWT instance of Yearly,MPWT_id-less,Yearly_Q271855
SDGs,Q7649586,main subject,SDG,Q7649586,5,SDGs main subject SDG,SDGs_Q7649586,SDG_Q7649586
local,Q11851202,contains administrative territorial entity,central,Q57525,5,local contains administrative territorial entity central,local_Q11851202,central_Q57525
least developed countries,Q752401,opposite of,developed countries,Q132453,5,least developed countries opposite of developed countries,least developed countries_Q752401,developed countries_Q132453
districts,Q5283500,part of,provinces,Q429976,5,districts part of provinces,districts_Q5283500,provinces_Q429976
rural areas,Q175185,opposite of,urban,Q159313,5,rural areas opposite of urban,rural areas_Q175185,urban_Q159313
economic,Q8134,has part,social,Q345367,5,economic has part social,economic_Q8134,social_Q345367
