head_text,head_wiki_id,relation,tail_text,tail_wiki_id,count,ent_rel_pair,head_name,tail_name
women,Q467,opposite of,men,Q8441,69,women opposite of men,women_Q467,men_Q8441
SDGi,id-less,country,Lao,Q819,50,SDGi country Lao,SDGi_id-less,Lao_Q819
Agenda For Prosperity And Development,id-less,follows,Pro-Poor Agenda For Prosperity And Development,id-less,50,Agenda For Prosperity And Development follows Pro-Poor Agenda For Prosperity And Development,Agenda For Prosperity And Development_id-less,Pro-Poor Agenda For Prosperity And Development_id-less
Pro-Poor Agenda For Prosperity And Development,id-less,followed by,Agenda For Prosperity And Development,id-less,50,Pro-Poor Agenda For Prosperity And Development followed by Agenda For Prosperity And Development,Pro-Poor Agenda For Prosperity And Development_id-less,Agenda For Prosperity And Development_id-less
men,Q8441,opposite of,women,Q467,37,men opposite of women,men_Q8441,women_Q467
Republic Of Liberia,Q1014,country,Liberia,Q1014,37,Republic Of Liberia country Liberia,Republic Of Liberia_Q1014,Liberia_Q1014
J U N E,id-less,has part,2,Q200,31,J U N E has part 2,J U N E_id-less,2_Q200
J U N E,id-less,has part,0,Q14920387,31,J U N E has part 0,J U N E_id-less,0_Q14920387
2,Q200,part of,J U N E,id-less,31,2 part of J U N E,2_Q200,J U N E_id-less
0,Q14920387,part of,J U N E,id-less,31,0 part of J U N E,0_Q14920387,J U N E_id-less
2 0 2 0,id-less,number of participants,2,Q200,30,2 0 2 0 number of participants 2,2 0 2 0_id-less,2_Q200
Baseline,Q201610,part of,Frequency,Q11652,30,Baseline part of Frequency,Baseline_Q201610,Frequency_Q11652
Frequency,Q11652,has part,Baseline,Q201610,30,Frequency has part Baseline,Frequency_Q11652,Baseline_Q201610
SDGi,id-less,has part,SDGr,Q30292073,29,SDGi has part SDGr,SDGi_id-less,SDGr_Q30292073
SDGr,Q30292073,part of,SDGi,id-less,29,SDGr part of SDGi,SDGr_Q30292073,SDGi_id-less
Every 5,id-less,number of episodes,5,Q203,26,Every 5 number of episodes 5,Every 5_id-less,5_Q203
1.1,Q22231110,point in time,1,Q199,25,1.1 point in time 1,1.1_Q22231110,1_Q199
2017,Q25290,followed by,2018,Q25291,24,2017 followed by 2018,2017_Q25290,2018_Q25291
2018,Q25291,followed by,2019,Q25274,21,2018 followed by 2019,2018_Q25291,2019_Q25274
Indicators,Q21170064,part of,Targets and Indicators,id-less,19,Indicators part of Targets and Indicators,Indicators_Q21170064,Targets and Indicators_id-less
Targets and Indicators,id-less,has part,Indicators,Q21170064,19,Targets and Indicators has part Indicators,Targets and Indicators_id-less,Indicators_Q21170064
Lao,Q819,country,PDR,Q18967481,18,Lao country PDR,Lao_Q819,PDR_Q18967481
MONRE,Q61931681,instance of,Yearly,Q271855,18,MONRE instance of Yearly,MONRE_Q61931681,Yearly_Q271855
Target,Q1046951,part of,Targets,Q852162,17,Target part of Targets,Target_Q1046951,Targets_Q852162
2030 Agenda,Q22129254,point in time,2030,Q12799,17,2030 Agenda point in time 2030,2030 Agenda_Q22129254,2030_Q12799
Targets,Q852162,has part,Target,Q1046951,17,Targets has part Target,Targets_Q852162,Target_Q1046951
2,Q200,followed by,3,Q201,16,2 followed by 3,2_Q200,3_Q201
forestry,Q38112,part of,agriculture,Q11451,16,forestry part of agriculture,forestry_Q38112,agriculture_Q11451
LSIS,Q16508582,has part,LSI,Q79868227,16,LSIS has part LSI,LSIS_Q16508582,LSI_Q79868227
Activit,Q726543,part of,Priorit y Activit,id-less,16,Activit part of Priorit y Activit,Activit_Q726543,Priorit y Activit_id-less
LSI,Q79868227,part of,LSIS,Q16508582,16,LSI part of LSIS,LSI_Q79868227,LSIS_Q16508582
Priorit y Activit ies,id-less,has part,Activit,Q726543,15,Priorit y Activit ies has part Activit,Priorit y Activit ies_id-less,Activit_Q726543
Laos,Q819,shares border with,China,Q148,15,Laos shares border with China,Laos_Q819,China_Q148
China,Q148,shares border with,Laos,Q819,15,China shares border with Laos,China_Q148,Laos_Q819
Public,Q294440,instance of,Sector,Q3958441,15,Public instance of Sector,Public_Q294440,Sector_Q3958441
rel_err,rel_err,rel_err,rel_err,rel_err,15,rel_err rel_err rel_err,rel_err_rel_err,rel_err_rel_err
ACTIVITIES,Q61788060,part of,TARGETSSTRATEGIES,id-less,14,ACTIVITIES part of TARGETSSTRATEGIES,ACTIVITIES_Q61788060,TARGETSSTRATEGIES_id-less
HIV,Q15787,has effect,AIDS,Q12199,14,HIV has effect AIDS,HIV_Q15787,AIDS_Q12199
TARGETSSTRATEGIES,id-less,has part,ACTIVITIES,Q61788060,14,TARGETSSTRATEGIES has part ACTIVITIES,TARGETSSTRATEGIES_id-less,ACTIVITIES_Q61788060
science,Q336,has part,technology,Q11016,14,science has part technology,science_Q336,technology_Q11016
OTHER PARTS,id-less,has part,WITH OTHER PARTS,id-less,13,OTHER PARTS has part WITH OTHER PARTS,OTHER PARTS_id-less,WITH OTHER PARTS_id-less
WITH OTHER,Q16048069,has part,OTHER,Q48270,13,WITH OTHER has part OTHER,WITH OTHER_Q16048069,OTHER_Q48270
WITH OTHER PARTS,id-less,part of,OTHER PARTS,id-less,13,WITH OTHER PARTS part of OTHER PARTS,WITH OTHER PARTS_id-less,OTHER PARTS_id-less
OTHER,Q48270,part of,WITH OTHER,Q16048069,13,OTHER part of WITH OTHER,OTHER_Q48270,WITH OTHER_Q16048069
women,Q467,opposite of,girls,Q6581072,13,women opposite of girls,women_Q467,girls_Q6581072
2019,Q25274,followed by,2020,Q25337,13,2019 followed by 2020,2019_Q25274,2020_Q25337
sustainable development,Q131201,subclass of,development,Q1074523,13,sustainable development subclass of development,sustainable development_Q131201,development_Q1074523
Baseline,Q201610,subclass of,Data Source,Q1172241,13,Baseline subclass of Data Source,Baseline_Q201610,Data Source_Q1172241
PLAN,Q4006,has part,OF THE PLAN,id-less,13,PLAN has part OF THE PLAN,PLAN_Q4006,OF THE PLAN_id-less
OF THE PLAN,id-less,part of,PLAN,Q4006,13,OF THE PLAN part of PLAN,OF THE PLAN_id-less,PLAN_Q4006
technology,Q11016,part of,science,Q336,12,technology part of science,technology_Q11016,science_Q336
equality,Q842346,facet of,gender,Q48277,12,equality facet of gender,equality_Q842346,gender_Q48277
Government of Lao PDR,id-less,country,Lao PDR,Q819,12,Government of Lao PDR country Lao PDR,Government of Lao PDR_id-less,Lao PDR_Q819
girls,Q6581072,opposite of,women,Q467,12,girls opposite of women,girls_Q6581072,women_Q467
PDR,Q18967481,said to be the same as,Lao,Q819,12,PDR said to be the same as Lao,PDR_Q18967481,Lao_Q819
provincial,Q7252609,contains administrative territorial entity,district,Q123705,12,provincial contains administrative territorial entity district,provincial_Q7252609,district_Q123705
AGENDA 2063,Q56296197,point in time,2063,Q1044976,12,AGENDA 2063 point in time 2063,AGENDA 2063_Q56296197,2063_Q1044976
2018,Q25291,follows,2017,Q25290,12,2018 follows 2017,2018_Q25291,2017_Q25290
Lao,Q819,said to be the same as,PDR,Q18967481,12,Lao said to be the same as PDR,Lao_Q819,PDR_Q18967481
Vientiane,Q9326,instance of,Capital,Q193893,12,Vientiane instance of Capital,Vientiane_Q9326,Capital_Q193893
district,Q123705,located in the administrative territorial entity,provincial,Q7252609,12,district located in the administrative territorial entity provincial,district_Q123705,provincial_Q7252609
interventions,Q15763635,subclass of,intervention,Q179661,12,interventions subclass of intervention,interventions_Q15763635,intervention_Q179661
health,Q12147,has part,education,Q8434,11,health has part education,health_Q12147,education_Q8434
Liberia,Q1014,ethnic group,Liberians,Q99735521,11,Liberia ethnic group Liberians,Liberia_Q1014,Liberians_Q99735521
2016,Q25245,followed by,2017,Q25290,11,2016 followed by 2017,2016_Q25245,2017_Q25290
rural,Q7380465,opposite of,urban,Q159313,11,rural opposite of urban,rural_Q7380465,urban_Q159313
2022,Q49625,follows,2021,Q49628,10,2022 follows 2021,2022_Q49625,2021_Q49628
economic,Q8134,part of,social,Q345367,10,economic part of social,economic_Q8134,social_Q345367
2021,Q49628,followed by,2022,Q49625,10,2021 followed by 2022,2021_Q49628,2022_Q49625
poor,Q5729485,subclass of,vulnerable,Q278113,10,poor subclass of vulnerable,poor_Q5729485,vulnerable_Q278113
PDR,Q18967481,language used,Lao,Q819,10,PDR language used Lao,PDR_Q18967481,Lao_Q819
Vision 2030,Q23906335,point in time,2030,Q12799,10,Vision 2030 point in time 2030,Vision 2030_Q23906335,2030_Q12799
urban,Q159313,opposite of,rural,Q7380465,10,urban opposite of rural,urban_Q159313,rural_Q7380465
1,Q199,followed by,2,Q200,9,1 followed by 2,1_Q199,2_Q200
females,Q111905566,opposite of,males,Q6743117,9,females opposite of males,females_Q111905566,males_Q6743117
Global Targets,Q97636245,instance of,Targets,Q852162,9,Global Targets instance of Targets,Global Targets_Q97636245,Targets_Q852162
female,Q43445,opposite of,male,Q6581097,9,female opposite of male,female_Q43445,male_Q6581097
girls,Q6581072,opposite of,boys,Q3010,9,girls opposite of boys,girls_Q6581072,boys_Q3010
MPI 2015,id-less,point in time,2015,Q2002,9,MPI 2015 point in time 2015,MPI 2015_id-less,2015_Q2002
3,Q201,follows,2,Q200,9,3 follows 2,3_Q201,2_Q200
2020,Q25337,follows,2019,Q25274,9,2020 follows 2019,2020_Q25337,2019_Q25274
boys,Q3010,opposite of,girls,Q6581072,8,boys opposite of girls,boys_Q3010,girls_Q6581072
Progress Update,Q37129735,facet of,global framework,Q56297849,8,Progress Update facet of global framework,Progress Update_Q37129735,global framework_Q56297849
Economy,Q159810,has part,Jobs,Q392825,8,Economy has part Jobs,Economy_Q159810,Jobs_Q392825
Vientiane,Q9326,country,Lao PDR,Q819,8,Vientiane country Lao PDR,Vientiane_Q9326,Lao PDR_Q819
1.2,Q22231111,followed by,2,Q200,8,1.2 followed by 2,1.2_Q22231111,2_Q200
MOLSW,Q109804805,point in time,2015,Q2002,8,MOLSW point in time 2015,MOLSW_Q109804805,2015_Q2002
absolute poverty,Q2714378,subclass of,poverty,Q10294,8,absolute poverty subclass of poverty,absolute poverty_Q2714378,poverty_Q10294
Jobs,Q392825,part of,Economy,Q159810,8,Jobs part of Economy,Jobs_Q392825,Economy_Q159810
rule of law,Q44918,subclass of,justice,Q16533,8,rule of law subclass of justice,rule of law_Q44918,justice_Q16533
TARGETSAU 2063,id-less,point in time,2063,Q1044976,8,TARGETSAU 2063 point in time 2063,TARGETSAU 2063_id-less,2063_Q1044976
rural,Q7380465,subclass of,areas,Q4788688,8,rural subclass of areas,rural_Q7380465,areas_Q4788688
Government,Q7188,country,Lao PDR,Q819,8,Government country Lao PDR,Government_Q7188,Lao PDR_Q819
sanitation,Q949149,facet of,water,Q283,8,sanitation facet of water,sanitation_Q949149,water_Q283
Lao PDR,Q819,capital,Vientiane,Q9326,8,Lao PDR capital Vientiane,Lao PDR_Q819,Vientiane_Q9326
males,Q6743117,opposite of,females,Q111905566,8,males opposite of females,males_Q6743117,females_Q111905566
New project,Q113698645,instance of,project,Q170584,8,New project instance of project,New project_Q113698645,project_Q170584
Jo bs,id-less,part of,Economy,Q159810,7,Jo bs part of Economy,Jo bs_id-less,Economy_Q159810
SDGs,Q7649586,facet of,SDG,Q7649586,7,SDGs facet of SDG,SDGs_Q7649586,SDG_Q7649586
primary,Q669262,followed by,secondary,Q28469712,7,primary followed by secondary,primary_Q669262,secondary_Q28469712
TVET,Q18286682,has part,One,Q199,7,TVET has part One,TVET_Q18286682,One_Q199
2019,Q25274,follows,2018,Q25291,7,2019 follows 2018,2019_Q25274,2018_Q25291
Liberian people,Q99735521,country,Liberia,Q1014,7,Liberian people country Liberia,Liberian people_Q99735521,Liberia_Q1014
triple heritage,Q20601205,facet of,society,Q8425,7,triple heritage facet of society,triple heritage_Q20601205,society_Q8425
technology,Q11016,has effect,innovation,Q174165,7,technology has effect innovation,technology_Q11016,innovation_Q174165
One,Q199,part of,TVET,Q18286682,7,One part of TVET,One_Q199,TVET_Q18286682
women,Q467,has part,children,Q7569,7,women has part children,women_Q467,children_Q7569
women,Q467,followed by,girls,Q6581072,7,women followed by girls,women_Q467,girls_Q6581072
Survey,Q747810,publisher,LSB,Q3436689,7,Survey publisher LSB,Survey_Q747810,LSB_Q3436689
Economy,Q159810,has part,Jo bs,id-less,7,Economy has part Jo bs,Economy_Q159810,Jo bs_id-less
ACTIVITIES,Q61788060,has part,PROGRAMMES,Q39071357,7,ACTIVITIES has part PROGRAMMES,ACTIVITIES_Q61788060,PROGRAMMES_Q39071357
1 Indicator,id-less,point in time,1,Q199,7,1 Indicator point in time 1,1 Indicator_id-less,1_Q199
Kenya Vision 2030,Q6392757,point in time,2030,Q12799,7,Kenya Vision 2030 point in time 2030,Kenya Vision 2030_Q6392757,2030_Q12799
services,Q114080183,part of,production,Q739302,7,services part of production,services_Q114080183,production_Q739302
regional,Q1218597,has part,international integration,Q56386363,6,regional has part international integration,regional_Q1218597,international integration_Q56386363
international integration,Q56386363,part of,regional,Q1218597,6,international integration part of regional,international integration_Q56386363,regional_Q1218597
rural areas,Q175185,opposite of,urban,Q159313,6,rural areas opposite of urban,rural areas_Q175185,urban_Q159313
Agenda For Prosperity And Development,id-less,has part,Pro-Poor Agenda,id-less,6,Agenda For Prosperity And Development has part Pro-Poor Agenda,Agenda For Prosperity And Development_id-less,Pro-Poor Agenda_id-less
Male,Q6581097,opposite of,Female,Q43445,6,Male opposite of Female,Male_Q6581097,Female_Q43445
social,Q345367,has part,economic,Q8134,6,social has part economic,social_Q345367,economic_Q8134
Female,Q43445,opposite of,Male,Q6581097,6,Female opposite of Male,Female_Q43445,Male_Q6581097
monetary policy,Q178476,part of,fiscal,Q1419659,6,monetary policy part of fiscal,monetary policy_Q178476,fiscal_Q1419659
health,Q12147,facet of,education,Q8434,6,health facet of education,health_Q12147,education_Q8434
Kenya,Q114,member of,SDGs,Q7649586,6,Kenya member of SDGs,Kenya_Q114,SDGs_Q7649586
regional,Q1218597,part of,international,Q1072012,6,regional part of international,regional_Q1218597,international_Q1072012
male,Q6581097,opposite of,female,Q43445,6,male opposite of female,male_Q6581097,female_Q43445
teaching,Q352842,subclass of,learning,Q133500,6,teaching subclass of learning,teaching_Q352842,learning_Q133500
2020,Q25337,followed by,2021,Q49628,6,2020 followed by 2021,2020_Q25337,2021_Q49628
international,Q1072012,has part,regional,Q1218597,6,international has part regional,international_Q1072012,regional_Q1218597
women,Q467,subclass of,children,Q7569,6,women subclass of children,women_Q467,children_Q7569
capacity,Q1347367,has part,domestic,Q144,6,capacity has part domestic,capacity_Q1347367,domestic_Q144
Government of Liberia,id-less,country,Liberia,Q1014,6,Government of Liberia country Liberia,Government of Liberia_id-less,Liberia_Q1014
revenue,Q850210,has part,expenditure,Q760120,6,revenue has part expenditure,revenue_Q850210,expenditure_Q760120
SDG indicators,id-less,part of,SDG,Q7649586,6,SDG indicators part of SDG,SDG indicators_id-less,SDG_Q7649586
education,Q8434,part of,health,Q12147,6,education part of health,education_Q8434,health_Q12147
SDGi,id-less,instance of,Implementation,Q245962,6,SDGi instance of Implementation,SDGi_id-less,Implementation_Q245962
1.4,Q30339152,point in time,1,Q199,6,1.4 point in time 1,1.4_Q30339152,1_Q199
Pro-Poor Agenda,id-less,part of,Agenda For Prosperity And Development,id-less,6,Pro-Poor Agenda part of Agenda For Prosperity And Development,Pro-Poor Agenda_id-less,Agenda For Prosperity And Development_id-less
PARTS OF THE,Q718843,part of,PARTS,Q45085932,6,PARTS OF THE part of PARTS,PARTS OF THE_Q718843,PARTS_Q45085932
urban,Q159313,opposite of,rural areas,Q175185,6,urban opposite of rural areas,urban_Q159313,rural areas_Q175185
Sector,Q3958441,has part,Public,Q294440,6,Sector has part Public,Sector_Q3958441,Public_Q294440
8th,Q28469718,followed by,9th NSEDP,id-less,6,8th followed by 9th NSEDP,8th_Q28469718,9th NSEDP_id-less
vocational,Q322563,subclass of,education,Q8434,6,vocational subclass of education,vocational_Q322563,education_Q8434
education,Q8434,facet of,health,Q12147,6,education facet of health,education_Q8434,health_Q12147
Short-term interventions,Q38579888,followed by,Mid-term interventions,id-less,6,Short-term interventions followed by Mid-term interventions,Short-term interventions_Q38579888,Mid-term interventions_id-less
infrastructure,Q121359,part of,development,Q1074523,6,infrastructure part of development,infrastructure_Q121359,development_Q1074523
Medium-Term,Q22294920,follows,Short-Term Interventions,Q38579888,6,Medium-Term follows Short-Term Interventions,Medium-Term_Q22294920,Short-Term Interventions_Q38579888
PARTS,Q45085932,has part,PARTS OF THE,Q718843,6,PARTS has part PARTS OF THE,PARTS_Q45085932,PARTS OF THE_Q718843
Short-Term Interventions,Q38579888,followed by,Medium-Term,Q22294920,6,Short-Term Interventions followed by Medium-Term,Short-Term Interventions_Q38579888,Medium-Term_Q22294920
Government of Lao PDR,id-less,located in the administrative territorial entity,Vientiane,Q9326,5,Government of Lao PDR located in the administrative territorial entity Vientiane,Government of Lao PDR_id-less,Vientiane_Q9326
2016,Q25245,followed by,2019,Q25274,5,2016 followed by 2019,2016_Q25245,2019_Q25274
public,Q294440,different from,service,Q7406919,5,public different from service,public_Q294440,service_Q7406919
village,Q532,located in the administrative territorial entity,district,Q123705,5,village located in the administrative territorial entity district,village_Q532,district_Q123705
2014,Q1999,followed by,2018,Q25291,5,2014 followed by 2018,2014_Q1999,2018_Q25291
gender,Q48277,different from,county,Q19470,5,gender different from county,gender_Q48277,county_Q19470
regulatory,Q428148,part of,legal,Q2210557,5,regulatory part of legal,regulatory_Q428148,legal_Q2210557
Commissions,Q58789928,subclass of,Agencies,Q392918,5,Commissions subclass of Agencies,Commissions_Q58789928,Agencies_Q392918
