size,node
24.181478016838163,8FYP
21.37511693171188,Bangladesh
17.895229186155284,7FYP
14.976613657623947,education
13.816651075771748,India
13.779232927970064,Government
13.666978484565014,training
13.479887745556594,health
13.442469597754911,rural
13.330215154349858,infrastructure
13.105706267539755,SDG
13.068288119738073,urban
13.030869971936388,poverty
12.993451824134706,women
12.918615528531337,GDP
12.84377923292797,COVID -19
12.768942937324603,Dhaka
12.731524789522918,China
12.619270346117867,public
12.544434050514498,private sector
12.282507015902713,export
12.282507015902713,sanitation
12.207670720299344,Eighth Plan
12.170252572497661,services
12.170252572497661,ICT
12.170252572497661,PP2041
12.132834424695977,poor
12.095416276894293,trade
12.05799812909261,manufacturing
12.05799812909261,government
12.05799812909261,agriculture
11.983161833489241,LGI
11.945743685687559,productivity
11.796071094480823,Seventh Plan
11.758652946679138,economic
11.758652946679138,demand
11.758652946679138,transport
11.683816651075771,employment
11.608980355472404,Bangladesh Bank
11.57156220767072,SDGs
11.534144059869035,FY25
11.496725912067351,private
11.496725912067351,primary
11.459307764265668,8th Plan
11.459307764265668,investment
11.421889616463984,Vietnam
11.421889616463984,poverty reduction
11.421889616463984,construction
11.384471468662301,policies
11.384471468662301,Ministry
11.384471468662301,social
11.347053320860617,climate change
11.347053320860617,income
11.309635173058933,economy
11.309635173058933,BDP2100
11.309635173058933,health care
11.272217025257248,supply
11.234798877455566,growth
11.234798877455566,nutrition
11.234798877455566,Taka
11.234798877455566,development
11.234798877455566,management
11.197380729653881,labour
11.197380729653881,extreme poverty
11.197380729653881,Malaysia
11.197380729653881,renewable energy
11.159962581852199,FY21
11.159962581852199,irrigation
11.159962581852199,service sector
11.122544434050514,FY22
11.122544434050514,FY2025
11.122544434050514,population
11.122544434050514,BBS
11.08512628624883,water
11.047708138447145,6FYP
11.047708138447145,research
11.047708138447145,FY2019
11.047708138447145,1990s
11.047708138447145,FY19
11.047708138447145,FY23
11.047708138447145,income inequality
11.010289990645463,exports
11.010289990645463,tourism
11.010289990645463,skills
11.010289990645463,technology
11.010289990645463,FY24
11.010289990645463,targets
10.972871842843778,NGO
10.972871842843778,Nepal
10.972871842843778,implementation
10.972871842843778,Thailand
10.972871842843778,FY20
10.935453695042096,secondary
10.935453695042096,Upazila
10.935453695042096,public sector
10.935453695042096,policy
10.935453695042096,NSSS
10.898035547240411,local government
10.898035547240411,Education
10.898035547240411,men
10.898035547240411,GED Projections
10.898035547240411,Japan
10.898035547240411,land
10.898035547240411,NGOs
10.860617399438727,Ministry of Finance
10.860617399438727,farmers
10.860617399438727,forest
10.860617399438727,primary education
10.860617399438727,accountability
10.860617399438727,market
10.860617399438727,coal
10.823199251637043,girls
10.823199251637043,teachers
10.823199251637043,tertiary education
10.823199251637043,agricultural
10.823199251637043,districts
10.823199251637043,1
10.78578110383536,biodiversity
10.78578110383536,East Asia
10.78578110383536,district
10.78578110383536,road
10.78578110383536,rural area
10.78578110383536,2
10.748362956033676,diversification
10.748362956033676,COVID -19 pandemic
10.748362956033676,developing countries
10.748362956033676,rural areas
10.748362956033676,industry
10.748362956033676,6th
10.748362956033676,Plan
10.748362956033676,rel_err
10.748362956033676,social protection
10.748362956033676,food
10.748362956033676,Division
10.710944808231991,rural economy
10.710944808231991,Bhutan
10.710944808231991,power sector
10.710944808231991,learning
10.710944808231991,urban area
10.710944808231991,fisheries
10.710944808231991,inequality
10.673526660430309,monitoring
10.673526660430309,LNG
10.673526660430309,Target
10.673526660430309,Chittagong
10.673526660430309,female
10.673526660430309,Power Division
10.673526660430309,data
10.673526660430309,Government of Bangladesh
10.636108512628624,bridges
10.636108512628624,bank
10.636108512628624,HIV
10.636108512628624,distribution
10.636108512628624,Asia
10.636108512628624,poultry
10.636108512628624,international
10.636108512628624,governance
10.636108512628624,programmes
10.636108512628624,UMIC
10.59869036482694,male
10.59869036482694,Indonesia
10.59869036482694,Pakistan
10.59869036482694,industrialization
10.59869036482694,GED
10.59869036482694,FDI
10.59869036482694,3
10.59869036482694,curriculum
10.59869036482694,quality
10.59869036482694,BDP 2100
10.59869036482694,literacy
10.561272217025257,Bangladesh Delta Plan 2100
10.561272217025257,Bangladesh Bureau of Statistics
10.561272217025257,banking
10.561272217025257,children
10.561272217025257,transmission
10.561272217025257,gender equality
10.561272217025257,Lead
10.561272217025257,Dalit
10.561272217025257,6
10.561272217025257,private investment
10.523854069223573,Ganges
10.523854069223573,Prime Minister
10.523854069223573,capital
10.523854069223573,"Chapter 5, Part 1"
10.523854069223573,science
10.523854069223573,sectors
10.523854069223573,F
10.523854069223573,FY2015
10.523854069223573,secondary level
10.523854069223573,ecosystem
10.523854069223573,Agriculture
10.523854069223573,COVID
10.523854069223573,law
10.486435921421888,tertiary
10.486435921421888,boys
10.486435921421888,World Bank
10.486435921421888,Part 1
10.486435921421888,Cabinet Division
10.486435921421888,PP2021
10.486435921421888,secondary education
10.486435921421888,Bangladesh economy
10.486435921421888,strategies
10.486435921421888,energy sector
10.486435921421888,planning
10.486435921421888,information
10.486435921421888,M
10.486435921421888,2000s
10.486435921421888,legal
10.486435921421888,industries
10.486435921421888,industrial policy
10.486435921421888,import
10.486435921421888,urban areas
10.486435921421888,processing
10.486435921421888,FY2024
10.486435921421888,digital economy
10.486435921421888,4
10.486435921421888,natural disasters
10.486435921421888,FY2021
10.486435921421888,MoEFCC
10.486435921421888,BRDB
10.449017773620206,ministries
10.449017773620206,participation
10.449017773620206,vulnerable
10.449017773620206,Performance Indicators
10.449017773620206,South Asia
10.449017773620206,Sixth
10.449017773620206,river
10.449017773620206,ICT Division
10.449017773620206,FY1974
10.449017773620206,facilities
10.449017773620206,transport infrastructure
10.449017773620206,8th plan
10.449017773620206,regulations
10.449017773620206,9
10.449017773620206,Objectives
10.411599625818521,countries
10.411599625818521,remittance
10.411599625818521,numeracy
10.411599625818521,economic development
10.411599625818521,agencies
10.411599625818521,energy
10.411599625818521,environmental
10.411599625818521,exploitation
10.411599625818521,political
10.411599625818521,food safety
10.411599625818521,housing
10.411599625818521,laws
10.411599625818521,FY2020
10.411599625818521,HIC
10.411599625818521,Korea
10.411599625818521,Meghna
10.411599625818521,INTRODUCTION
10.411599625818521,FY2022
10.411599625818521,water management
10.411599625818521,FY2010
10.411599625818521,Divisi
10.374181478016837,sector
10.374181478016837,Chapter 5
10.374181478016837,rural poverty
10.374181478016837,power generation
10.374181478016837,capital market
10.374181478016837,cities
10.374181478016837,As % of GDP
10.374181478016837,Part 2
10.374181478016837,skill development
10.374181478016837,M2M
10.374181478016837,MICS 2019
10.374181478016837,entrepreneurship
10.374181478016837,adaptation
10.374181478016837,employment opportunities
10.336763330215154,FY2013
10.336763330215154,0.3
10.336763330215154,PSMP 2016
10.336763330215154,Targets
10.336763330215154,FY2023
10.336763330215154,LDC
10.336763330215154,Private
10.336763330215154,Activities
10.336763330215154,forestry
10.336763330215154,public investment
10.336763330215154,transparency
10.336763330215154,property tax
10.336763330215154,100%
10.336763330215154,0
10.336763330215154,Industry
10.336763330215154,2017
10.336763330215154,Rural Development
10.336763330215154,environmental management
10.336763330215154,goods
10.336763330215154,1980s
10.29934518241347,5
10.29934518241347,WTO
10.29934518241347,vocational training
10.29934518241347,bridge
10.29934518241347,0.2
10.29934518241347,flood control
10.29934518241347,Annex Table A5.1
10.29934518241347,drinking water
10.29934518241347,country
10.29934518241347,human resources
10.29934518241347,Ministry of Women and Children Affairs
10.29934518241347,Brahmaputra
10.29934518241347,FY16
10.29934518241347,Sheikh Hasina
10.29934518241347,women’s empowerment
10.29934518241347,sustainability
10.29934518241347,Secondary
10.29934518241347,Public
10.29934518241347,Taka billion
10.261927034611785,Ministry of Industries
10.261927034611785,"Ministry of Environment, Forest and Climate Change"
10.261927034611785,mitigation
10.261927034611785,health insurance
10.261927034611785,urban poverty
10.261927034611785,primary health care
10.261927034611785,violence
10.261927034611785,Myanmar
10.261927034611785,inclusion error
10.261927034611785,1960s
10.261927034611785,Ministry of Social Welfare
10.261927034611785,competitiveness
10.261927034611785,Services
10.261927034611785,electricity
10.261927034611785,2000
10.261927034611785,DoE
10.261927034611785,environment
10.261927034611785,strategy
10.261927034611785,RDCD
10.261927034611785,Academia
10.261927034611785,Score
10.261927034611785,regulatory
10.261927034611785,bus
10.261927034611785,Manufacturing
10.261927034611785,generation
10.261927034611785,FY15
10.261927034611785,0.4
10.261927034611785,WHO
10.261927034611785,Forestry
10.261927034611785,rural transformation
10.261927034611785,The Government
10.261927034611785,1.2
10.261927034611785,Vision 2041
10.261927034611785,welfare
10.224508886810103,4th HPNSP
10.224508886810103,FY13
10.224508886810103,2025
10.224508886810103,Perspective Plan 2041
10.224508886810103,8FYP period
10.224508886810103,pedagogy
10.224508886810103,ITES
10.224508886810103,Bank
10.224508886810103,Nominal GDP
10.224508886810103,FY14
10.224508886810103,exclusion
10.224508886810103,World Development Indicators
10.224508886810103,Law
10.224508886810103,ADB
10.224508886810103,outcomes
10.224508886810103,2010-11
10.224508886810103,Figure 14
10.224508886810103,Projection
10.224508886810103,Production
10.224508886810103,2014-15
10.224508886810103,2019
10.224508886810103,shrimp
10.224508886810103,14
10.224508886810103,food production
10.224508886810103,tax
10.224508886810103,Power
10.224508886810103,rich
10.224508886810103,Statistics
10.224508886810103,inclusive
10.224508886810103,Bangabandhu Sheikh Mujibur Rahman
10.224508886810103,slums
10.224508886810103,HIES 2016
10.224508886810103,passenger
10.224508886810103,Department of Environment
10.224508886810103,cost over -runs
10.224508886810103,society
10.224508886810103,civil society
10.224508886810103,institutional
10.224508886810103,auditing
10.224508886810103,MoDMR
10.224508886810103,canal
10.224508886810103,Training
10.224508886810103,Table 12
10.224508886810103,savings
10.224508886810103,Digital Bangladesh
10.224508886810103,migration
10.224508886810103,Ministry of Foreign Affairs
10.187090739008418,water supply
10.187090739008418,imports
10.187090739008418,FY17
10.187090739008418,4G
10.187090739008418,FY18
10.187090739008418,nutrition security
10.187090739008418,nurses
10.187090739008418,fish
10.187090739008418,pregnant
10.187090739008418,8
10.187090739008418,HPNSP
10.187090739008418,FY12
10.187090739008418,ENERGY
10.187090739008418,FY2012
10.187090739008418,youth employment
10.187090739008418,property
10.187090739008418,Ministry of Shipping
10.187090739008418,BR
10.187090739008418,OVERVIEW
10.187090739008418,Vision 2021
10.187090739008418,skilled
10.187090739008418,culverts
10.187090739008418,Ministry of Cultural Affairs
10.187090739008418,day
10.187090739008418,Pacific
10.187090739008418,BDP
10.187090739008418,Table
10.187090739008418,13.2
10.187090739008418,1970s
10.187090739008418,service
10.187090739008418,accounting
10.187090739008418,teaching
10.187090739008418,NBR Tax Revenue
10.187090739008418,Year
10.187090739008418,Perspective Plan
10.187090739008418,employment.
10.187090739008418,0.6
10.187090739008418,2009-10
10.187090739008418,100
10.187090739008418,tree
10.187090739008418,Annex Table A5.2
10.187090739008418,Milk
10.187090739008418,Jute
10.187090739008418,Australia
10.187090739008418,Projections
10.187090739008418,studies
10.187090739008418,soil
10.149672591206734,leather
10.149672591206734,Chittagong Port Authority
10.149672591206734,Baseline
10.149672591206734,kiln
10.149672591206734,Covid -19 pandemic
10.149672591206734,Figure 3.14
10.149672591206734,Technology
10.149672591206734,Table 8
10.149672591206734,FY2011
10.149672591206734,TEUS
10.149672591206734,Sri Lanka
10.149672591206734,4.1
10.149672591206734,CoxDA
10.149672591206734,Indicators
10.149672591206734,IT
10.149672591206734,Mineral Resources Division
10.149672591206734,delivery
10.149672591206734,Ministry of Disaster Management and Relief
10.149672591206734,head
10.149672591206734,finance
10.149672591206734,extreme poor
10.149672591206734,Informatics
10.149672591206734,District
10.149672591206734,budgeting
10.149672591206734,Delta Plan 2100
10.149672591206734,air transport
10.149672591206734,investment climate
10.149672591206734,content
10.149672591206734,7th
10.149672591206734,HIES 2010
10.149672591206734,city
10.149672591206734,MT
10.149672591206734,tonne
10.149672591206734,3.3
10.149672591206734,0.1
10.149672591206734,2018
10.149672591206734,12
10.149672591206734,sanitary toilet
10.149672591206734,wellbeing
10.149672591206734,0.0
10.149672591206734,vocational education
10.149672591206734,1999-00
10.149672591206734,19
10.149672591206734,period
10.149672591206734,secondary cities
10.149672591206734,2011-12
10.149672591206734,2000-01
10.149672591206734,2001-02
