size,node
21.530054644808743,Bangladesh
20.3551912568306,8FYP
15.765027322404372,7FYP
14.316939890710383,education
14.043715846994536,PP2041
13.306010928961747,India
13.114754098360656,Government
12.978142076502731,training
12.786885245901638,China
12.759562841530055,rural
12.73224043715847,infrastructure
12.73224043715847,health
12.704918032786885,Dhaka
12.540983606557376,poverty
12.459016393442623,trade
12.431693989071038,urban
12.431693989071038,private sector
12.349726775956285,SDG
12.3224043715847,GDP
12.240437158469945,women
12.131147540983607,Perspective Plan of Bangladesh
12.103825136612022,public
12.076502732240437,services
12.076502732240437,COVID -19
11.885245901639344,export
11.885245901639344,ICT
11.857923497267759,agriculture
11.830601092896174,manufacturing
11.748633879781421,government
11.693989071038251,sanitation
11.666666666666666,LGI
11.639344262295081,demand
11.639344262295081,poor
11.612021857923498,Eighth Plan
11.584699453551913,transport
11.557377049180328,productivity
11.448087431693988,Bangladesh Bank
11.39344262295082,economic
11.33879781420765,employment
11.311475409836065,SDGs
11.311475409836065,Seventh Plan
11.311475409836065,RMG
11.28415300546448,economy
11.256830601092895,climate change
11.229508196721312,Vietnam
11.229508196721312,irrigation
11.202185792349727,primary
11.174863387978142,R&D
11.174863387978142,poverty reduction
11.174863387978142,Malaysia
11.120218579234972,FY25
11.120218579234972,investment
11.120218579234972,policies
11.120218579234972,supply
11.092896174863387,private
11.092896174863387,exports
11.065573770491802,8th Plan
11.065573770491802,renewable energy
11.065573770491802,social
11.065573770491802,construction
11.065573770491802,Thailand
11.038251366120218,health care
11.038251366120218,Ministry
11.038251366120218,extreme poverty
11.038251366120218,income
11.010928961748634,BDP2100
11.010928961748634,PP2021
11.010928961748634,development
11.010928961748634,technology
10.98360655737705,Nepal
10.956284153005464,water
10.956284153005464,East Asia
10.956284153005464,nutrition
10.901639344262295,Taka
10.901639344262295,growth
10.901639344262295,secondary
10.901639344262295,management
10.87431693989071,innovation
10.87431693989071,research
10.87431693989071,tourism
10.87431693989071,population
10.87431693989071,labour
10.87431693989071,income inequality
10.846994535519125,General Economics Division
10.846994535519125,Upazila
10.846994535519125,FY21
10.846994535519125,service sector
10.846994535519125,public sector
10.846994535519125,farmers
10.819672131147541,FY2019
10.819672131147541,FY22
10.819672131147541,1990s
10.819672131147541,BBS
10.819672131147541,FY2025
10.792349726775956,coal
10.792349726775956,Education
10.792349726775956,tertiary education
10.792349726775956,Ministry of Finance
10.765027322404372,policy
10.765027322404372,targets
10.765027322404372,FY23
10.765027322404372,Bangladesh Delta Plan 2100
10.765027322404372,NGO
10.765027322404372,FY19
10.765027322404372,6FYP
10.765027322404372,industry
