size,node
21.612903225806452,Bangladesh
18.288682340076544,8FYP
14.614543466375068,7FYP
14.19901585565883,education
14.133406232914162,SDGs
13.236741388737014,PP2041
12.864953526517223,India
12.777474029524331,training
12.733734281027884,women
12.733734281027884,health
12.711864406779661,Government
12.580645161290322,poverty
12.5587752870421,SDG
12.515035538545654,rural
12.49316566429743,infrastructure
12.471295790049208,Dhaka
12.2744669218152,GDP
12.252597047566976,China
12.230727173318753,urban
12.099507927829414,trade
12.077638053581193,private sector
12.077638053581193,government
11.9901585565883,public
11.924548933843631,COVID -19
11.858939311098961,services
11.727720065609622,Perspective Plan of Bangladesh
11.7058501913614,sanitation
11.7058501913614,agriculture
11.7058501913614,manufacturing
11.640240568616731,economic
11.57463094587206,export
11.57463094587206,ICT
11.465281574630946,productivity
11.465281574630946,poor
11.399671951886276,production
11.399671951886276,economy
11.399671951886276,LGI
11.399671951886276,demand
11.377802077638053,employment
11.334062329141608,transport
11.312192454893385,Bangladesh Bank
11.290322580645162,Government of Bangladesh
11.290322580645162,Eighth Plan
11.268452706396939,climate change
11.202843083652269,policies
11.202843083652269,primary
11.180973209404046,poverty reduction
11.115363586659377,renewable energy
11.115363586659377,BBS
11.093493712411155,Prime Minister
11.093493712411155,research
11.093493712411155,irrigation
11.093493712411155,RMG
11.071623838162932,development
11.071623838162932,implementation
11.071623838162932,innovation
11.049753963914707,social
11.049753963914707,Seventh Plan
11.027884089666484,technology
10.984144341170039,income
10.984144341170039,extreme poverty
10.984144341170039,Vietnam
10.984144341170039,management
10.984144341170039,private
10.984144341170039,investment
10.984144341170039,developing countries
10.984144341170039,Upazila
10.962274466921816,construction
10.940404592673593,water
10.940404592673593,Malaysia
10.940404592673593,R&D
10.940404592673593,supply
10.91853471842537,secondary
10.91853471842537,population
10.91853471842537,exports
10.896664844177145,targets
10.896664844177145,food security
10.896664844177145,Nepal
10.896664844177145,FY25
10.874794969928923,tourism
10.874794969928923,farmers
10.874794969928923,health care
10.874794969928923,Thailand
10.8529250956807,8th Plan
10.8529250956807,nutrition
10.8529250956807,Ministry
10.8529250956807,growth
10.8529250956807,public sector
10.809185347184254,forest
10.809185347184254,PP2021
10.809185347184254,BDP2100
10.809185347184254,Education
10.809185347184254,men
10.787315472936031,Ministry of Finance
10.765445598687808,Sustainable Development Goals
10.765445598687808,policy
10.765445598687808,East Asia
10.765445598687808,Target
10.743575724439584,MICS 2019
10.743575724439584,General Economics Division
10.743575724439584,service sector
10.743575724439584,Bhutan
10.743575724439584,market
10.743575724439584,labour
10.743575724439584,skills
10.743575724439584,teachers
10.721705850191361,Sheikh Hasina
10.721705850191361,NGOs
10.721705850191361,girls
10.721705850191361,income inequality
10.721705850191361,F
10.721705850191361,Taka
10.699835975943138,1990s
10.699835975943138,female
10.699835975943138,tertiary education
10.677966101694915,FY2019
10.677966101694915,M
