size,node
30.54054054054054,ANA VOLUNT
26.216216216216218,ARY
21.891891891891895,SDGs
21.891891891891895,SUSTAINABLE DEVELOPMENT GOALS 2017
21.891891891891895,SDG
17.56756756756757,AINABLE DEVELOPMENT GOALS 2017
17.56756756756757,1
16.486486486486488,2
15.405405405405407,
15.405405405405407,5
15.405405405405407,BOTSW ANA VOLUNT
15.405405405405407,3
14.324324324324325,age
14.324324324324325,sex
14.324324324324325,4.2
14.324324324324325,poor
14.324324324324325,4.6
13.243243243243244,developing countries
13.243243243243244,INDICATORS
13.243243243243244,GOALS 2017
13.243243243243244,i
13.243243243243244,sions
13.243243243243244,De
12.162162162162163,4.5
12.162162162162163,reproductive health
12.162162162162163,least developed
12.162162162162163,countries
12.162162162162163,men
12.162162162162163,15
12.162162162162163,Vision 2036
12.162162162162163,SDG 15
11.08108108108108,SDGS
11.08108108108108,E
11.08108108108108,draftin
11.08108108108108,emissions
11.08108108108108,pmen
11.08108108108108,enric hing the na tion
11.08108108108108,oo
11.08108108108108,oor
11.08108108108108,BMinin g diamonds
11.08108108108108,rel_err
11.08108108108108,GHG
11.08108108108108,Elim
11.08108108108108,edicines
11.08108108108108,2.5
11.08108108108108,3 K
11.08108108108108,3.3
11.08108108108108,vulnerable
11.08108108108108,L
11.08108108108108,children under 5 years of age
11.08108108108108,the E
11.08108108108108,4 C
11.08108108108108,sion
11.08108108108108,international cooperation
11.08108108108108,al
11.08108108108108,Linkin
11.08108108108108,sions be
10.0,4
10.0,VOLUNT
10.0,NA
50.0,2017
13.243243243243244,ticipa
12.162162162162163,developed
11.08108108108108,reproductive
11.08108108108108,2036
11.08108108108108,edicine
11.08108108108108,cooperation
11.08108108108108,draft
11.08108108108108,situation
