size,node
35.45454545454545,The following strategies are recommended
30.0,education
24.545454545454547,women
24.545454545454547,planning
22.727272727272727,training
20.909090909090907,economy
20.909090909090907,Policy
19.09090909090909,4.3
19.09090909090909,rural areas
15.454545454545453,management
15.454545454545453,managers
15.454545454545453,urban
15.454545454545453,health
15.454545454545453,Land
13.636363636363637,risks
13.636363636363637,training institutions
13.636363636363637,Swazi Nation Land
13.636363636363637,sustainable development
13.636363636363637,HIV
13.636363636363637,family
13.636363636363637,health services
13.636363636363637,implementation
13.636363636363637,5
11.818181818181818,Industry
11.818181818181818,strategies
11.818181818181818,poor
11.818181818181818,International Links
11.818181818181818,Legislation
11.818181818181818,Legislative Matters
11.818181818181818,Legislative Measures
11.818181818181818,endangered
11.818181818181818,Sanitation
11.818181818181818,men
11.818181818181818,Tourism and Recreation
11.818181818181818,rich
11.818181818181818,Swazi Society and Culture
11.818181818181818,The Media
11.818181818181818,Rural Development
11.818181818181818,Role of Government
11.818181818181818,Road Transport
11.818181818181818,domestic economy
11.818181818181818,Youth
11.818181818181818,Water and Sanitation
11.818181818181818,Water Resource Development
11.818181818181818,Recreation
11.818181818181818,natural resource base
11.818181818181818,Research for Development
11.818181818181818,4.7
11.818181818181818,6 Postal Services
11.818181818181818,5 Cableways and Telecommunications
11.818181818181818,4.8
11.818181818181818,4.8.2 Disadvantaged Groups
11.818181818181818,4.6
11.818181818181818,4.5
11.818181818181818,4.4.2
11.818181818181818,4.4.1
11.818181818181818,4.2
11.818181818181818,Fuel and Energy
11.818181818181818,8.2.1 Persons with Disabilities
11.818181818181818,food security
11.818181818181818,Commerce and Industry
11.818181818181818,human resources
11.818181818181818,AIDS
11.818181818181818,Agriculture
11.818181818181818,unit
11.818181818181818,4.1
11.818181818181818,Capacity Building
11.818181818181818,3.7 Environmental Management
11.818181818181818,3.4 Civil Aviation
11.818181818181818,3 Human Resource Development
11.818181818181818,12 Human Settlements and Shelter
11.818181818181818,3.4 Agricultural Development
11.818181818181818,3.1 Sound Economic Management
11.818181818181818,3.5 Industrialisation
11.818181818181818,3.2 Economic Empowerment
11.818181818181818,Gender
11.818181818181818,Human Resource
10.0,institutions
10.0,Public Sector Management
10.0,Disadvantaged Groups
10.0,4
10.0,1
28.18181818181818,Swaziland
22.727272727272727,development
20.909090909090907,social services
19.09090909090909,Swazi
17.272727272727273,Development
13.636363636363637,8
11.818181818181818,Shelter
11.818181818181818,Sound Economic Management
11.818181818181818,Transport
11.818181818181818,professionals
11.818181818181818,species
11.818181818181818,status
11.818181818181818,threats
11.818181818181818,household
11.818181818181818,human right
11.818181818181818,Persons with Disabilities
11.818181818181818,Economic Empowerment
11.818181818181818,Building
11.818181818181818,Agricultural Development
11.818181818181818,Industrialisation
11.818181818181818,Links
11.818181818181818,3.4
11.818181818181818,Media
11.818181818181818,Cableways and Telecommunications
11.818181818181818,Human Resource Development
11.818181818181818,Culture
11.818181818181818,Environmental Management
