size,node
33.44827586206897,education
30.689655172413794,women
29.310344827586206,The following strategies are recommended
27.93103448275862,rural
23.79310344827586,HIV
22.413793103448278,training
22.413793103448278,urban
22.413793103448278,2015
22.413793103448278,sanitation
21.03448275862069,2017
21.03448275862069,2016
18.275862068965516,Sanitation
18.275862068965516,Agenda 2063
16.89655172413793,National
15.517241379310345,decent work
15.517241379310345,sex
15.517241379310345,agriculture
15.517241379310345,females
15.517241379310345,employment
15.517241379310345,youth
15.517241379310345,men
14.137931034482758,AIDS
14.137931034482758,Trends Analysis
14.137931034482758,age
14.137931034482758,males
14.137931034482758,percentages
14.137931034482758,strategies
14.137931034482758,percentage
12.75862068965517,light weapons
12.75862068965517,Water and Sanitation
12.75862068965517,sustainable agriculture
12.75862068965517,table below
12.75862068965517,adults
11.379310344827585,hygiene
16.89655172413793,2063
15.517241379310345,Analysis
12.75862068965517,small arms
12.75862068965517,The National
12.75862068965517,table
