size,node
35.806451612903224,education
29.354838709677416,women
28.064516129032256,The following strategies are recommended
26.774193548387096,rural
22.903225806451612,sanitation
22.903225806451612,2015
22.903225806451612,HIV
21.61290322580645,training
21.61290322580645,urban
20.32258064516129,2017
20.32258064516129,2016
17.741935483870968,Sanitation
17.741935483870968,National
17.741935483870968,agriculture
17.741935483870968,Agenda 2063
16.451612903225808,youth
16.451612903225808,decent work
15.161290322580644,females
15.161290322580644,men
15.161290322580644,employment
15.161290322580644,sex
13.870967741935484,AIDS
13.870967741935484,Trends Analysis
13.870967741935484,age
13.870967741935484,strategies
13.870967741935484,males
13.870967741935484,percentages
13.870967741935484,percentage
12.580645161290322,Water and Sanitation
12.580645161290322,sustainable agriculture
12.580645161290322,adults
12.580645161290322,light weapons
12.580645161290322,table below
11.29032258064516,hygiene
16.451612903225808,2063
15.161290322580644,Analysis
12.580645161290322,table
12.580645161290322,small arms
12.580645161290322,The National
