size,node
35.84615384615385,SDGs
29.897435897435898,360
29.897435897435898,275 280
29.897435897435898,375
25.17948717948718,2017
20.05128205128205,Greater Accra Region
19.846153846153847,260
19.846153846153847,2018 Budget
19.846153846153847,200
19.846153846153847,Institutions Number of Management letters
19.846153846153847,Central Region
19.846153846153847,265
19.435897435897438,2019 VNR REPORT
19.025641025641026,2019 BUDGET ESTIMATES
15.948717948717949,Ghana
14.923076923076923,Western Region
13.692307692307693,National Development Planning Commission
13.282051282051283,Ashanti
13.076923076923077,Institutions Number of Management letters issued
13.076923076923077,Upper West
12.871794871794872,Brong Ahafo
12.871794871794872,VNR
12.666666666666668,GH Cedi
12.666666666666668,2016
12.666666666666668,Sub-Programme
12.461538461538462,Upper East
12.461538461538462,2021
12.256410256410257,2030 Agenda
12.256410256410257,2015
12.051282051282051,MMDAs
12.051282051282051,Northern
11.846153846153847,6
11.846153846153847,Tamale
11.846153846153847,Use of goods and services
11.846153846153847,GSS
11.641025641025642,7
11.641025641025642,2018
11.641025641025642,Budget by Chart of Account
11.641025641025642,2
11.641025641025642,HIV
11.641025641025642,"4,198,490"
11.641025641025642,Agenda 2063
11.435897435897436,GHANA
11.435897435897436,GHANA’S 2019 VNR REPORT
11.435897435897436,Programme
11.435897435897436,2013
11.435897435897436,females
11.435897435897436,GLSS6
11.230769230769232,2019 BUDGET
11.230769230769232,Volta
11.230769230769232,MDAs
11.230769230769232,2020
11.230769230769232,3
11.230769230769232,2022
11.230769230769232,9
11.230769230769232,1
11.230769230769232,Operations
11.230769230769232,8
11.025641025641026,rural
11.025641025641026,All Source of Funding
11.025641025641026,GLSS7
11.025641025641026,2014
11.025641025641026,Konongo
11.025641025641026,Voluntary National Review
11.025641025641026,Version 1
11.025641025641026,Management
11.025641025641026,4
11.025641025641026,"2,030,261"
11.025641025641026,urban
11.025641025641026,males
11.025641025641026,Natural Account
11.025641025641026,Accra
11.025641025641026,Administration
10.820512820512821,Projects
10.820512820512821,2022 Target Actual
10.820512820512821,Tarkwa
10.820512820512821,National Plan Preparation
10.820512820512821,girls
10.820512820512821,rural area
10.820512820512821,projections
10.615384615384617,"4,307,201"
10.615384615384617,indicators
10.615384615384617,boys
10.615384615384617,Suhum
10.615384615384617,National Monitoring and Evaluation
10.615384615384617,MICS 2017
10.615384615384617,past data
10.615384615384617,"7,312,555"
10.615384615384617,Northern Region
10.615384615384617,urban area
10.615384615384617,1992 Constitution
10.41025641025641,Apam
10.41025641025641,Ashanti Region
10.41025641025641,2017 2018 Budget
10.41025641025641,Education Sector Performance Report
10.41025641025641,Western
10.41025641025641,SDGs targets
10.41025641025641,"2,829,065"
10.41025641025641,Upper West Region
10.41025641025641,future performance
10.41025641025641,Budget Sub-Programme Results Statement
10.41025641025641,Budget Sub-Programme Description
10.41025641025641,2015 Labour Force Survey
10.41025641025641,Wa
10.41025641025641,Leaving No One Behind
10.0,United Nations
10.0,regions
10.0,"184,000"
50.0,letters
28.666666666666668,2019
19.846153846153847,letters issued 275 280
19.846153846153847,letters issued 275 280 360 360 375 375
13.076923076923077,GHANA’S
12.256410256410257,GFS
11.641025641025642,Chart of Account
11.435897435897436,Entity
11.435897435897436,sub-programme
11.435897435897436,Currency
11.230769230769232,AIDS
11.230769230769232,1992
11.230769230769232,"324,000"
11.025641025641026,Funding
10.820512820512821,Budget Sub-Programme
10.615384615384617,Eastern Region
10.615384615384617,MOE
10.615384615384617,"4,198"
10.41025641025641,"2,829"
10.41025641025641,"2,030"
10.41025641025641,Sub-Programme Description
