size,node
38.59903381642512,SDGs
30.869565217391305,SDGi
30.289855072463766,Lao PDR
27.391304347826086,SDG
23.913043478260867,women
22.753623188405797,2
21.78743961352657,J U N E
20.43478260869565,Vientiane
20.241545893719806,Lao
19.855072463768117,Government
19.468599033816425,Baseline
19.082125603864732,2018
18.888888888888886,COVID -19
18.502415458937197,education
18.115942028985508,infrastructure
17.729468599033815,SDGr
17.14975845410628,PDR
16.956521739130434,MONRE
16.956521739130434,rural
16.763285024154587,health
16.570048309178745,2017
16.570048309178745,0
16.3768115942029,sectors
16.3768115942029,sustainable
16.3768115942029,tourism
16.3768115942029,regional
15.990338164251206,China
15.990338164251206,Kenya
15.797101449275361,technology
15.603864734299517,Frequency
15.603864734299517,economic
15.603864734299517,2 0 2 0
15.41062801932367,Every 5
15.41062801932367,3
15.02415458937198,Male
15.02415458937198,provinces
14.830917874396135,2019
14.63768115942029,Targets and Indicators
14.63768115942029,Laos
14.444444444444443,Indicators
14.444444444444443,1
14.444444444444443,2030 Agenda
14.444444444444443,public
14.444444444444443,development
14.251207729468598,district
14.251207729468598,policies
14.251207729468598,central
14.057971014492754,MOES
14.057971014492754,local
14.057971014492754,LSIS
14.057971014492754,trade
14.057971014492754,New project
13.864734299516908,forestry
13.864734299516908,provincial
13.864734299516908,production
13.864734299516908,2016
13.864734299516908,innovation
13.864734299516908,research
13.671497584541061,services
13.671497584541061,urban
13.671497584541061,ASEAN
13.671497584541061,men
13.671497584541061,HIV
13.478260869565217,MOLSW
13.478260869565217,village
13.478260869565217,girls
13.478260869565217,Government of Lao PDR
13.478260869565217,developing countries
13.478260869565217,international
13.478260869565217,private sector
13.478260869565217,sustainable development
13.28502415458937,NSEDP
13.28502415458937,water
13.28502415458937,MAF
13.28502415458937,legislation
13.091787439613526,Ministry of Planning and Investment
13.091787439613526,food security
13.091787439613526,Target
13.091787439613526,LSI
13.091787439613526,sanitation
13.091787439613526,Targets
13.091787439613526,rural areas
13.091787439613526,science
12.89855072463768,Activit
12.89855072463768,natural disasters
12.89855072463768,social
12.705314009661835,primary
12.705314009661835,districts
12.705314009661835,9th NSEDP
12.705314009661835,children
12.705314009661835,national
12.705314009661835,rural area
12.705314009661835,implementation
12.705314009661835,COVID -19 pandemic
12.705314009661835,Female
12.705314009661835,Priorit y Activit ies
12.512077294685989,regulations
12.512077294685989,quality
12.512077294685989,SDG 4
12.512077294685989,Survey
12.512077294685989,primary education
12.512077294685989,law
12.512077294685989,VNR
12.512077294685989,forest
12.512077294685989,administration
12.512077294685989,economic growth
12.512077294685989,agriculture
12.318840579710145,MOICT
12.318840579710145,planning
12.318840579710145,2020
12.318840579710145,vocational
12.318840579710145,5
12.318840579710145,poor
12.125603864734298,8
12.125603864734298,revenue
12.125603864734298,MPWT
12.125603864734298,indicators
12.125603864734298,8th NSEDP
12.125603864734298,budget
11.932367149758454,1.2
11.932367149758454,teaching
