size,node
21.33991537376587,women
20.15514809590973,Liberia
19.534555712270805,infrastructure
18.857545839210154,SDGs
16.939351198871652,Government
16.82651622002821,education
16.262341325811,REPUBLIC OF LIBERIA
16.09308885754584,SDGi
15.980253878702399,Lao PDR
15.811001410437235,SDG
15.528913963328632,a n d
15.528913963328632,economic
15.246826516220029,2
14.56981664315938,health
14.56981664315938,government
14.287729196050776,i
14.174894217207335,poverty
14.062059238363894,HIV
13.949224259520452,sustainable
13.89280677009873,development
13.667136812411847,PAPD
13.554301833568406,rural
13.441466854724965,J U N E
13.385049365303244,public
13.328631875881523,t
13.272214386459803,Pro-Poor Agenda For Prosperity And Development
13.159379407616361,social
13.159379407616361,Agenda For Prosperity And Development
13.159379407616361,training
13.159379407616361,sanitation
13.10296191819464,private sector
13.04654442877292,Vientiane
13.04654442877292,services
12.9901269393512,Lao
12.933709449929479,t h e
12.820874471086036,Baseline
12.764456981664317,forestry
12.764456981664317,GDP
12.708039492242595,national
12.708039492242595,economy
12.708039492242595,sectors
12.651622002820876,local
12.651622002820876,2018
12.595204513399153,policies
12.595204513399153,revenue
12.595204513399153,regional
12.595204513399153,COVID -19
12.595204513399153,youth
12.538787023977433,rule of law
12.538787023977433,agriculture
12.538787023977433,girls
12.538787023977433,men
12.482369534555712,MSMEs
12.482369534555712,trade
12.482369534555712,CSOs
12.482369534555712,Republic Of Liberia
12.425952045133991,security
12.425952045133991,technology
12.425952045133991,3
12.36953455571227,TVET
12.36953455571227,productivity
12.36953455571227,peace
12.36953455571227,population
12.31311706629055,county
12.31311706629055,production
12.31311706629055,poor
12.31311706629055,M&E
12.25669957686883,SDGr
12.25669957686883,urban
12.25669957686883,1
12.200282087447109,0
12.200282087447109,China
12.143864598025388,corruption
12.143864598025388,rights
12.087447108603667,investment
12.087447108603667,PDR
12.087447108603667,tourism
12.087447108603667,mining
12.087447108603667,2017
12.031029619181947,public sector
12.031029619181947,MONRE
12.031029619181947,interventions
12.031029619181947,implementation
11.974612129760226,policy
11.974612129760226,employment
