size,node
21.610337972167,women
20.77534791252485,infrastructure
20.69582504970179,SDGs
19.82107355864811,Liberia
17.912524850894634,education
17.634194831013914,economic
17.554671968190856,health
17.117296222664017,SDG
16.958250497017893,development
16.918489065606362,Government
16.560636182902584,HIV
15.8051689860835,rural
15.765407554671969,MGDS
15.40755467196819,sustainable
15.129224652087476,government
15.049701789264414,public
14.930417495029822,social
14.930417495029822,2
14.81113320079523,management
14.41351888667992,REPUBLIC OF LIBERIA
14.294234592445328,SDGi
14.254473161033797,poverty
14.214711729622266,Lao PDR
14.135188866799204,population
14.095427435387673,training
13.896620278330019,a n d
13.817097415506957,national
13.697813121272366,PAPD
13.499005964214712,sanitation
13.459244532803181,urban
13.459244532803181,services
13.41948310139165,private
13.339960238568588,monitoring
13.300198807157058,Private
13.260437375745527,economy
13.260437375745527,policies
13.101391650099403,research
13.061630218687872,local
13.061630218687872,implementation
13.061630218687872,access
13.021868787276341,i
12.94234592445328,regional
12.94234592445328,tourism
12.90258449304175,planning
12.90258449304175,CSOs
12.86282306163022,girls
12.86282306163022,primary
12.823061630218689,GDP
12.743538767395627,productivity
12.703777335984096,investment
12.703777335984096,security
12.703777335984096,youth
12.703777335984096,1
12.703777335984096,growth
12.664015904572565,agriculture
12.664015904572565,trade
12.664015904572565,community
12.664015904572565,PROJECT
12.664015904572565,National
12.664015904572565,private sector
12.624254473161034,revenue
12.624254473161034,Development
12.624254473161034,county
12.584493041749504,M&E
12.584493041749504,MoFEPD
12.544731610337973,sectors
12.504970178926442,men
12.504970178926442,financial
12.465208747514911,water
12.42544731610338,J U N E
12.42544731610338,children
12.38568588469185,district
12.38568588469185,secondary
12.38568588469185,Malawi
12.345924453280318,agricultural
12.345924453280318,production
12.345924453280318,t
12.306163021868787,Pro-Poor Agenda For Prosperity And Development
12.266401590457257,rule of law
12.266401590457257,peace
12.226640159045726,Agenda For Prosperity And Development
12.226640159045726,forestry
12.226640159045726,policy
12.186878727634195,2018
12.186878727634195,3
12.186878727634195,interventions
12.186878727634195,corruption
12.186878727634195,gender
12.147117296222664,technical
12.147117296222664,employment
12.147117296222664,Vientiane
12.147117296222664,market
12.107355864811133,mining
12.107355864811133,Lao
12.107355864811133,MSMEs
12.067594433399602,NSO
12.067594433399602,rights
12.067594433399602,t h e
12.067594433399602,ICT
12.027833001988071,Baseline
12.027833001988071,international
12.027833001988071,0
12.027833001988071,MACs
11.98807157057654,poor
11.98807157057654,legal
11.98807157057654,COVID -19
11.98807157057654,Public
11.98807157057654,technology
11.94831013916501,TVET
11.94831013916501,inclusive
11.868787276341948,food security
11.868787276341948,quality
11.868787276341948,natural
11.868787276341948,III
11.829025844930417,construction
11.829025844930417,land
11.829025844930417,budget
11.829025844930417,nutrition
11.789264413518886,2017
11.749502982107355,teacher
11.749502982107355,China
11.749502982107355,institutions
11.749502982107355,Republic Of Liberia
11.709741550695824,information
11.669980119284293,irrigation
11.669980119284293,sustainable development
11.669980119284293,teachers
11.669980119284293,political
11.669980119284293,MACRA
11.669980119284293,public sector
11.630218687872762,Sector
11.630218687872762,MoLGRD
11.630218687872762,sector
11.630218687872762,MoAIWD
11.630218687872762,Goal
11.590457256461232,justice
11.590457256461232,5
11.590457256461232,economic growth
11.590457256461232,
11.590457256461232,2030 Agenda
11.590457256461232,SDGr
11.550695825049702,road
11.550695825049702,disaster
11.550695825049702,vulnerable
11.550695825049702,transport
11.550695825049702,regulatory
11.550695825049702,DPs
11.550695825049702,Education
11.550695825049702,skills
11.550695825049702,civil society
11.550695825049702,processing
11.510934393638172,forest
11.510934393638172,capacity
11.510934393638172,regulations
11.47117296222664,climate
11.47117296222664,PDR
11.47117296222664,coordination
11.43141153081511,Institutions
11.43141153081511,districts
11.43141153081511,MONRE
11.391650099403579,capital
11.391650099403579,conflict
11.391650099403579,MAC
11.391650099403579,4
11.391650099403579,MoGCDSW
11.391650099403579,MoH
11.391650099403579,resources
11.391650099403579,central
11.391650099403579,Health
11.391650099403579,school
11.351888667992048,rural areas
11.351888667992048,human rights
11.351888667992048,MOH
11.351888667992048,DHS
11.351888667992048,2020
11.351888667992048,MoTPW
11.312127236580517,Agenda 2063
11.312127236580517,service
11.312127236580517,programmes
11.312127236580517,Monrovia
11.312127236580517,Annual
11.312127236580517,governance
11.312127236580517,15
11.272365805168986,health care
11.272365805168986,cultural
11.272365805168986,food
11.272365805168986,law
11.272365805168986,environmental
11.272365805168986,2016
11.272365805168986,fiscal
11.272365805168986,energy
11.272365805168986,markets
11.232604373757455,consumption
11.232604373757455,OBJECTIVES
11.232604373757455,Kenya
11.232604373757455,human
11.232604373757455,LOCATION
11.232604373757455,outcomes
11.232604373757455,DESCRIPTION
11.192842942345925,Frequency
11.192842942345925,effective
11.192842942345925,PLAN
11.192842942345925,c
11.192842942345925,participation
11.192842942345925,innovation
11.192842942345925,legislation
11.192842942345925,delivery
11.192842942345925,strategies
11.192842942345925,CHAM
11.153081510934394,income
11.153081510934394,1.1
11.153081510934394,Montserrado
11.153081510934394,MFEPD
11.153081510934394,2 0 2 0
11.153081510934394,MICS
11.113320079522863,social protection
11.113320079522863,2019
11.113320079522863,objectives
11.113320079522863,accountability
11.113320079522863,Ministry
11.113320079522863,child
11.113320079522863,agencies
11.113320079522863,systems
11.113320079522863,standards
11.113320079522863,sectoral
11.113320079522863,programs
11.113320079522863,MoEST
11.113320079522863,Targets
11.113320079522863,Male
11.113320079522863,AIDS
11.113320079522863,Every 5
11.073558648111332,v
11.073558648111332,e
11.073558648111332,8
11.073558648111332,society
11.073558648111332,awareness
11.073558648111332,macroeconomic
11.073558648111332,boys
11.073558648111332,counties
11.073558648111332,provinces
11.073558648111332,2022
11.033797216699801,MTEF
11.033797216699801,rel_err
11.033797216699801,business
11.033797216699801,environment
11.033797216699801,science
11.033797216699801,communities
11.033797216699801,goals
11.033797216699801,Africa
11.033797216699801,goods
11.033797216699801,vocational
10.99403578528827,households
10.99403578528827,service delivery
10.99403578528827,age
10.99403578528827,Governance
10.99403578528827,budgeting
10.99403578528827,expenditure
10.99403578528827,Vision 2030
10.99403578528827,rural area
10.99403578528827,reconciliation
10.99403578528827,violence
10.99403578528827,2016/17
10.99403578528827,n
10.99403578528827,protection
10.99403578528827,targets
10.99403578528827,HMIS
10.95427435387674,basic
10.95427435387674,Transport
10.95427435387674,ECD
10.95427435387674,Laos
10.95427435387674,MoNREM
10.95427435387674,Outcome
10.95427435387674,s
10.95427435387674,DEVELOPMENT
10.95427435387674,Rural
10.95427435387674,UNMIL
10.95427435387674,electricity
10.95427435387674,DoDMA
10.95427435387674,equity
10.95427435387674,Targets and Indicators
10.914512922465208,village
10.914512922465208,Agriculture
10.914512922465208,safety
10.914512922465208,laws
10.914512922465208,male
10.914512922465208,Sustainable Development Goals
10.914512922465208,manufacturing
10.914512922465208,bank
10.914512922465208,Indicators
10.874751491053678,Bong
10.874751491053678,Survey
10.874751491053678,justice system
10.874751491053678,T h e
10.874751491053678,developing countries
10.874751491053678,framework
10.874751491053678,affordable
10.874751491053678,monetary
10.874751491053678,value
10.874751491053678,MGCDSW
10.834990059642147,d
10.834990059642147,resilient
10.834990059642147,welfare
10.834990059642147,administration
10.834990059642147,ACTIVITIES
10.834990059642147,integration
10.834990059642147,President
10.834990059642147,4.1
10.834990059642147,health services
10.834990059642147,District
10.834990059642147,literacy
10.834990059642147,Economy
10.834990059642147,economic development
10.834990059642147,LSIS
10.834990059642147,efficient
10.834990059642147,institutional
10.834990059642147,primary education
