size,node
25.904572564612327,SDGs
22.365805168986086,women
21.21272365805169,infrastructure
19.82107355864811,Liberia
18.906560636182903,SDG
18.15109343936382,education
18.111332007952285,economic
17.8727634194831,health
17.8727634194831,Government
17.27634194831014,development
16.75944333996024,HIV
16.282306163021868,MGDS
15.92445328031809,rural
15.566600397614314,government
15.566600397614314,sustainable
15.248508946322069,public
15.248508946322069,social
15.049701789264414,2
14.970178926441353,management
14.493041749502982,poverty
14.41351888667992,REPUBLIC OF LIBERIA
14.294234592445328,population
14.294234592445328,SDGi
14.214711729622266,national
14.214711729622266,Lao PDR
14.135188866799204,training
14.015904572564612,Malawi
13.896620278330019,a n d
13.697813121272366,PAPD
13.697813121272366,monitoring
13.697813121272366,policies
13.658051689860836,urban
13.618290258449305,implementation
13.578528827037774,private
13.538767395626243,sanitation
13.538767395626243,services
13.459244532803181,local
13.300198807157058,economy
13.300198807157058,girls
13.300198807157058,Private
13.141153081510934,CSOs
13.141153081510934,research
13.141153081510934,planning
13.101391650099403,primary
13.101391650099403,regional
13.061630218687872,access
13.021868787276341,i
12.98210735586481,tourism
12.98210735586481,GDP
12.90258449304175,National
12.90258449304175,private sector
12.90258449304175,community
12.86282306163022,1
12.86282306163022,youth
12.823061630218689,agriculture
12.823061630218689,men
12.783300198807158,sectors
12.783300198807158,security
12.743538767395627,growth
12.743538767395627,children
12.743538767395627,productivity
12.743538767395627,M&E
12.743538767395627,trade
12.703777335984096,investment
12.703777335984096,revenue
12.664015904572565,PROJECT
12.664015904572565,financial
12.624254473161034,county
12.624254473161034,MoFEPD
12.624254473161034,Development
12.584493041749504,district
12.544731610337973,production
12.544731610337973,water
12.504970178926442,interventions
12.504970178926442,secondary
12.42544731610338,corruption
12.42544731610338,J U N E
12.38568588469185,COVID -19
12.38568588469185,agricultural
12.38568588469185,AfT
12.345924453280318,t
12.345924453280318,3
12.345924453280318,policy
12.345924453280318,2018
12.306163021868787,rule of law
12.306163021868787,Pro-Poor Agenda For Prosperity And Development
12.266401590457257,peace
12.266401590457257,gender
12.226640159045726,Agenda For Prosperity And Development
12.226640159045726,forestry
12.226640159045726,employment
12.226640159045726,technology
12.186878727634195,Baseline
12.186878727634195,market
12.186878727634195,NSO
12.186878727634195,technical
12.147117296222664,mining
12.147117296222664,rights
12.147117296222664,Vientiane
12.107355864811133,MGDS III
12.107355864811133,MSMEs
12.107355864811133,inclusive
12.107355864811133,Lao
12.107355864811133,international
12.067594433399602,0
12.067594433399602,legal
12.067594433399602,Public
12.067594433399602,III
12.067594433399602,t h e
12.067594433399602,ICT
12.027833001988071,poor
12.027833001988071,budget
12.027833001988071,MACs
11.98807157057654,sustainable development
11.98807157057654,2030 Agenda
11.94831013916501,2017
11.94831013916501,TVET
11.908548707753479,natural
11.908548707753479,land
11.868787276341948,nutrition
11.868787276341948,food security
11.868787276341948,quality
11.829025844930417,teacher
11.829025844930417,construction
11.829025844930417,public sector
11.789264413518886,5
11.789264413518886,information
11.749502982107355,economic growth
